TicketKey,CreationDate,ResolutionDate, OV,FV,AV
ZOOKEEPER-4804,2024-02-08,2024-03-09,55,56,1
ZOOKEEPER-4782,2023-12-27,2024-02-09,55,55,1
ZOOKEEPER-4770,2023-11-18,2024-02-06,55,55,1
ZOOKEEPER-4761,2023-10-16,2023-10-17,55,55,0
ZOOKEEPER-4752,2023-10-03,2023-10-03,52,52,1
ZOOKEEPER-4739,2023-08-31,2023-10-05,52,52,2
ZOOKEEPER-4730,2023-07-31,2024-02-08,51,55,0
ZOOKEEPER-4721,2023-07-18,2023-07-18,50,50,5
ZOOKEEPER-4719,2023-07-12,2023-07-17,50,50,0
ZOOKEEPER-4703,2023-06-07,2024-02-07,50,55,3
ZOOKEEPER-4694,2023-05-16,2023-05-19,50,50,1
ZOOKEEPER-4674,2023-02-13,2023-02-13,50,50,0
ZOOKEEPER-4671,2023-02-06,2023-03-17,50,50,0
ZOOKEEPER-4654,2022-12-16,2022-12-18,48,48,0
ZOOKEEPER-4647,2022-12-12,2023-02-15,48,50,0
ZOOKEEPER-4565,2022-06-29,2022-07-26,48,48,3
ZOOKEEPER-4550,2022-05-28,2022-05-28,47,47,1
ZOOKEEPER-4549,2022-05-26,2022-06-17,47,48,0
ZOOKEEPER-4537,2022-05-06,2022-05-17,46,47,0
ZOOKEEPER-4532,2022-04-28,2023-10-06,46,52,0
ZOOKEEPER-4523,2022-04-20,2023-02-20,46,50,1
ZOOKEEPER-4516,2022-04-08,2022-04-08,46,46,0
ZOOKEEPER-4515,2022-04-08,2022-04-09,46,46,0
ZOOKEEPER-4514,2022-04-07,2022-04-08,46,46,0
ZOOKEEPER-4511,2022-04-05,2022-06-24,46,48,0
ZOOKEEPER-4505,2022-03-29,2022-03-31,46,46,0
ZOOKEEPER-4504,2022-03-29,2022-04-06,46,46,0
ZOOKEEPER-4477,2022-02-23,2022-03-01,45,45,3
ZOOKEEPER-4475,2022-02-22,2023-02-22,45,50,2
ZOOKEEPER-4473,2022-02-22,2022-03-04,45,45,2
ZOOKEEPER-4471,2022-02-21,2023-06-13,45,50,2
ZOOKEEPER-4466,2022-02-11,2023-05-05,45,50,2
ZOOKEEPER-4465,2022-02-10,2022-02-15,45,45,1
ZOOKEEPER-4460,2022-01-28,2022-11-03,45,48,0
ZOOKEEPER-4456,2022-01-27,2023-10-06,45,52,1
ZOOKEEPER-4452,2022-01-25,2022-03-29,45,46,0
ZOOKEEPER-4433,2021-12-30,2022-02-08,45,45,1
ZOOKEEPER-4415,2021-11-15,2023-10-02,45,52,1
ZOOKEEPER-4406,2021-10-31,2021-10-31,45,45,0
ZOOKEEPER-4393,2021-10-08,2023-06-15,45,50,1
ZOOKEEPER-4390,2021-09-28,2022-08-01,45,48,1
ZOOKEEPER-4372,2021-09-09,2021-10-02,45,45,0
ZOOKEEPER-4367,2021-09-02,2021-09-27,45,45,1
ZOOKEEPER-4362,2021-09-01,2021-11-13,45,45,0
ZOOKEEPER-4360,2021-08-30,2021-09-02,45,45,1
ZOOKEEPER-4356,2021-08-27,2021-09-01,45,45,1
ZOOKEEPER-4345,2021-08-07,2021-08-11,45,45,0
ZOOKEEPER-4342,2021-08-04,2021-08-25,45,45,2
ZOOKEEPER-4331,2021-06-29,2021-08-03,45,45,3
ZOOKEEPER-4325,2021-06-23,2021-07-18,45,45,1
ZOOKEEPER-4316,2021-06-11,2021-07-01,45,45,2
ZOOKEEPER-4311,2021-06-02,2021-06-21,45,45,0
ZOOKEEPER-4309,2021-05-31,2021-06-14,45,45,2
ZOOKEEPER-4296,2021-05-17,2023-02-27,45,50,4
ZOOKEEPER-4278,2021-04-07,2021-04-08,44,44,0
ZOOKEEPER-4276,2021-04-07,2024-03-09,44,56,4
ZOOKEEPER-4275,2021-04-06,2021-04-19,44,45,1
ZOOKEEPER-4269,2021-03-29,2021-03-31,44,44,0
ZOOKEEPER-4267,2021-03-29,2021-03-30,44,44,0
ZOOKEEPER-4266,2021-03-28,2021-04-03,44,44,0
ZOOKEEPER-4265,2021-03-28,2021-04-10,44,44,0
ZOOKEEPER-4262,2021-03-26,2021-04-21,43,45,0
ZOOKEEPER-4260,2021-03-24,2021-03-29,43,44,1
ZOOKEEPER-4247,2021-03-12,2021-04-14,43,45,1
ZOOKEEPER-4246,2021-03-11,2021-05-15,43,45,0
ZOOKEEPER-4236,2021-03-08,2024-02-06,43,55,0
ZOOKEEPER-4232,2021-03-06,2021-03-09,43,43,0
ZOOKEEPER-4230,2021-03-03,2021-03-11,43,43,0
ZOOKEEPER-4227,2021-03-01,2021-03-10,43,43,3
ZOOKEEPER-4225,2021-02-26,2021-03-09,43,43,0
ZOOKEEPER-4224,2021-02-26,2021-03-09,43,43,0
ZOOKEEPER-4223,2021-02-26,2021-03-09,43,43,1
ZOOKEEPER-4222,2021-02-24,2021-02-25,43,43,1
ZOOKEEPER-4220,2021-02-23,2021-03-06,43,43,2
ZOOKEEPER-4210,2021-02-15,2021-03-09,43,43,3
ZOOKEEPER-4201,2021-02-04,2021-02-17,43,43,0
ZOOKEEPER-4200,2021-02-04,2021-02-17,43,43,0
ZOOKEEPER-4199,2021-02-04,2021-02-18,43,43,0
ZOOKEEPER-4191,2021-01-24,2021-01-24,43,43,0
ZOOKEEPER-4055,2021-01-10,2021-01-10,42,42,2
ZOOKEEPER-4045,2021-01-05,2021-01-06,42,42,3
ZOOKEEPER-4026,2020-12-08,2023-06-21,42,50,2
ZOOKEEPER-4011,2020-11-20,2020-11-22,42,42,0
ZOOKEEPER-4007,2020-11-19,2021-02-08,42,43,0
ZOOKEEPER-3996,2020-11-07,2023-06-19,42,50,0
ZOOKEEPER-3994,2020-11-06,2020-11-16,42,42,0
ZOOKEEPER-3992,2020-11-03,2020-11-09,42,42,0
ZOOKEEPER-3991,2020-11-03,2020-11-16,42,42,1
ZOOKEEPER-3988,2020-11-02,2022-01-25,42,45,1
ZOOKEEPER-3979,2020-10-19,2020-11-16,42,42,0
ZOOKEEPER-3955,2020-10-06,2020-10-12,42,42,0
ZOOKEEPER-3954,2020-10-04,2020-10-12,42,42,1
ZOOKEEPER-3951,2020-10-03,2020-10-12,42,42,1
ZOOKEEPER-3944,2020-09-24,2020-09-28,42,42,1
ZOOKEEPER-3943,2020-09-22,2021-01-24,42,43,2
ZOOKEEPER-3937,2020-09-16,2020-09-28,42,42,0
ZOOKEEPER-3931,2020-09-09,2021-04-04,41,44,0
ZOOKEEPER-3920,2020-08-26,2020-09-10,41,42,1
ZOOKEEPER-3911,2020-08-15,2020-11-12,41,42,8
ZOOKEEPER-3908,2020-08-04,2022-05-04,41,46,3
ZOOKEEPER-3905,2020-08-03,2020-08-08,41,41,2
ZOOKEEPER-3895,2020-07-23,2020-07-29,41,41,1
ZOOKEEPER-3891,2020-07-15,2020-07-29,41,41,0
