#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
1,44.44444444444444,NaiveBayes,false,NotSet,false,0.08196721311475409,0.04716981132075472,0.1650943396226415,-0.4507728494623656,5.0,56.0,58.0,101.0
1,44.44444444444444,RandomForest,false,NotSet,false,NaN,0.0,0.5,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,IBk,false,NotSet,false,NaN,0.0,0.5030619000331016,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,NaiveBayes,true,NotSet,false,NaN,0.0,0.3047418073485601,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,RandomForest,true,NotSet,false,NaN,0.0,0.5,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,IBk,true,NotSet,false,NaN,0.0,0.6360476663356505,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,NaiveBayes,false,OverSampl,false,0.20253164556962025,0.1509433962264151,0.18731380337636544,-0.405310621242485,16.0,63.0,51.0,90.0
1,44.44444444444444,RandomForest,false,OverSampl,false,NaN,0.0,0.5,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,IBk,false,OverSampl,false,NaN,0.0,0.576133730552797,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,NaiveBayes,false,UnderSampl,false,0.08196721311475409,0.04716981132075472,0.16538397881496195,-0.4507728494623656,5.0,56.0,58.0,101.0
1,44.44444444444444,RandomForest,false,UnderSampl,false,NaN,0.0,0.5,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,IBk,false,UnderSampl,false,NaN,0.0,0.5030619000331016,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,NaiveBayes,false,SMOTE,false,0.08196721311475409,0.04716981132075472,0.1650943396226415,-0.4507728494623656,5.0,56.0,58.0,101.0
1,44.44444444444444,RandomForest,false,SMOTE,false,NaN,0.0,0.5,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,IBk,false,SMOTE,false,NaN,0.0,0.5030619000331016,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,NaiveBayes,false,NotSet,true,0.08196721311475409,0.04716981132075472,0.1650943396226415,-0.4507728494623656,5.0,56.0,58.0,101.0
1,44.44444444444444,RandomForest,false,NotSet,true,NaN,0.0,0.5,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,IBk,false,NotSet,true,NaN,0.0,0.5030619000331016,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,NaiveBayes,true,OverSampl,false,NaN,0.0,0.30043859649122806,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,RandomForest,true,OverSampl,false,NaN,0.0,0.5,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,IBk,true,OverSampl,false,NaN,0.0,0.5841608738828202,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,NaiveBayes,true,UnderSampl,false,NaN,0.0,0.3047418073485601,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,RandomForest,true,UnderSampl,false,NaN,0.0,0.5,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,IBk,true,UnderSampl,false,NaN,0.0,0.6360476663356505,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,NaiveBayes,true,SMOTE,false,NaN,0.0,0.3047418073485601,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,RandomForest,true,SMOTE,false,NaN,0.0,0.5,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,IBk,true,SMOTE,false,NaN,0.0,0.6360476663356505,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,NaiveBayes,true,NotSet,true,NaN,0.0,0.3047418073485601,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,RandomForest,true,NotSet,true,NaN,0.0,0.5,0.0,0.0,0.0,114.0,106.0
1,44.44444444444444,IBk,true,NotSet,true,NaN,0.0,0.6360476663356505,0.0,0.0,0.0,114.0,106.0
2,56.011315417256014,NaiveBayes,false,NotSet,false,0.20164609053497942,0.6049382716049383,0.43201825013419215,-0.14476041564871822,49.0,194.0,36.0,32.0
2,56.011315417256014,RandomForest,false,NotSet,false,0.6,0.037037037037037035,0.6628287707997853,0.040715607649599035,3.0,2.0,228.0,78.0
2,56.011315417256014,IBk,false,NotSet,false,0.3076923076923077,0.04938271604938271,0.5760064412238325,0.014081391919787566,4.0,9.0,221.0,77.0
2,56.011315417256014,NaiveBayes,true,NotSet,false,0.4482758620689655,0.16049382716049382,0.42584541062801934,0.11480075901328275,13.0,16.0,214.0,68.0
2,56.011315417256014,RandomForest,true,NotSet,false,0.3333333333333333,0.012345679012345678,0.6482018250134192,0.0053046259458615665,1.0,2.0,228.0,80.0
2,56.011315417256014,IBk,true,NotSet,false,0.25,0.037037037037037035,0.5751207729468599,-0.0028911375514288295,3.0,9.0,221.0,78.0
2,56.011315417256014,NaiveBayes,false,OverSampl,false,0.5714285714285714,0.19753086419753085,0.4915995705850778,0.184449817797909,16.0,12.0,218.0,65.0
2,56.011315417256014,RandomForest,false,OverSampl,false,0.2631578947368421,0.06172839506172839,0.662614063338701,0.0011419598886589462,5.0,14.0,216.0,76.0
2,56.011315417256014,IBk,false,OverSampl,false,0.27586206896551724,0.09876543209876543,0.5648684916800859,0.009419896991054461,8.0,21.0,209.0,73.0
2,56.011315417256014,NaiveBayes,false,UnderSampl,false,0.5,0.19753086419753085,0.46460010735373053,0.15915083948062378,16.0,16.0,214.0,65.0
2,56.011315417256014,RandomForest,false,UnderSampl,false,0.4482758620689655,0.48148148148148145,0.6935319377348362,0.26639408712061646,39.0,48.0,182.0,42.0
2,56.011315417256014,IBk,false,UnderSampl,false,0.391304347826087,0.3333333333333333,0.5768115942028985,0.1583220568335589,27.0,42.0,188.0,54.0
2,56.011315417256014,NaiveBayes,false,SMOTE,false,0.20754716981132076,0.6790123456790124,0.4557434245840043,-0.13482590141629044,55.0,210.0,20.0,26.0
2,56.011315417256014,RandomForest,false,SMOTE,false,0.3333333333333333,0.07407407407407407,0.6682232957595277,0.02927564309546887,6.0,12.0,218.0,75.0
2,56.011315417256014,IBk,false,SMOTE,false,0.3,0.07407407407407407,0.575577026301664,0.01746476873380414,6.0,14.0,216.0,75.0
2,56.011315417256014,NaiveBayes,false,NotSet,true,0.20446096654275092,0.6790123456790124,0.43201825013419215,-0.14352249050128693,55.0,214.0,16.0,26.0
2,56.011315417256014,RandomForest,false,NotSet,true,0.3333333333333333,0.07407407407407407,0.6717122920021471,0.02927564309546887,6.0,12.0,218.0,75.0
2,56.011315417256014,IBk,false,NotSet,true,0.3076923076923077,0.04938271604938271,0.5760064412238325,0.014081391919787566,4.0,9.0,221.0,77.0
2,56.011315417256014,NaiveBayes,true,OverSampl,false,0.4827586206896552,0.1728395061728395,0.43899624261943104,0.1358769314177282,14.0,15.0,215.0,67.0
2,56.011315417256014,RandomForest,true,OverSampl,false,0.29411764705882354,0.06172839506172839,0.6478529253891573,0.012840859904775945,5.0,12.0,218.0,76.0
2,56.011315417256014,IBk,true,OverSampl,false,0.3333333333333333,0.08641975308641975,0.5023349436392914,0.033615819209039645,7.0,14.0,216.0,74.0
2,56.011315417256014,NaiveBayes,true,UnderSampl,false,0.5263157894736842,0.12345679012345678,0.4822866344605475,0.11212618656769688,10.0,9.0,221.0,71.0
