DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
ZOOKEEPER,1,49.840255591054316,NaiveBayes,None,None,None,NaN,0.0,0.43718487394957983,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,RandomForest,None,None,None,NaN,0.0,0.5,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,IBk,None,None,None,NaN,0.0,0.4777310924369748,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,NaiveBayes,BestFirst(Bi-directional),None,None,NaN,0.0,0.6252100840336134,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,RandomForest,BestFirst(Bi-directional),None,None,NaN,0.0,0.5,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,IBk,BestFirst(Bi-directional),None,None,NaN,0.0,0.7678571428571429,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,NaiveBayes,None,OverSampling,None,NaN,0.0,0.46596638655462186,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,RandomForest,None,OverSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,IBk,None,OverSampling,None,NaN,0.0,0.45252100840336135,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,NaiveBayes,None,UnderSampling,None,NaN,0.0,0.43718487394957983,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,RandomForest,None,UnderSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,IBk,None,UnderSampling,None,NaN,0.0,0.4777310924369748,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,NaiveBayes,None,SMOTE,None,NaN,0.0,0.43718487394957983,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,RandomForest,None,SMOTE,None,NaN,0.0,0.5,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,IBk,None,SMOTE,None,NaN,0.0,0.4777310924369748,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,NaiveBayes,None,None,SensitiveLearning,NaN,0.0,0.4777310924369748,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,RandomForest,None,None,SensitiveLearning,NaN,0.0,0.4777310924369748,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,IBk,None,None,SensitiveLearning,NaN,0.0,0.4777310924369748,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.5978991596638655,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,RandomForest,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,IBk,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.7418067226890757,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.6252100840336134,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,RandomForest,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,IBk,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.7678571428571429,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,NaN,0.0,0.6252100840336134,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,RandomForest,BestFirst(Bi-directional),SMOTE,None,NaN,0.0,0.5,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,IBk,BestFirst(Bi-directional),SMOTE,None,NaN,0.0,0.7678571428571429,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.7678571428571429,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.7678571428571429,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,1,49.840255591054316,IBk,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.7678571428571429,0.0,0.0,0.0,140.0,17.0
ZOOKEEPER,2,64.93775933609959,NaiveBayes,None,None,None,NaN,0.0,0.330325311942959,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,RandomForest,None,None,None,NaN,0.0,0.5,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,IBk,None,None,None,NaN,0.0,0.5674019607843137,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,NaiveBayes,BestFirst(Bi-directional),None,None,NaN,0.0,0.6348039215686274,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,RandomForest,BestFirst(Bi-directional),None,None,NaN,0.0,0.5,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,IBk,BestFirst(Bi-directional),None,None,NaN,0.0,0.651849376114082,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,NaiveBayes,None,OverSampling,None,NaN,0.0,0.33177361853832443,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,RandomForest,None,OverSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,IBk,None,OverSampling,None,NaN,0.0,0.6609848484848485,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,NaiveBayes,None,UnderSampling,None,NaN,0.0,0.330325311942959,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,RandomForest,None,UnderSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,IBk,None,UnderSampling,None,NaN,0.0,0.5674019607843137,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,NaiveBayes,None,SMOTE,None,NaN,0.0,0.330325311942959,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,RandomForest,None,SMOTE,None,NaN,0.0,0.5,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,IBk,None,SMOTE,None,NaN,0.0,0.5674019607843137,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,NaiveBayes,None,None,SensitiveLearning,NaN,0.0,0.5674019607843137,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,RandomForest,None,None,SensitiveLearning,NaN,0.0,0.5674019607843137,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,IBk,None,None,SensitiveLearning,NaN,0.0,0.5674019607843137,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.6467245989304813,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,RandomForest,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,IBk,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.5379901960784313,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.6348039215686274,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,RandomForest,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,IBk,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.651849376114082,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,NaN,0.0,0.6348039215686274,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,RandomForest,BestFirst(Bi-directional),SMOTE,None,NaN,0.0,0.5,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,IBk,BestFirst(Bi-directional),SMOTE,None,NaN,0.0,0.651849376114082,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.651849376114082,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.651849376114082,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,2,64.93775933609959,IBk,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.651849376114082,0.0,0.0,0.0,136.0,33.0
ZOOKEEPER,3,74.03993855606758,NaiveBayes,None,None,None,NaN,0.0,0.8238372093023256,0.0,0.0,0.0,129.0,40.0
ZOOKEEPER,3,74.03993855606758,RandomForest,None,None,None,0.4166666666666667,0.125,0.6770348837209302,0.09325498211548273,5.0,7.0,122.0,35.0
ZOOKEEPER,3,74.03993855606758,IBk,None,None,None,0.4166666666666667,0.125,0.6814922480620155,0.09325498211548273,5.0,7.0,122.0,35.0
ZOOKEEPER,3,74.03993855606758,NaiveBayes,BestFirst(Bi-directional),None,None,0.6666666666666666,0.1,0.8145348837209302,0.1195503153276666,4.0,2.0,127.0,36.0
ZOOKEEPER,3,74.03993855606758,RandomForest,BestFirst(Bi-directional),None,None,0.3333333333333333,0.025,0.6810077519379845,0.013946207485413415,1.0,2.0,127.0,39.0
ZOOKEEPER,3,74.03993855606758,IBk,BestFirst(Bi-directional),None,None,0.5625,0.225,0.6993217054263566,0.21529814271749745,9.0,7.0,122.0,31.0
ZOOKEEPER,3,74.03993855606758,NaiveBayes,None,OverSampling,None,NaN,0.0,0.8235465116279069,0.0,0.0,0.0,129.0,40.0
ZOOKEEPER,3,74.03993855606758,RandomForest,None,OverSampling,None,0.47368421052631576,0.225,0.7054263565891473,0.1800970299372856,9.0,10.0,119.0,31.0
ZOOKEEPER,3,74.03993855606758,IBk,None,OverSampling,None,0.47368421052631576,0.225,0.6613372093023255,0.1800970299372856,9.0,10.0,119.0,31.0
ZOOKEEPER,3,74.03993855606758,NaiveBayes,None,UnderSampling,None,0.5,0.025,0.8103682170542635,0.0256558085903721,1.0,1.0,128.0,39.0
ZOOKEEPER,3,74.03993855606758,RandomForest,None,UnderSampling,None,0.45161290322580644,0.7,0.771608527131783,0.3668349894119565,28.0,34.0,95.0,12.0
ZOOKEEPER,3,74.03993855606758,IBk,None,UnderSampling,None,0.423728813559322,0.625,0.6807170542635659,0.31054866372491874,25.0,34.0,95.0,15.0
ZOOKEEPER,3,74.03993855606758,NaiveBayes,None,SMOTE,None,NaN,0.0,0.8328488372093024,0.0,0.0,0.0,129.0,40.0
ZOOKEEPER,3,74.03993855606758,RandomForest,None,SMOTE,None,0.43333333333333335,0.325,0.6982558139534883,0.21145281018027567,13.0,17.0,112.0,27.0
ZOOKEEPER,3,74.03993855606758,IBk,None,SMOTE,None,0.46875,0.375,0.7412790697674418,0.26124063280599497,15.0,17.0,112.0,25.0
ZOOKEEPER,3,74.03993855606758,NaiveBayes,None,None,SensitiveLearning,0.4166666666666667,0.125,0.6814922480620155,0.09325498211548273,5.0,7.0,122.0,35.0
ZOOKEEPER,3,74.03993855606758,RandomForest,None,None,SensitiveLearning,0.4166666666666667,0.125,0.6814922480620155,0.09325498211548273,5.0,7.0,122.0,35.0
