ID,SIZE,PREDICTED,ACTUAL
4,215,4.694835680751173E-4,NO
4,273,4.694835680751173E-4,YES
4,460,9.380863039399625E-4,YES
4,138,0.40003757985719657,NO
4,358,9.380863039399625E-4,NO
4,1154,0.9990619136960601,YES
4,51,3.1308703819661864E-4,NO
4,157,9.380863039399625E-4,NO
4,31,1.8789928598271326E-4,NO
4,1009,9.380863039399625E-4,YES
4,193,0.9990619136960601,NO
4,83,3.1308703819661864E-4,YES
4,262,9.380863039399625E-4,NO
4,638,0.9990619136960601,YES
4,40,4.694835680751173E-4,NO
4,374,0.9990619136960601,NO
4,390,9.380863039399625E-4,NO
4,51,3.1308703819661864E-4,NO
4,579,9.380863039399625E-4,YES
4,32,2.3485204321277593E-4,NO
4,66,1.8789928598271326E-4,NO
4,260,9.380863039399625E-4,YES
4,596,0.9990619136960601,NO
4,198,9.380863039399625E-4,NO
4,50,1.565925461948011E-4,NO
4,27,7.228567297961542E-5,NO
4,926,9.380863039399625E-4,NO
4,60,0.3334376956793989,NO
4,62,1.1745360582569883E-4,NO
4,87,9.380863039399625E-4,NO
4,52,9.380863039399625E-4,NO
4,297,9.380863039399625E-4,NO
4,163,4.694835680751173E-4,NO
4,118,9.380863039399625E-4,NO
4,83,3.1308703819661864E-4,NO
4,147,2.3485204321277593E-4,NO
4,58,0.12508809020436926,NO
4,44,4.694835680751173E-4,NO
4,106,9.380863039399625E-4,NO
4,192,9.380863039399625E-4,NO
4,151,9.380863039399625E-4,NO
4,352,9.380863039399625E-4,YES
4,752,0.9990619136960601,YES
4,877,9.380863039399625E-4,YES
4,319,0.9990619136960601,YES
4,27,9.380863039399625E-4,NO
4,55,4.694835680751173E-4,NO
4,94,0.5,NO
4,191,4.694835680751173E-4,NO
4,90,3.1308703819661864E-4,NO
4,90,0.9990619136960601,NO
4,271,9.380863039399625E-4,YES
4,138,0.40003757985719657,NO
4,79,0.3334376956793989,NO
4,82,9.380863039399625E-4,NO
4,147,2.3485204321277593E-4,NO
4,422,9.380863039399625E-4,YES
4,1026,0.9990619136960601,YES
4,530,9.380863039399625E-4,NO
4,189,9.380863039399625E-4,YES
4,167,9.380863039399625E-4,YES
4,86,4.694835680751173E-4,NO
4,195,0.9990619136960601,YES
4,374,9.380863039399625E-4,YES
4,573,9.380863039399625E-4,NO
4,126,9.380863039399625E-4,YES
4,106,2.3485204321277593E-4,YES
4,109,3.1308703819661864E-4,NO
4,85,2.3485204321277593E-4,NO
4,237,9.380863039399625E-4,NO
4,345,0.9990619136960601,YES
4,47,3.1308703819661864E-4,NO
4,781,0.9990619136960601,YES
