ID,SIZE,PREDICTED,ACTUAL
5,215,4.3122035360068997E-4,NO
5,274,4.3122035360068997E-4,NO
5,461,0.9995687796463993,YES
5,138,4.3122035360068997E-4,NO
5,358,1.4382281029771322E-4,NO
5,1248,0.9995687796463993,YES
5,51,7.192174913693901E-5,NO
5,45,0.3333812742700992,NO
5,157,4.3122035360068997E-4,NO
5,31,6.164848036495901E-5,NO
5,1008,4.3122035360068997E-4,YES
5,55,0.9995687796463993,NO
5,204,4.3122035360068997E-4,NO
5,55,4.3122035360068997E-4,NO
5,103,2.1570319240724764E-4,NO
5,83,0.9995687796463993,NO
5,262,4.3122035360068997E-4,NO
5,83,2.1570319240724764E-4,NO
5,867,0.9995687796463993,YES
5,40,1.4382281029771322E-4,NO
5,387,0.9995687796463993,YES
5,390,0.9995687796463993,NO
5,51,7.192174913693901E-5,NO
5,637,4.3122035360068997E-4,YES
5,32,7.192174913693901E-5,NO
5,68,4.3122035360068997E-4,YES
5,547,0.9995687796463993,YES
5,566,0.9995687796463993,NO
5,314,4.3122035360068997E-4,YES
5,839,0.9995687796463993,YES
5,211,4.3122035360068997E-4,NO
5,31,2.1570319240724764E-4,NO
5,50,4.315553253927154E-5,NO
5,27,2.271436683702442E-5,NO
5,175,0.9995687796463993,NO
5,50,4.3122035360068997E-4,NO
5,62,3.596346112349853E-5,NO
5,87,4.3122035360068997E-4,NO
5,52,2.1570319240724764E-4,NO
5,373,0.9995687796463993,NO
5,224,4.3122035360068997E-4,NO
5,118,1.0787486515641856E-4,YES
5,83,0.6666426927502876,NO
5,147,7.192174913693901E-5,NO
5,58,4.3122035360068997E-4,NO
5,44,1.0787486515641856E-4,NO
5,106,0.16671461449942462,NO
5,189,4.3122035360068997E-4,NO
5,151,2.1570319240724764E-4,NO
5,352,4.3122035360068997E-4,YES
5,849,0.9995687796463993,YES
5,877,4.3122035360068997E-4,YES
5,41,4.3122035360068997E-4,NO
5,319,2.1570319240724764E-4,YES
5,27,2.271436683702442E-5,NO
5,55,1.4382281029771322E-4,NO
5,94,0.5,NO
5,191,1.0787486515641856E-4,NO
5,90,7.192174913693901E-5,NO
5,90,7.192174913693901E-5,NO
5,271,4.3122035360068997E-4,YES
5,152,4.3122035360068997E-4,NO
5,90,0.9995687796463993,YES
5,82,4.3122035360068997E-4,NO
5,147,7.192174913693901E-5,NO
5,422,0.9995687796463993,YES
5,1059,0.9995687796463993,YES
5,530,4.3122035360068997E-4,YES
5,205,4.3122035360068997E-4,YES
5,190,4.3122035360068997E-4,NO
5,86,4.3122035360068997E-4,NO
5,207,0.9995687796463993,YES
5,397,4.3122035360068997E-4,YES
5,573,4.3122035360068997E-4,NO
5,126,2.1570319240724764E-4,YES
5,167,0.9995687796463993,NO
5,109,8.630361612151549E-5,YES
5,85,7.192174913693901E-5,NO
5,237,4.3122035360068997E-4,NO
5,424,0.9995687796463993,YES
5,47,3.319722471201408E-5,NO
5,1118,4.3122035360068997E-4,YES
5,27,2.271436683702442E-5,NO
5,89,7.192174913693901E-5,NO
5,474,0.9995687796463993,YES
5,166,1.0787486515641856E-4,NO
5,92,0.10003452442603142,NO
5,476,4.3122035360068997E-4,NO
5,93,2.1570319240724764E-4,NO
5,244,2.1570319240724764E-4,NO
5,204,4.3122035360068997E-4,NO
5,252,4.3122035360068997E-4,NO
5,109,8.630361612151549E-5,YES
5,618,0.9995687796463993,NO
5,565,4.3122035360068997E-4,YES
5,69,0.2500539374325782,NO
5,77,4.795013186286263E-5,NO
5,97,4.3122035360068997E-4,NO
5,343,4.3122035360068997E-4,NO
5,214,1.0787486515641856E-4,NO
5,79,0.2000517821696729,NO
5,25,1.4382281029771322E-4,NO
5,84,0.11114840565811557,NO
5,34,7.192174913693901E-5,NO
5,33,1.4382281029771322E-4,NO
5,104,1.0787486515641856E-4,NO
5,172,2.1570319240724764E-4,NO
5,70,7.192174913693901E-5,NO
5,140,1.4382281029771322E-4,NO
5,156,1.4382281029771322E-4,NO
5,142,0.9995687796463993,NO
5,152,2.1570319240724764E-4,NO
5,31,6.164848036495901E-5,NO
5,60,0.2500539374325782,NO
5,60,0.2500539374325782,NO
5,876,4.3122035360068997E-4,NO
5,61,4.3122035360068997E-4,NO
5,185,4.3122035360068997E-4,NO
5,264,4.3122035360068997E-4,NO
5,43,1.4382281029771322E-4,NO
5,248,2.1570319240724764E-4,NO
5,310,0.9995687796463993,YES
5,199,4.3122035360068997E-4,YES
5,194,4.3122035360068997E-4,YES
5,346,4.3122035360068997E-4,YES
5,90,4.3122035360068997E-4,NO
5,335,4.3122035360068997E-4,YES
5,372,4.3122035360068997E-4,NO
5,84,0.11114840565811557,NO
5,53,8.630361612151549E-5,NO
5,148,4.3122035360068997E-4,NO
5,4088,2.1570319240724764E-4,NO
5,860,0.9995687796463993,YES
5,47,3.319722471201408E-5,NO
5,101,0.44444977223687365,NO
5,517,4.3122035360068997E-4,YES
5,327,0.9995687796463993,YES
5,275,4.3122035360068997E-4,YES
5,136,0.9995687796463993,NO
5,56,5.394325169921244E-5,NO
5,74,1.9617074701820466E-5,YES
5,362,4.3122035360068997E-4,YES
5,174,0.9995687796463993,NO
5,148,4.3122035360068997E-4,NO
5,92,0.9995687796463993,NO
5,45,0.12504045743877443,YES
5,39,2.1570319240724764E-4,NO
5,182,0.9995687796463993,NO
5,77,4.3122035360068997E-4,NO
5,666,4.3122035360068997E-4,NO
