ID,SIZE,PREDICTED,ACTUAL
6,212,3.215434083601286E-4,NO
6,274,0.9230559817848834,NO
6,461,3.215434083601286E-4,YES
6,138,0.7999806962228942,NO
6,358,8.042464211034261E-5,NO
6,1272,0.9999540398933726,YES
6,51,2.9248318221702253E-5,NO
6,45,0.294125440024225,NO
6,157,4.0215555376819756E-5,NO
6,31,2.6811089066437878E-5,NO
6,1406,3.215434083601286E-4,YES
6,55,1.072271070126528E-4,NO
6,204,8.042464211034261E-5,NO
6,55,1.072271070126528E-4,NO
6,103,4.596010662744738E-5,NO
6,34,3.215434083601286E-4,NO
6,83,0.5294106514251107,NO
6,285,0.9999356582164458,NO
6,83,0.5294106514251107,NO
6,129,3.215434083601286E-4,NO
6,867,1.608234158893535E-4,YES
6,380,1.608234158893535E-4,NO
6,40,6.434178355424013E-5,NO
6,387,3.215434083601286E-4,YES
6,390,3.215434083601286E-4,NO
6,51,2.9248318221702253E-5,NO
6,637,1.072271070126528E-4,YES
6,32,4.0215555376819756E-5,NO
6,68,1.072271070126528E-4,YES
6,547,1.608234158893535E-4,YES
6,566,3.215434083601286E-4,NO
6,314,3.215434083601286E-4,YES
6,907,0.9998391765841106,YES
6,275,3.215434083601286E-4,NO
6,31,2.6811089066437878E-5,NO
6,50,2.6811089066437878E-5,NO
6,27,1.072478067823513E-5,NO
6,175,4.596010662744738E-5,NO
6,50,2.6811089066437878E-5,NO
6,62,2.0108586366378444E-5,NO
6,87,3.215434083601286E-4,NO
6,52,3.215434083601286E-4,NO
6,373,3.215434083601286E-4,NO
6,224,1.608234158893535E-4,NO
6,118,4.596010662744738E-5,YES
6,83,1.072271070126528E-4,NO
6,147,3.574747980267391E-5,NO
6,58,0.3333378019679867,NO
6,44,4.596010662744738E-5,NO
6,106,0.7857011536516982,NO
6,238,0.999946380697051,NO
6,43,3.215434083601286E-4,NO
6,185,8.042464211034261E-5,YES
6,189,3.215434083601286E-4,NO
6,151,1.072271070126528E-4,NO
6,364,0.9999195753578897,NO
6,910,1.608234158893535E-4,NO
6,889,0.9999597844446231,NO
6,43,3.215434083601286E-4,NO
6,325,0.999946380697051,NO
6,27,1.072478067823513E-5,NO
6,55,1.072271070126528E-4,NO
6,93,3.215434083601286E-4,NO
6,191,8.042464211034261E-5,NO
6,90,2.9248318221702253E-5,NO
6,89,3.215434083601286E-4,NO
6,272,1.608234158893535E-4,NO
6,152,3.215434083601286E-4,NO
6,90,2.9248318221702253E-5,YES
6,82,1.608234158893535E-4,NO
6,148,1.608234158893535E-4,NO
6,421,0.999946380697051,YES
6,1190,1.608234158893535E-4,YES
6,528,3.215434083601286E-4,YES
6,205,0.9998927728929873,YES
6,190,6.434178355424013E-5,NO
6,86,1.072271070126528E-4,NO
6,212,0.9999597844446231,YES
6,404,0.999946380697051,NO
6,572,0.9998927728929873,NO
6,132,1.072271070126528E-4,NO
6,168,0.9998927728929873,NO
6,109,3.574747980267391E-5,YES
6,85,2.6811089066437878E-5,NO
6,107,3.215434083601286E-4,NO
6,237,3.215434083601286E-4,NO
6,511,3.215434083601286E-4,YES
6,47,2.298110952796801E-5,NO
6,1328,0.9999195753578897,YES
6,27,1.072478067823513E-5,NO
6,89,4.0215555376819756E-5,NO
6,482,0.9998927728929873,YES
6,226,1.072271070126528E-4,YES
6,166,1.608234158893535E-4,NO
6,92,1.608234158893535E-4,YES
6,476,3.215434083601286E-4,NO
6,93,1.608234158893535E-4,YES
6,244,1.072271070126528E-4,NO
6,204,8.042464211034261E-5,NO
6,252,1.608234158893535E-4,NO
6,119,1.072271070126528E-4,NO
