ID,SIZE,PREDICTED,ACTUAL
3,215,9.191176470588235E-4,NO
3,273,0.9990808823529411,YES
3,460,9.191176470588235E-4,YES
3,138,9.191176470588235E-4,NO
3,358,0.9990808823529411,NO
3,1248,0.9990808823529411,YES
3,51,9.191176470588235E-4,NO
3,157,9.191176470588235E-4,NO
3,31,3.0674846625766873E-4,NO
3,981,9.191176470588235E-4,YES
3,180,4.5998160073597056E-4,NO
3,262,0.9990808823529411,NO
3,553,9.191176470588235E-4,YES
3,40,9.191176470588235E-4,NO
3,369,0.9990808823529411,NO
3,390,0.9990808823529411,NO
3,51,9.191176470588235E-4,NO
3,577,9.191176470588235E-4,YES
3,32,4.5998160073597056E-4,NO
3,66,3.0674846625766873E-4,NO
3,188,9.191176470588235E-4,YES
3,582,9.191176470588235E-4,YES
3,160,9.191176470588235E-4,YES
3,50,4.5998160073597056E-4,NO
3,27,1.315097317201473E-4,NO
3,923,0.9990808823529411,YES
3,60,0.5,NO
3,62,2.300966405890474E-4,NO
3,87,9.191176470588235E-4,NO
3,52,3.0674846625766873E-4,NO
3,268,9.191176470588235E-4,YES
3,163,9.191176470588235E-4,NO
3,109,4.5998160073597056E-4,NO
3,147,4.5998160073597056E-4,NO
3,58,1.5342129487572875E-4,NO
3,44,0.2501150483202945,NO
3,106,0.9996932515337423,YES
3,139,9.191176470588235E-4,NO
3,326,9.191176470588235E-4,YES
3,648,9.191176470588235E-4,YES
3,792,9.191176470588235E-4,YES
3,319,9.191176470588235E-4,YES
3,55,9.191176470588235E-4,NO
3,191,4.5998160073597056E-4,NO
3,90,0.3334355828220859,NO
3,273,9.191176470588235E-4,YES
3,137,4.5998160073597056E-4,NO
3,79,9.191176470588235E-4,NO
3,82,0.3334355828220859,NO
3,147,4.5998160073597056E-4,NO
3,422,9.191176470588235E-4,YES
3,979,9.191176470588235E-4,YES
3,495,9.191176470588235E-4,YES
3,189,4.5998160073597056E-4,YES
3,167,9.191176470588235E-4,YES
3,86,9.191176470588235E-4,NO
3,182,4.5998160073597056E-4,YES
3,361,9.191176470588235E-4,YES
3,126,9.191176470588235E-4,YES
3,106,0.9996932515337423,NO
3,109,4.5998160073597056E-4,NO
3,85,4.5998160073597056E-4,NO
3,236,9.191176470588235E-4,NO
3,315,0.9990808823529411,YES
3,695,9.191176470588235E-4,YES
3,27,1.315097317201473E-4,NO
3,89,9.191176470588235E-4,NO
3,301,0.9990808823529411,YES
3,153,4.5998160073597056E-4,YES
3,92,0.5,NO
3,466,9.191176470588235E-4,YES
3,93,0.9990808823529411,NO
3,244,9.191176470588235E-4,NO
3,192,4.5998160073597056E-4,YES
3,252,0.9990808823529411,NO
3,109,4.5998160073597056E-4,NO
3,601,9.191176470588235E-4,YES
3,565,9.191176470588235E-4,YES
3,69,0.9990808823529411,NO
3,77,4.5998160073597056E-4,NO
3,94,0.5,YES
3,337,9.191176470588235E-4,NO
3,214,9.191176470588235E-4,NO
3,79,9.191176470588235E-4,NO
3,25,1.315097317201473E-4,NO
3,84,3.0674846625766873E-4,NO
3,34,3.0674846625766873E-4,NO
3,33,4.5998160073597056E-4,NO
3,104,0.9990808823529411,NO
3,172,4.5998160073597056E-4,NO
3,70,0.9990808823529411,NO
3,140,9.191176470588235E-4,NO
3,156,9.191176470588235E-4,NO
3,248,9.191176470588235E-4,NO
3,277,0.9990808823529411,YES
3,189,0.9990808823529411,NO
3,194,0.9990808823529411,NO
3,346,0.9990808823529411,NO
3,304,9.191176470588235E-4,NO
3,356,9.191176470588235E-4,YES
3,84,0.9990808823529411,NO
3,53,9.191176470588235E-4,NO
3,132,4.5998160073597056E-4,NO
3,4088,9.191176470588235E-4,NO
3,691,0.9990808823529411,YES
3,47,9.191176470588235E-4,NO
3,101,9.191176470588235E-4,NO
3,510,9.191176470588235E-4,YES
3,328,0.9990808823529411,YES
3,273,9.191176470588235E-4,YES
3,136,4.5998160073597056E-4,NO
3,56,9.191176470588235E-4,NO
3,74,1.315097317201473E-4,NO
3,359,0.9990808823529411,YES
3,174,4.5998160073597056E-4,NO
3,148,0.3334355828220859,NO
3,92,0.5,NO
3,45,0.5,NO
3,168,9.191176470588235E-4,NO
3,77,4.5998160073597056E-4,NO
3,666,9.191176470588235E-4,NO
3,88,9.191176470588235E-4,NO
3,262,0.9990808823529411,NO
3,54,4.5998160073597056E-4,NO
3,48,1.840942562592047E-4,YES
3,140,9.191176470588235E-4,YES
3,152,4.5998160073597056E-4,NO
3,39,1.840942562592047E-4,NO
3,131,4.5998160073597056E-4,NO
3,47,4.5998160073597056E-4,NO
3,129,4.5998160073597056E-4,NO
3,43,4.5998160073597056E-4,NO
3,243,9.191176470588235E-4,YES
3,62,2.300966405890474E-4,NO
3,45,0.5,NO
3,97,0.9990808823529411,NO
3,476,0.9990808823529411,NO
3,77,0.3334355828220859,NO
3,69,4.5998160073597056E-4,NO
3,104,9.191176470588235E-4,NO
3,115,4.5998160073597056E-4,NO
3,421,9.191176470588235E-4,NO
3,61,4.5998160073597056E-4,NO
3,2009,9.191176470588235E-4,NO
3,179,9.191176470588235E-4,NO
3,106,9.191176470588235E-4,NO
3,33,9.191176470588235E-4,NO
3,657,0.9990808823529411,NO
3,295,9.191176470588235E-4,NO
3,872,9.191176470588235E-4,NO
3,444,0.9990808823529411,NO
3,168,9.191176470588235E-4,NO
3,752,9.191176470588235E-4,NO
3,135,9.191176470588235E-4,NO
3,1126,9.191176470588235E-4,NO
3,163,9.191176470588235E-4,NO
3,184,0.9990808823529411,NO
3,51,9.191176470588235E-4,NO
3,25,9.191176470588235E-4,NO
3,180,9.191176470588235E-4,NO
3,64,0.9990808823529411,NO
3,101,9.191176470588235E-4,NO
3,512,0.9990808823529411,NO
3,187,0.9990808823529411,NO
3,56,4.5998160073597056E-4,NO
3,39,9.191176470588235E-4,NO
3,261,0.9990808823529411,NO
3,73,4.5998160073597056E-4,NO
3,65,0.9990808823529411,NO
3,329,9.191176470588235E-4,NO
3,64,0.9990808823529411,NO
3,164,9.191176470588235E-4,NO
3,624,9.191176470588235E-4,NO
3,74,4.5998160073597056E-4,NO
3,117,9.191176470588235E-4,NO
3,84,4.5998160073597056E-4,NO
3,226,9.191176470588235E-4,NO
3,76,0.3334355828220859,NO
3,323,9.191176470588235E-4,NO
3,72,3.0674846625766873E-4,NO
3,42,2.300966405890474E-4,NO
3,48,1.840942562592047E-4,NO
3,89,9.191176470588235E-4,NO
3,380,9.191176470588235E-4,NO
3,141,9.191176470588235E-4,NO
3,148,9.191176470588235E-4,NO
3,191,4.5998160073597056E-4,NO
3,46,4.5998160073597056E-4,NO
3,165,9.191176470588235E-4,NO
3,171,4.5998160073597056E-4,NO
3,56,9.191176470588235E-4,NO
3,179,4.5998160073597056E-4,NO
3,74,1.315097317201473E-4,NO
3,36,4.5998160073597056E-4,NO
3,37,1.5342129487572875E-4,NO
3,34,3.0674846625766873E-4,NO
3,34,3.0674846625766873E-4,NO
3,38,0.3334355828220859,NO
3,39,1.840942562592047E-4,NO
3,156,4.5998160073597056E-4,NO
3,84,3.0674846625766873E-4,NO
3,117,4.5998160073597056E-4,NO
3,94,0.5,NO
3,71,9.191176470588235E-4,NO
3,183,4.5998160073597056E-4,NO
3,85,4.5998160073597056E-4,NO
3,183,4.5998160073597056E-4,NO
3,70,0.9990808823529411,NO
3,54,4.5998160073597056E-4,NO
3,160,0.9990808823529411,NO
3,125,9.191176470588235E-4,NO
3,151,4.5998160073597056E-4,NO
3,422,9.191176470588235E-4,NO
3,221,9.191176470588235E-4,NO
3,50,4.5998160073597056E-4,NO
3,42,2.300966405890474E-4,NO
3,624,9.191176470588235E-4,NO
3,377,9.191176470588235E-4,NO
3,383,9.191176470588235E-4,NO
3,72,3.0674846625766873E-4,NO
3,92,0.5,NO
3,282,0.9990808823529411,NO
3,371,9.191176470588235E-4,NO
3,47,4.5998160073597056E-4,NO
3,108,4.5998160073597056E-4,NO
3,111,4.5998160073597056E-4,NO
3,319,9.191176470588235E-4,NO
3,129,4.5998160073597056E-4,NO
3,49,4.5998160073597056E-4,NO
3,358,9.191176470588235E-4,NO
3,277,9.191176470588235E-4,NO
3,49,4.5998160073597056E-4,NO
3,89,9.191176470588235E-4,NO
3,41,3.0674846625766873E-4,NO
3,66,3.0674846625766873E-4,NO
3,63,0.20011045655375553,NO
3,24,4.5998160073597056E-4,NO
3,50,4.5998160073597056E-4,NO
3,72,3.0674846625766873E-4,NO
3,47,4.5998160073597056E-4,NO
3,47,4.5998160073597056E-4,NO
3,183,4.5998160073597056E-4,NO
3,49,4.5998160073597056E-4,NO
3,50,4.5998160073597056E-4,NO
3,98,0.20011045655375553,NO
3,143,9.191176470588235E-4,NO
3,43,4.5998160073597056E-4,NO
3,42,2.300966405890474E-4,NO
3,56,9.191176470588235E-4,NO
3,44,0.2501150483202945,NO
3,26,1.315097317201473E-4,NO
3,254,9.191176470588235E-4,NO
3,16883,9.191176470588235E-4,NO
3,74,1.315097317201473E-4,NO
3,153,4.5998160073597056E-4,NO
3,68,0.5,NO
3,100,0.9990808823529411,NO
3,550,9.191176470588235E-4,NO
3,437,9.191176470588235E-4,NO
3,1038,0.9990808823529411,NO
3,104,9.191176470588235E-4,NO
3,332,0.9990808823529411,NO
3,123,9.191176470588235E-4,NO
3,106,0.9996932515337423,NO
3,106,0.9996932515337423,NO
3,94,9.191176470588235E-4,NO
3,101,9.191176470588235E-4,NO
3,38,0.3334355828220859,NO
3,628,9.191176470588235E-4,YES
3,32,4.5998160073597056E-4,NO
3,111,4.5998160073597056E-4,NO
3,35,3.0674846625766873E-4,NO
3,90,0.3334355828220859,NO
3,27,1.315097317201473E-4,NO
3,28,2.300966405890474E-4,NO
3,92,0.5,NO
3,956,9.191176470588235E-4,YES
3,67,9.191176470588235E-4,NO
3,29,4.5998160073597056E-4,NO
3,105,0.9996932515337423,NO
3,72,3.0674846625766873E-4,NO
3,37,1.5342129487572875E-4,NO
3,47,4.5998160073597056E-4,NO
3,31,3.0674846625766873E-4,NO
3,90,0.3334355828220859,NO
3,223,9.191176470588235E-4,NO
3,214,9.191176470588235E-4,NO
3,107,0.9996932515337423,NO
3,37,1.5342129487572875E-4,NO
3,27,1.315097317201473E-4,NO
3,48,1.840942562592047E-4,NO
3,167,9.191176470588235E-4,NO
3,213,9.191176470588235E-4,NO
3,867,9.191176470588235E-4,NO
3,159,0.9990808823529411,NO
3,100,0.9990808823529411,NO
3,96,0.9990808823529411,NO
3,842,0.9990808823529411,NO
3,525,9.191176470588235E-4,NO
3,83,4.5998160073597056E-4,NO
3,63,0.20011045655375553,NO
3,76,4.5998160073597056E-4,NO
3,202,9.191176470588235E-4,NO
3,155,9.191176470588235E-4,NO
3,1263,9.191176470588235E-4,NO
3,74,1.315097317201473E-4,NO
3,101,4.5998160073597056E-4,NO
3,27,1.315097317201473E-4,NO
3,22,4.5998160073597056E-4,NO
3,491,9.191176470588235E-4,NO
3,62,2.300966405890474E-4,NO
3,59,0.12508630609896432,NO
3,99,0.9990808823529411,NO
3,27,1.315097317201473E-4,NO
3,77,4.5998160073597056E-4,NO
3,846,9.191176470588235E-4,YES
3,64,4.5998160073597056E-4,NO
3,45,0.5,NO
3,63,0.20011045655375553,NO
3,54,4.5998160073597056E-4,NO
3,64,4.5998160073597056E-4,NO
3,132,4.5998160073597056E-4,NO
3,177,4.5998160073597056E-4,NO
3,70,0.9990808823529411,NO
3,36,4.5998160073597056E-4,NO
3,58,1.5342129487572875E-4,NO
3,62,2.300966405890474E-4,NO
3,132,4.5998160073597056E-4,NO
3,74,1.315097317201473E-4,NO
3,86,9.191176470588235E-4,NO
3,74,1.315097317201473E-4,NO
3,48,1.840942562592047E-4,NO
3,74,1.315097317201473E-4,NO
3,86,9.191176470588235E-4,NO
3,355,9.191176470588235E-4,NO
3,53,4.5998160073597056E-4,NO
3,804,9.191176470588235E-4,NO
3,75,1.02291325695581E-4,NO
3,125,9.191176470588235E-4,NO
3,200,9.191176470588235E-4,NO
3,134,4.5998160073597056E-4,NO
3,57,3.0674846625766873E-4,NO
3,123,9.191176470588235E-4,NO
3,266,9.191176470588235E-4,YES
3,162,0.9990808823529411,NO
3,130,4.5998160073597056E-4,YES
3,108,4.5998160073597056E-4,YES
3,354,0.9990808823529411,YES
3,88,0.9990808823529411,YES
3,28,2.300966405890474E-4,NO
3,58,9.191176470588235E-4,NO
3,308,0.9990808823529411,YES
3,343,9.191176470588235E-4,YES
3,103,4.5998160073597056E-4,NO
3,35,3.0674846625766873E-4,NO
3,98,0.20011045655375553,NO
3,117,9.191176470588235E-4,NO
