ID,SIZE,PREDICTED,ACTUAL
1,215,4.225571503248628E-75,NO
1,271,4.2546273312636425E-75,YES
1,451,4.594590229557577E-75,YES
1,137,4.287082463282411E-75,YES
1,368,4.3242796383948055E-75,YES
1,764,6.301042089304613E-75,YES
1,51,1.0255908523513627E-4,NO
1,150,4.236288794198188E-75,YES
1,31,1.0255908523513627E-4,NO
1,180,4.236288794198188E-75,NO
1,196,4.236288794198188E-75,YES
1,473,4.594590229557577E-75,YES
1,40,1.0255908523513627E-4,NO
1,255,4.225571503248628E-75,YES
1,379,4.436517412688306E-75,YES
1,509,4.803165529169838E-75,YES
1,32,1.0255908523513627E-4,NO
1,66,1.0255908523513627E-4,NO
1,187,4.236288794198188E-75,YES
1,576,5.0685589008544175E-75,YES
1,158,4.236288794198188E-75,YES
1,46,1.0255908523513627E-4,YES
1,27,0.0724764941826561,NO
1,788,6.903574659865107E-75,YES
1,60,1.0255908523513627E-4,NO
1,62,1.0255908523513627E-4,YES
1,88,4.287082463282411E-75,YES
1,52,1.0255908523513627E-4,YES
1,163,4.236288794198188E-75,NO
1,91,4.287082463282411E-75,YES
1,147,4.236288794198188E-75,NO
1,139,4.287082463282411E-75,NO
1,282,4.2546273312636425E-75,YES
1,582,5.0685589008544175E-75,YES
1,800,6.903574659865107E-75,YES
1,216,4.225571503248628E-75,YES
1,55,1.0255908523513627E-4,NO
1,184,4.236288794198188E-75,NO
1,65,1.0255908523513627E-4,NO
1,150,4.236288794198188E-75,YES
1,81,1.0255908523513627E-4,YES
1,84,1.0255908523513627E-4,NO
1,905,8.523654643407663E-75,YES
1,312,4.2546273312636425E-75,YES
1,171,4.236288794198188E-75,YES
1,153,4.236288794198188E-75,YES
1,84,1.0255908523513627E-4,YES
1,169,4.236288794198188E-75,YES
1,189,4.236288794198188E-75,YES
1,127,4.287082463282411E-75,YES
1,79,1.0255908523513627E-4,YES
1,90,4.287082463282411E-75,NO
1,85,1.0255908523513627E-4,NO
1,113,4.287082463282411E-75,YES
1,276,4.2546273312636425E-75,YES
1,549,5.0685589008544175E-75,YES
1,27,0.0724764941826561,NO
1,88,4.287082463282411E-75,YES
1,283,4.2546273312636425E-75,YES
1,175,4.236288794198188E-75,YES
1,507,4.803165529169838E-75,YES
1,209,4.225571503248628E-75,NO
1,147,4.236288794198188E-75,NO
1,98,4.287082463282411E-75,YES
1,132,4.287082463282411E-75,NO
1,236,4.225571503248628E-75,YES
1,227,4.225571503248628E-75,YES
1,172,4.236288794198188E-75,NO
1,507,4.803165529169838E-75,YES
1,90,4.287082463282411E-75,YES
1,58,1.0255908523513627E-4,YES
1,132,4.287082463282411E-75,NO
1,529,4.803165529169838E-75,YES
1,694,5.805329986369261E-75,YES
1,148,4.236288794198188E-75,YES
1,174,4.236288794198188E-75,NO
1,148,4.236288794198188E-75,NO
1,92,4.287082463282411E-75,NO
1,664,5.805329986369261E-75,YES
1,55,1.0255908523513627E-4,NO
1,256,4.225571503248628E-75,YES
1,54,1.0255908523513627E-4,NO
1,38,1.0255908523513627E-4,YES
1,98,4.287082463282411E-75,YES
1,39,1.0255908523513627E-4,NO
1,69,1.0255908523513627E-4,YES
1,94,4.287082463282411E-75,YES
1,72,1.0255908523513627E-4,NO
1,42,1.0255908523513627E-4,NO
1,48,1.0255908523513627E-4,NO
1,63,1.0255908523513627E-4,YES
1,318,4.3242796383948055E-75,YES
1,136,4.287082463282411E-75,YES
1,141,4.287082463282411E-75,YES
1,190,4.236288794198188E-75,YES
1,46,1.0255908523513627E-4,NO
1,165,4.236288794198188E-75,NO
1,162,4.236288794198188E-75,NO
1,58,1.0255908523513627E-4,NO
1,148,4.236288794198188E-75,YES
1,74,1.0255908523513627E-4,NO
1,36,1.0255908523513627E-4,NO
1,37,1.0255908523513627E-4,NO
1,38,1.0255908523513627E-4,NO
1,39,1.0255908523513627E-4,NO
1,96,4.287082463282411E-75,YES
1,88,4.287082463282411E-75,NO
1,71,1.0255908523513627E-4,NO
1,114,4.287082463282411E-75,NO
1,342,4.3242796383948055E-75,YES
1,84,1.0255908523513627E-4,NO
1,58,1.0255908523513627E-4,NO
1,129,4.287082463282411E-75,NO
1,363,4.3242796383948055E-75,YES
1,242,4.225571503248628E-75,YES
1,682,5.805329986369261E-75,YES
1,366,4.3242796383948055E-75,YES
1,103,4.287082463282411E-75,YES
1,41,1.0255908523513627E-4,NO
1,66,1.0255908523513627E-4,NO
1,63,1.0255908523513627E-4,NO
1,47,1.0255908523513627E-4,NO
1,183,4.236288794198188E-75,NO
1,49,1.0255908523513627E-4,NO
1,50,1.0255908523513627E-4,NO
1,98,4.287082463282411E-75,NO
1,143,4.287082463282411E-75,NO
1,43,1.0255908523513627E-4,NO
1,42,1.0255908523513627E-4,NO
1,56,1.0255908523513627E-4,NO
1,162,4.236288794198188E-75,YES
1,6523,0.0028248587570621473,YES
1,153,4.236288794198188E-75,NO
1,43,1.0255908523513627E-4,NO
1,41,1.0255908523513627E-4,NO
1,400,4.436517412688306E-75,YES
1,425,4.436517412688306E-75,YES
1,1041,1.0926532711780607E-74,YES
1,92,4.287082463282411E-75,YES
1,355,4.3242796383948055E-75,YES
1,105,4.287082463282411E-75,YES
1,105,4.287082463282411E-75,YES
1,92,4.287082463282411E-75,YES
1,101,4.287082463282411E-75,YES
1,45,1.0255908523513627E-4,YES
1,299,4.2546273312636425E-75,YES
1,32,1.0255908523513627E-4,NO
1,111,4.287082463282411E-75,NO
1,35,1.0255908523513627E-4,NO
1,85,1.0255908523513627E-4,YES
1,27,0.0724764941826561,NO
1,28,0.0724764941826561,NO
1,36,1.0255908523513627E-4,YES
1,574,5.0685589008544175E-75,YES
1,67,1.0255908523513627E-4,NO
1,29,1.0255908523513627E-4,NO
1,72,1.0255908523513627E-4,NO
1,37,1.0255908523513627E-4,NO
1,51,1.0255908523513627E-4,NO
1,31,1.0255908523513627E-4,NO
1,77,1.0255908523513627E-4,YES
1,168,4.236288794198188E-75,YES
1,81,1.0255908523513627E-4,YES
1,37,1.0255908523513627E-4,NO
1,27,0.0724764941826561,NO
1,48,1.0255908523513627E-4,NO
1,436,4.594590229557577E-75,YES
1,77,1.0255908523513627E-4,YES
1,63,1.0255908523513627E-4,NO
1,76,1.0255908523513627E-4,NO
1,191,4.236288794198188E-75,YES
1,160,4.236288794198188E-75,YES
1,906,8.523654643407663E-75,YES
1,74,1.0255908523513627E-4,NO
1,94,4.287082463282411E-75,NO
1,22,0.0724764941826561,NO
1,481,4.594590229557577E-75,YES
1,62,1.0255908523513627E-4,NO
1,58,1.0255908523513627E-4,NO
1,94,4.287082463282411E-75,NO
1,27,0.0724764941826561,NO
1,77,1.0255908523513627E-4,NO
1,744,6.301042089304613E-75,YES
