ID,SIZE,PREDICTED,ACTUAL
6,212,3.196711739249581E-10,NO
6,274,8.837802625124001E-11,NO
6,461,1.0652689840033194E-10,YES
6,138,8.183058200233387E-11,NO
6,358,9.501823485538573E-11,NO
6,1272,2.1994032108268582E-5,YES
6,51,7.900901467715611E-11,NO
6,45,7.900901467715611E-11,NO
6,157,8.266848373008551E-11,NO
6,31,7.870555397377329E-11,NO
6,1406,0.9994373118774889,YES
6,55,7.939748680864718E-11,NO
6,204,8.463795652523778E-11,NO
6,55,7.939748680864718E-11,NO
6,103,8.043471162341328E-11,NO
6,34,3.0184440736092556E-10,NO
6,83,7.987221166942594E-11,NO
6,285,4.417984449019148E-9,NO
6,83,7.987221166942594E-11,NO
6,129,4.197453776678731E-9,NO
6,867,2.1916928117123918E-10,YES
6,380,0.9999517341009496,NO
6,40,7.900901467715611E-11,NO
6,387,9.914968864599972E-11,YES
6,390,9.914968864599972E-11,NO
6,51,7.900901467715611E-11,NO
6,637,1.3987518168686756E-10,YES
6,32,7.900901467715611E-11,NO
6,68,7.939748680864718E-11,YES
6,547,1.1897078880073655E-10,YES
6,566,1.2262604368607858E-10,NO
6,314,3.31606352977581E-10,YES
6,907,3.065623826465711E-9,YES
6,275,9.259422199158095E-9,NO
6,31,7.870555397377329E-11,NO
6,50,7.900901467715611E-11,NO
6,27,7.870555397377329E-11,NO
6,175,8.266848373008551E-11,NO
6,50,7.900901467715611E-11,NO
6,62,7.939748680864718E-11,NO
6,87,7.987221166942594E-11,NO
6,52,7.900901467715611E-11,NO
6,373,9.701072144331532E-11,NO
6,224,8.577604832731578E-11,NO
6,118,8.108679823639209E-11,YES
6,83,2.8964138335992993E-10,NO
6,147,8.183058200233387E-11,NO
6,58,7.939748680864718E-11,NO
6,44,7.900901467715611E-11,NO
6,106,8.043471162341328E-11,NO
6,238,1.5322324136487633E-5,NO
6,43,3.4038809822405813E-10,NO
6,185,1.558393136108402E-7,YES
6,189,8.36032476764238E-11,NO
