ID,SIZE,PREDICTED,ACTUAL
3,215,7.477146047109488E-9,NO
3,273,1.6679615795604625E-8,YES
3,460,1.745769146192028E-8,YES
3,138,1.583957429077901E-8,NO
3,358,1.694649271742019E-8,NO
3,1248,6.388386844223245E-8,YES
3,51,7.086189088317858E-9,NO
3,157,1.6125674181981158E-8,NO
3,31,7.086189088317858E-9,NO
3,981,1.3923084285994524E-8,YES
3,180,7.3494530126522194E-9,NO
3,262,1.6679615795604625E-8,NO
3,553,1.793575569918735E-8,YES
3,40,7.086189088317858E-9,NO
3,369,5.4601925860387455E-8,NO
3,390,1.7206006646176425E-8,NO
3,51,7.086189088317858E-9,NO
3,577,8.174417540615839E-9,YES
3,32,7.086189088317858E-9,NO
3,66,7.086189088317858E-9,NO
3,188,1.6125674181981158E-8,YES
3,582,8.174417540615839E-9,YES
3,160,1.6125674181981158E-8,YES
3,50,7.086189088317858E-9,NO
3,27,6.951064237055067E-9,NO
3,923,5.823360764300741E-8,YES
3,60,7.086189088317858E-9,NO
3,62,7.086189088317858E-9,NO
3,87,7.086189088317858E-9,NO
3,52,7.086189088317858E-9,NO
3,268,7.601917985718855E-9,YES
3,163,7.3494530126522194E-9,NO
3,109,7.219059845723993E-9,NO
3,147,7.3494530126522194E-9,NO
3,58,7.086189088317858E-9,NO
3,44,7.086189088317858E-9,NO
3,106,7.219059845723993E-9,YES
3,139,7.219059845723993E-9,NO
3,326,7.723550073381747E-9,YES
3,648,8.277190602076162E-9,YES
3,792,2.197953315429621E-8,YES
3,319,4.332336097421171E-8,YES
3,55,7.086189088317858E-9,NO
3,191,7.3494530126522194E-9,NO
3,90,7.219059845723993E-9,NO
3,273,7.601917985718855E-9,YES
3,137,7.219059845723993E-9,NO
3,79,7.086189088317858E-9,NO
3,82,7.086189088317858E-9,NO
3,147,7.3494530126522194E-9,NO
3,422,7.841826396139536E-9,YES
3,979,1.9299165456315978E-8,YES
3,495,3.637250793891199E-8,YES
3,189,7.3494530126522194E-9,YES
