ID,SIZE,PREDICTED,ACTUAL
5,215,4.905772796107619E-8,NO
5,274,1.0623909811015571E-6,NO
5,461,1.1014915817992387E-6,YES
5,138,4.6877758333325365E-8,NO
5,358,1.7740518287222382E-8,NO
5,1248,0.06794227849089217,YES
5,51,1.531359121324389E-8,NO
5,45,4.37575745550312E-8,NO
5,157,1.6648583791872264E-8,NO
5,31,1.531359121324389E-8,NO
5,1008,3.62868812271593E-7,YES
5,55,9.046981449244916E-8,NO
5,204,8.966741696795872E-5,NO
5,55,5.1575785487519645E-8,NO
5,103,1.594275470345365E-7,NO
5,83,1.066233865090305E-7,NO
5,262,4.9928433881994415E-8,NO
5,83,8.096134504816284E-8,NO
5,867,8.719940649850565E-4,YES
5,40,1.531359121324389E-8,NO
5,387,7.048561695310005E-7,YES
5,390,5.156444473525084E-8,NO
5,51,1.531359121324389E-8,NO
5,637,0.0039873093493864396,YES
5,32,1.531359121324389E-8,NO
5,68,4.219295568967633E-8,YES
5,547,1.0,YES
5,566,0.7836327762640547,NO
5,314,2.92356367569132E-5,YES
5,839,9.734978640919235E-6,YES
5,211,4.1078162325908794E-7,NO
5,31,4.295312966322645E-8,NO
5,50,1.531359121324389E-8,NO
5,27,1.531359121324389E-8,NO
5,175,1.0,NO
5,50,4.3584095310356196E-8,NO
5,62,1.531359121324389E-8,NO
5,87,4.5589702060112986E-8,NO
5,52,1.531359121324389E-8,NO
5,373,2.2414085974416465E-5,NO
5,224,1.1938532652982446E-5,NO
5,118,1.6246646724790432E-8,YES
5,83,1.580023894848157E-8,NO
5,147,1.6246646724790432E-8,NO
5,58,4.418553819338299E-8,NO
5,44,1.531359121324389E-8,NO
5,106,1.580023894848157E-8,NO
5,189,4.3705022913353913E-7,NO
5,151,1.6246646724790432E-8,NO
5,352,1.7740518287222382E-8,YES
5,849,1.258578162006893E-7,YES
5,877,4.458925549594669E-8,YES
5,41,4.37575745550312E-8,NO
5,319,1.7550877545773225E-8,YES
5,27,1.531359121324389E-8,NO
5,55,1.531359121324389E-8,NO
5,94,1.580023894848157E-8,NO
5,191,1.6648583791872264E-8,NO
5,90,1.580023894848157E-8,NO
5,90,1.580023894848157E-8,NO
5,271,4.9928433881994415E-8,YES
5,152,4.2526894650012065E-8,NO
5,90,4.3394297163629014E-8,YES
5,82,4.5589702060112986E-8,NO
5,147,1.6246646724790432E-8,NO
5,422,5.1766018952573684E-8,YES
5,1059,1.2846864122749081E-5,YES
5,530,1.7896617001994738E-8,YES
5,205,9.607192939389582E-7,YES
5,190,3.2517050179105575E-6,NO
5,86,4.5589702060112986E-8,NO
5,207,1.0438638788989157E-6,YES
5,397,4.5031248008399974E-7,YES
5,573,1.7783031460971706E-8,NO
5,126,1.6246646724790432E-8,YES
5,167,1.5978122178527744E-7,NO
5,109,1.580023894848157E-8,YES
5,85,1.580023894848157E-8,NO
5,237,1.7002169147520714E-8,NO
5,424,1.8907121161469235E-7,YES
5,47,1.531359121324389E-8,NO
5,1118,0.003036342729851655,YES
5,27,1.531359121324389E-8,NO
5,89,1.580023894848157E-8,NO
5,474,8.839791999399868E-7,YES
5,166,1.6648583791872264E-8,NO
5,92,1.580023894848157E-8,NO
5,476,3.1133786943425716E-6,NO
5,93,1.580023894848157E-8,NO
5,244,1.7002169147520714E-8,NO
5,204,1.0855505728911486E-7,NO
5,252,1.730393383258551E-8,NO
5,109,1.580023894848157E-8,YES
5,618,2.4949133645315116E-7,NO
5,565,1.7783031460971706E-8,YES
5,69,1.580023894848157E-8,NO
5,77,1.580023894848157E-8,NO
5,97,1.580023894848157E-8,NO
5,343,1.7740518287222382E-8,NO
5,214,1.7002169147520714E-8,NO
5,79,1.580023894848157E-8,NO
5,25,1.531359121324389E-8,NO
5,84,1.580023894848157E-8,NO
5,34,1.531359121324389E-8,NO
5,33,1.531359121324389E-8,NO
5,104,1.580023894848157E-8,NO
5,172,1.6648583791872264E-8,NO
5,70,1.580023894848157E-8,NO
5,140,1.6246646724790432E-8,NO
5,156,1.6648583791872264E-8,NO
5,142,1.6246646724790432E-8,NO
5,152,1.6246646724790432E-8,NO
5,31,1.531359121324389E-8,NO
5,60,1.531359121324389E-8,NO
5,60,1.531359121324389E-8,NO
5,876,1.5453509434681956E-8,NO
5,61,1.531359121324389E-8,NO
5,185,1.6648583791872264E-8,NO
5,264,1.730393383258551E-8,NO
5,43,4.37575745550312E-8,NO
5,248,1.730393383258551E-8,NO
5,310,3.98781255064069E-6,YES
5,199,4.196657806511108E-7,YES
5,194,4.8037499689410286E-8,YES
5,346,1.7740518287222382E-8,YES
5,90,1.0,NO
5,335,0.7656370769703564,YES
5,372,3.2693274245810076E-5,NO
5,84,1.580023894848157E-8,NO
5,53,1.531359121324389E-8,NO
5,148,1.037693225380402E-7,NO
5,4088,2.1584332442509278E-13,NO
5,860,0.0069288083135930325,YES
5,47,1.531359121324389E-8,NO
5,101,1.580023894848157E-8,NO
5,517,1.7896617001994738E-8,YES
5,327,1.7550877545773225E-8,YES
5,275,4.9928433881994415E-8,YES
5,136,1.0963584123102046E-7,NO
5,56,1.531359121324389E-8,NO
5,74,1.580023894848157E-8,YES
5,362,4.657151302188517E-7,YES
5,174,4.8037499689410286E-8,NO
5,148,4.6877758333325365E-8,NO
5,92,4.5589702060112986E-8,NO
5,45,1.531359121324389E-8,YES
5,39,4.295312966322645E-8,NO
5,182,1.2695389409417449E-6,NO
5,77,4.5589702060112986E-8,NO
5,666,1.737864586628299E-8,NO
5,88,1.580023894848157E-8,YES
5,263,1.730393383258551E-8,YES
5,54,1.531359121324389E-8,NO
5,76,4.35921561138335E-8,NO
5,132,4.6877758333325365E-8,NO
5,160,1.6648583791872264E-8,YES
5,152,1.6246646724790432E-8,NO
5,39,1.531359121324389E-8,NO
5,677,1.737864586628299E-8,NO
5,131,1.6246646724790432E-8,NO
5,47,1.531359121324389E-8,NO
5,129,1.6246646724790432E-8,NO
5,43,1.531359121324389E-8,NO
5,73,6.766946257803677E-8,NO
5,257,1.730393383258551E-8,NO
5,356,1.7740518287222382E-8,NO
5,62,1.531359121324389E-8,NO
5,45,1.531359121324389E-8,NO
5,97,1.580023894848157E-8,NO
5,131,1.7150984715984014E-6,YES
5,68,6.766946257803677E-8,YES
5,99,1.2483774548858848E-7,NO
5,53,5.1575785487519645E-8,NO
5,81,7.119700060957625E-8,NO
5,78,7.119700060957625E-8,YES
5,69,6.766946257803677E-8,NO
5,69,6.766946257803677E-8,NO
5,77,7.119700060957625E-8,NO
5,72,6.766946257803677E-8,NO
5,72,6.766946257803677E-8,NO
5,63,5.608378433248722E-8,NO
5,50,4.70740213353289E-8,NO
5,28,4.247801868834313E-8,NO
5,96,1.2483774548858848E-7,NO
5,40,4.37575745550312E-8,NO
5,76,7.119700060957625E-8,NO
5,49,4.70740213353289E-8,NO
5,63,5.608378433248722E-8,NO
5,55,5.1575785487519645E-8,NO
5,45,4.37575745550312E-8,NO
5,476,1.7949384808949764E-8,NO
5,77,1.580023894848157E-8,NO
5,69,1.580023894848157E-8,NO
5,104,1.580023894848157E-8,NO
5,115,1.6246646724790432E-8,NO
5,421,1.7870933882594974E-8,NO
5,61,1.531359121324389E-8,NO
5,2009,2.3803271820187873E-9,NO
5,179,1.6648583791872264E-8,NO
5,106,1.580023894848157E-8,NO
5,33,1.531359121324389E-8,NO
