ID,SIZE,PREDICTED,ACTUAL
3,215,1.6518756184207783E-6,NO
3,273,4.674836712062724E-6,YES
3,460,4.511832064520037E-6,YES
3,138,4.15824742420031E-6,NO
3,358,4.744846165668497E-6,NO
3,1248,7.173404486573814E-6,YES
3,51,1.5108290470960978E-6,NO
3,157,4.34861630599467E-6,NO
3,31,1.4816457757868517E-6,NO
3,981,2.8724506634362066E-6,YES
3,180,1.632875795315981E-6,NO
3,262,4.051185844988578E-6,NO
3,553,4.423100785514088E-6,YES
3,40,1.5108290470960978E-6,NO
3,369,1.4568784517151368E-5,NO
3,390,4.7558168542432905E-6,NO
3,51,1.5108290470960978E-6,NO
3,577,1.6765067302564481E-6,YES
3,32,1.4816457757868517E-6,NO
3,66,1.5385506809087471E-6,NO
3,188,4.499004982147588E-6,YES
3,582,1.6765067302564481E-6,YES
3,160,4.441379059648701E-6,YES
3,50,1.5108290470960978E-6,NO
3,27,1.4816457757868517E-6,NO
3,923,1.2485962815351885E-5,YES
3,60,1.5108290470960978E-6,NO
3,62,1.5108290470960978E-6,NO
3,87,1.5385506809087471E-6,NO
3,52,1.5108290470960978E-6,NO
3,268,1.696692624154645E-6,YES
3,163,1.611960895100799E-6,NO
3,109,1.5647098975257227E-6,NO
3,147,1.611960895100799E-6,NO
3,58,1.5108290470960978E-6,NO
3,44,1.5108290470960978E-6,NO
3,106,1.5647098975257227E-6,YES
3,139,1.5892103863262626E-6,NO
3,326,1.7158583645196281E-6,YES
3,648,1.6224844254345585E-6,YES
3,792,4.504689550522368E-6,YES
3,319,1.3743867452315452E-5,YES
3,55,1.5108290470960978E-6,NO
3,191,1.6518756184207783E-6,NO
3,90,1.5647098975257227E-6,NO
3,273,1.696692624154645E-6,YES
3,137,1.5892103863262626E-6,NO
3,79,1.5385506809087471E-6,NO
3,82,1.5385506809087471E-6,NO
3,147,1.611960895100799E-6,NO
3,422,1.7272073341291288E-6,YES
3,979,3.2101509334400704E-6,YES
3,495,1.3268397539835498E-5,YES
3,189,1.632875795315981E-6,YES
3,167,8.668870962886103E-6,YES
3,86,4.239115029195177E-6,NO
3,182,1.632875795315981E-6,YES
3,361,4.0073284689062356E-6,YES
3,126,1.5892103863262626E-6,YES
3,106,1.5647098975257227E-6,NO
3,109,1.5647098975257227E-6,NO
3,85,1.5385506809087471E-6,NO
3,236,1.6688875584989083E-6,NO
3,315,1.471830168397033E-5,YES
3,695,6.196967372228932E-5,YES
3,27,1.4816457757868517E-6,NO
3,89,1.5647098975257227E-6,NO
3,301,4.704276052786461E-6,YES
3,153,1.611960895100799E-6,YES
3,92,1.5647098975257227E-6,NO
3,466,4.75102528524364E-6,YES
3,93,1.5647098975257227E-6,NO
3,244,1.6838459368214922E-6,NO
3,192,1.6518756184207783E-6,YES
3,252,4.051185844988578E-6,NO
3,109,1.5647098975257227E-6,NO
3,601,1.660497288448518E-6,YES
3,565,4.657589969995185E-6,YES
3,69,1.5385506809087471E-6,NO
3,77,1.5385506809087471E-6,NO
3,94,1.5647098975257227E-6,YES
3,337,1.7158583645196281E-6,NO
3,214,1.6518756184207783E-6,NO
3,79,1.5385506809087471E-6,NO
3,25,1.4816457757868517E-6,NO
3,84,1.5385506809087471E-6,NO
3,34,1.4816457757868517E-6,NO
3,33,1.4816457757868517E-6,NO
3,104,1.5647098975257227E-6,NO
3,172,1.632875795315981E-6,NO
3,70,1.5385506809087471E-6,NO
3,140,1.611960895100799E-6,NO
3,156,4.441379059648701E-6,NO
3,248,1.6838459368214922E-6,NO
3,277,4.674836712062724E-6,YES
3,189,3.5198524734585404E-5,NO
3,194,3.536632960432721E-5,NO
3,346,3.3914164257828104E-5,NO
3,304,4.368306154284617E-4,NO
3,356,0.9999999999987028,YES
3,84,1.2050298574623541E-5,NO
3,53,4.07579177495612E-6,NO
3,132,1.5892103863262626E-6,NO
3,4088,1.6580711375040716E-12,NO
3,691,3.7212389672794697E-4,YES
3,47,9.936391980926988E-6,NO
3,101,4.141141386553109E-4,NO
3,510,5.977182928793853E-6,YES
3,328,4.628901587662788E-6,YES
3,273,1.696692624154645E-6,YES
3,136,1.5892103863262626E-6,NO
3,56,1.5108290470960978E-6,NO
3,74,1.5385506809087471E-6,NO
3,359,4.744846165668497E-6,YES
3,174,1.632875795315981E-6,NO
3,148,1.611960895100799E-6,NO
3,92,1.5647098975257227E-6,NO
3,45,1.5108290470960978E-6,NO
3,168,1.632875795315981E-6,NO
3,77,1.5385506809087471E-6,NO
3,666,4.485056913358385E-6,NO
3,88,1.5385506809087471E-6,NO
3,262,4.639440796965054E-6,NO
3,54,1.5108290470960978E-6,NO
3,48,1.5108290470960978E-6,YES
3,140,1.611960895100799E-6,YES
3,152,1.611960895100799E-6,NO
3,39,1.5108290470960978E-6,NO
3,131,1.5892103863262626E-6,NO
3,47,1.5108290470960978E-6,NO
3,129,1.5892103863262626E-6,NO
3,43,1.5108290470960978E-6,NO
3,243,1.6838459368214922E-6,YES
3,62,1.5108290470960978E-6,NO
3,45,1.5108290470960978E-6,NO
3,97,4.221146766678988E-6,NO
3,476,0.9999999999999989,NO
3,77,5.375697802328218E-6,NO
3,69,4.6514977371897125E-6,NO
3,104,1.0012137961622315E-5,NO
3,115,1.9212439585844937E-5,NO
3,421,0.999999999919637,NO
