ID,SIZE,PREDICTED,ACTUAL
5,215,1.610017173045246E-12,NO
5,274,9.13715777877266E-11,NO
5,461,1.3187108908170855E-10,YES
5,138,1.5228527981303573E-12,NO
5,358,6.282121269590454E-13,NO
5,1248,0.998608588673607,YES
5,51,4.946473780670431E-13,NO
5,45,1.7982692480873695E-12,NO
5,157,5.017683158814698E-13,NO
5,31,4.979318414973926E-13,NO
5,1008,3.370485018508037E-10,YES
5,55,4.232136810385134E-12,NO
5,204,6.092141294356873E-8,NO
5,55,2.1618597871394895E-12,NO
5,103,3.557743748528501E-11,NO
5,83,6.265036784366513E-12,NO
5,262,1.6871285881274136E-12,NO
5,83,9.33097195950216E-12,NO
5,867,0.11869218810263563,YES
5,40,4.946473780670431E-13,NO
5,387,1.50244445929123E-10,YES
5,390,2.094241457097871E-12,NO
5,51,4.946473780670431E-13,NO
5,637,1.1720232423054174E-4,YES
5,32,4.979318414973926E-13,NO
5,68,1.5497609597625922E-12,YES
5,547,1.0,YES
5,566,1.0,NO
5,314,7.549839208412632E-9,YES
5,839,0.002028553233439521,YES
5,211,2.1007425977433522E-11,NO
5,31,1.4673538153346902E-12,NO
5,50,4.946473780670431E-13,NO
5,27,4.979318414973926E-13,NO
5,175,1.0,NO
5,50,1.4798994436768679E-12,NO
5,62,4.929392739263566E-13,NO
5,87,1.5093953890969588E-12,NO
5,52,4.946473780670431E-13,NO
5,373,2.1454185714678604E-8,NO
5,224,1.0123968926304528E-7,NO
5,118,4.942020388700416E-13,YES
5,83,4.927912957233528E-13,NO
5,147,5.017683158814698E-13,NO
5,58,1.5098486390208894E-12,NO
5,44,4.946473780670431E-13,NO
5,106,4.942020388700416E-13,NO
5,189,2.061920184550513E-11,NO
5,151,5.017683158814698E-13,NO
5,352,6.282121269590454E-13,YES
5,849,2.568413072717291E-10,YES
5,877,1.2240316722648935E-11,YES
5,41,1.5598360780950577E-12,NO
5,319,5.845389562591584E-13,YES
5,27,4.979318414973926E-13,NO
5,55,4.946473780670431E-13,NO
5,94,4.927912957233528E-13,NO
5,191,5.15928507944324E-13,NO
5,90,4.927912957233528E-13,NO
5,90,4.927912957233528E-13,NO
5,271,1.6871285881274136E-12,YES
5,152,1.5408878628764375E-12,NO
5,90,1.474346366172289E-12,YES
5,82,1.5093953890969588E-12,NO
5,147,5.017683158814698E-13,NO
5,422,2.1952036788378582E-12,YES
5,1059,2.9670873844231954E-7,YES
5,530,9.509411509463027E-13,YES
5,205,8.22781505562572E-11,YES
5,190,2.2093952220270694E-9,NO
5,86,1.5093953890969588E-12,NO
5,207,8.558397551212584E-11,YES
5,397,2.477928332480952E-11,YES
5,573,1.0886404048846747E-12,NO
5,126,4.971849052987884E-13,YES
5,167,2.392777361428352E-11,NO
5,109,4.942020388700416E-13,YES
5,85,4.927912957233528E-13,NO
5,237,5.372338971218493E-13,NO
5,424,2.978004514766846E-11,YES
5,47,4.946473780670431E-13,NO
5,1118,0.9999928681037092,YES
5,27,4.979318414973926E-13,NO
5,89,4.927912957233528E-13,NO
5,474,8.853089906350742E-9,YES
5,166,5.079961622300702E-13,NO
5,92,4.927912957233528E-13,NO
