ID,SIZE,PREDICTED,ACTUAL
4,215,0.34,NO
4,273,0.71,YES
4,460,0.01,YES
4,138,0.32,NO
4,358,0.03,NO
4,1154,0.98,YES
4,51,0.0,NO
4,157,0.1,NO
4,31,0.0,NO
4,1009,0.4,YES
4,193,0.8,NO
4,83,0.9406666666666667,YES
4,262,0.25,NO
4,638,0.93,YES
4,40,0.0,NO
4,374,0.94,NO
4,390,0.07,NO
4,51,0.0,NO
4,579,0.37,YES
4,32,0.0,NO
4,66,0.0,NO
4,260,0.85,YES
4,596,0.69,NO
4,198,0.62,NO
4,50,0.0,NO
4,27,0.0,NO
4,926,0.26,NO
4,60,0.4328333333333332,NO
4,62,0.022857142857142864,NO
4,87,0.012,NO
4,52,0.0,NO
4,297,0.63,NO
4,163,0.5,NO
4,118,0.66,NO
4,83,0.9406666666666667,NO
4,147,0.1,NO
4,58,0.2580119047619047,NO
4,44,0.16,NO
4,106,0.38,NO
4,192,0.73,NO
4,151,0.74,NO
4,352,0.8,YES
4,752,0.88,YES
4,877,0.81,YES
4,319,0.87,YES
4,27,0.01,NO
4,55,0.0,NO
4,94,0.95,NO
4,191,0.0,NO
4,90,0.09285714285714285,NO
4,90,0.99,NO
4,271,0.15,YES
4,138,0.71,NO
4,79,0.95,NO
4,82,0.9365,NO
4,147,0.1,NO
4,422,0.06,YES
4,1026,0.71,YES
4,530,0.71,NO
4,189,0.0,YES
4,167,0.79,YES
4,86,0.018666666666666668,NO
4,195,0.73,YES
4,374,0.94,YES
4,573,0.94,NO
4,126,0.0,YES
4,106,0.81,YES
4,109,0.02,NO
4,85,0.04349999999999999,NO
4,237,0.46,NO
4,345,0.73,YES
4,47,0.0,NO
4,781,0.515,YES
4,27,0.0,NO
4,89,0.045428571428571436,NO
4,300,0.48,YES
4,166,0.78,NO
4,92,0.36636904761904765,NO
4,497,0.87,YES
4,93,0.7597976190476191,NO
4,244,0.02,NO
4,183,0.6,YES
4,252,0.25,NO
4,109,0.02,YES
4,607,0.56,YES
4,565,0.47,YES
4,69,0.3993690476190477,NO
4,77,0.14,NO
4,97,0.63,NO
4,343,0.57,NO
4,214,0.0,NO
4,79,0.95,NO
4,25,0.0,NO
4,84,0.3188809523809524,NO
4,34,0.0,NO
4,33,0.0,NO
4,104,0.655,NO
4,172,0.0,NO
4,70,0.15333333333333332,NO
4,140,0.13,NO
4,156,0.09,NO
4,142,0.61,NO
4,152,0.55,NO
4,31,0.0,NO
4,60,0.7434999999999999,NO
4,60,0.7434999999999999,NO
4,876,0.74,NO
4,61,0.4565000000000001,NO
4,185,0.17,NO
4,264,0.72,NO
4,248,0.07,NO
4,286,0.98,YES
4,185,0.86,NO
4,194,0.0,NO
4,346,0.02,NO
4,309,0.47,NO
4,363,0.76,YES
4,84,0.3188809523809524,NO
4,53,0.0,NO
4,132,0.0,YES
4,4088,0.25,NO
4,721,0.67,YES
4,47,0.0,NO
4,101,0.9030952380952381,NO
4,517,0.72,YES
4,327,0.39,YES
4,274,0.17,YES
4,136,0.24,YES
4,56,0.037416666666666674,NO
4,74,0.0,YES
4,361,0.71,YES
4,174,0.0,NO
4,148,0.67,NO
4,92,0.36636904761904765,NO
4,45,0.63,NO
4,168,0.03,NO
4,77,0.14,NO
4,666,0.67,NO
4,88,0.02142857142857143,NO
4,263,0.4,NO
4,54,0.0,NO
4,51,0.49,NO
4,132,0.01,NO
4,160,0.87,YES
4,152,0.12,NO
