ID,SIZE,PREDICTED,ACTUAL
4,215,0.4,NO
4,273,0.98,YES
4,460,0.0,YES
4,138,0.10240987933634989,NO
4,358,0.0,NO
4,1154,0.6,YES
4,51,0.0,NO
4,157,0.01,NO
4,31,0.0,NO
4,1009,0.45,YES
4,193,0.8,NO
4,83,0.2,YES
4,262,0.08,NO
4,638,0.82,YES
4,40,0.0,NO
4,374,0.878,NO
4,390,0.0,NO
4,51,0.0,NO
4,579,0.3,YES
4,32,0.0,NO
4,66,0.0,NO
4,260,0.81,YES
4,596,0.81,NO
4,198,0.39,NO
4,50,0.0,NO
4,27,0.0,NO
4,926,0.07,NO
4,60,0.7647802197802197,NO
4,62,0.0,NO
4,87,0.0,NO
4,52,0.0,NO
4,297,0.75,NO
4,163,0.65,NO
4,118,0.51,NO
4,83,0.2,NO
4,147,0.01,NO
4,58,0.07268011297268265,NO
4,44,0.6707142857142857,NO
4,106,0.17,NO
4,192,0.19,NO
4,151,0.69,NO
4,352,0.4277777777777778,YES
4,752,0.88,YES
4,877,0.78,YES
4,319,0.54,YES
4,27,0.0,NO
4,55,0.0,NO
4,94,0.7038954623807565,NO
4,191,0.0,NO
4,90,0.0,NO
4,90,0.99,NO
4,271,0.03,YES
4,138,0.31,NO
4,79,0.2957936507936508,NO
4,82,0.7282923881673882,NO
4,147,0.01,NO
4,422,0.0,YES
4,1026,0.8,YES
4,530,0.63,NO
4,189,0.0,YES
4,167,0.83,YES
4,86,0.0,NO
4,195,0.48,YES
4,374,0.77,YES
4,573,0.96,NO
4,126,0.0,YES
4,106,0.38,YES
4,109,0.0,NO
4,85,0.0,NO
4,237,0.35,NO
4,345,0.4177777777777778,YES
4,47,0.0125,NO
4,781,0.3313333333333333,YES
4,27,0.0,NO
4,89,0.0,NO
4,300,0.29,YES
4,166,0.46,NO
4,92,0.47715472716026297,NO
4,497,0.89,YES
4,93,0.05890331890331889,NO
4,244,0.0,NO
4,183,0.61,YES
4,252,0.0,NO
4,109,0.0,YES
4,607,0.56,YES
4,565,0.44,YES
4,69,0.29945238095238086,NO
4,77,0.0,NO
4,97,0.09,NO
4,343,0.22,NO
4,214,0.0,NO
4,79,0.2957936507936508,NO
4,25,0.0,NO
4,84,0.295781746031746,NO
4,34,0.0,NO
4,33,0.0,NO
4,104,1.0,NO
4,172,0.01,NO
4,70,0.0033333333333333335,NO
4,140,0.03690346907993967,NO
4,156,0.01,NO
4,142,1.0,NO
4,152,0.92,NO
4,31,0.03,NO
4,60,0.019,NO
4,60,0.019,NO
4,876,0.71,NO
4,61,0.0,NO
4,185,0.0,NO
4,264,0.36,NO
4,248,0.0,NO
4,286,0.6,YES
4,185,0.57,NO
4,194,0.0,NO
4,346,0.0,NO
4,309,0.06,NO
4,363,0.74,YES
4,84,0.295781746031746,NO
4,53,0.0,NO
4,132,0.0,YES
4,4088,0.03,NO
4,721,0.81,YES
4,47,0.0,NO
4,101,0.8693678127428127,NO
4,517,0.79,YES
4,327,0.17,YES
4,274,0.08,YES
4,136,0.7829275095389646,YES
4,56,0.0,NO
4,74,0.0,YES
4,361,0.61,YES
4,174,0.0,NO
4,148,0.99,NO
4,92,0.47715472716026297,NO
4,45,0.687857142857143,NO
4,168,0.02,NO
