ID,SIZE,PREDICTED,ACTUAL
6,212,0.35,NO
6,274,0.724297619047619,NO
6,461,0.0,YES
6,138,0.31,NO
6,358,0.0,NO
6,1272,0.67,YES
6,51,0.0,NO
6,45,0.09363465554912924,NO
6,157,0.1,NO
6,31,0.0,NO
6,1406,0.42,YES
6,55,0.04,NO
6,204,0.0,NO
6,55,0.04,NO
6,103,0.01,NO
6,34,0.0,NO
6,83,0.5191628094128095,NO
6,285,0.33,NO
6,83,0.5191628094128095,NO
6,129,0.0,NO
6,867,0.0,YES
6,380,0.25,NO
6,40,0.0,NO
6,387,0.0,YES
6,390,0.0,NO
6,51,0.0,NO
6,637,0.12,YES
6,32,0.0,NO
6,68,0.007095238095238095,YES
6,547,0.0,YES
6,566,0.15,NO
6,314,0.25,YES
6,907,0.73,YES
6,275,0.62,NO
6,31,0.0,NO
6,50,0.0,NO
6,27,0.0,NO
6,175,0.0,NO
6,50,0.0,NO
6,62,0.0,NO
6,87,0.0,NO
6,52,0.07,NO
6,373,0.0,NO
6,224,0.0,NO
6,118,0.0,YES
6,83,0.19,NO
6,147,0.0,NO
6,58,0.08156124018740124,NO
6,44,0.0,NO
6,106,0.09159588450764924,NO
6,238,0.72,NO
6,43,0.0,NO
6,185,0.02,YES
6,189,0.02,NO
6,151,0.0,NO
6,364,0.17,NO
6,910,0.7,NO
6,889,0.19,NO
6,43,0.4,NO
6,325,0.41,NO
6,27,0.0,NO
6,55,0.04,NO
6,93,0.15,NO
6,191,0.0,NO
6,90,0.0,NO
6,89,0.35,NO
6,272,0.42,NO
6,152,0.52,NO
6,90,0.0,YES
6,82,0.12,NO
6,148,0.52,NO
6,421,0.25,YES
6,1190,0.7,YES
6,528,0.39,YES
6,205,0.84,YES
6,190,0.0,NO
6,86,0.0,NO
6,212,0.45,YES
6,404,0.5,NO
6,572,0.33,NO
6,132,0.08,NO
6,168,0.51,NO
6,109,0.0,YES
6,85,0.0,NO
6,107,0.0,NO
6,237,0.11,NO
6,511,0.26,YES
6,47,0.0,NO
6,1328,0.6,YES
6,27,0.0,NO
6,89,0.0,NO
6,482,0.56,YES
6,226,0.76,YES
6,166,0.0,NO
6,92,0.08,YES
6,476,0.0,NO
6,93,0.18,YES
6,244,0.03,NO
6,204,0.0,NO
6,252,0.0,NO
6,119,0.21,NO
6,733,0.37,NO
6,630,0.547,NO
6,69,0.13002020202020206,NO
6,77,0.0,NO
6,97,0.07,NO
6,380,0.44,NO
6,214,0.0,NO
6,38,0.15,NO
6,79,0.17459704184704197,NO
6,25,0.0,NO
6,84,0.08514860887306709,NO
6,34,0.0,NO
6,33,0.0,NO
6,104,0.0,NO
6,193,0.17,NO
6,70,0.0,NO
6,140,0.0,NO
6,22,0.0,NO
6,156,0.01,NO
6,142,0.17,NO
6,100,0.0,YES
6,152,0.0,NO
6,31,0.0,NO
6,60,0.18878968253968256,NO
6,60,0.18878968253968256,NO
6,876,0.0,NO
6,61,0.04,NO
6,185,0.0,NO
6,264,0.22,NO
6,43,0.0,NO
6,248,0.01,NO
6,361,0.73,YES
6,199,0.03,YES
6,194,0.19,YES
6,346,0.0,YES
6,91,0.41,NO
6,335,0.6,YES
6,370,0.24,NO
6,82,0.17,NO
6,53,0.0,NO
6,148,0.51,NO
6,4088,0.0,NO
6,88,0.86,NO
6,878,0.95,YES
6,37,0.0,NO
6,48,0.0,NO
6,47,0.0,NO
6,101,0.42688056292991333,NO
6,556,0.59,NO
6,360,0.5,NO
6,284,0.87,YES
