ID,SIZE,PREDICTED,ACTUAL
6,212,0.37,NO
6,274,0.9511547896547897,NO
6,461,0.0,YES
6,138,0.25896789321789315,NO
6,358,0.0,NO
6,1272,0.67,YES
6,51,0.0,NO
6,45,0.49404430291930296,NO
6,157,0.0,NO
6,31,0.0,NO
6,1406,0.6,YES
6,55,0.0,NO
6,204,0.0,NO
6,55,0.0,NO
6,103,0.01,NO
6,34,0.0,NO
6,83,0.8380704434454435,NO
6,285,0.65,NO
6,83,0.8380704434454435,NO
6,129,0.02,NO
6,867,0.07,YES
6,380,0.72,NO
6,40,0.0,NO
6,387,0.0,YES
6,390,0.0,NO
6,51,0.0,NO
6,637,0.43,YES
6,32,0.0,NO
6,68,0.15437734487734484,YES
6,547,0.05,YES
6,566,0.38,NO
6,314,0.32,YES
6,907,0.8959999999999999,YES
6,275,0.9,NO
6,31,0.0,NO
6,50,0.0,NO
6,27,0.0,NO
6,175,0.0,NO
6,50,0.0,NO
6,62,0.004615384615384615,NO
6,87,0.0,NO
6,52,0.0,NO
6,373,0.0,NO
6,224,0.0,NO
6,118,0.0,YES
6,83,0.4292307692307692,NO
6,147,0.0285,NO
6,58,0.46031970806970807,NO
6,44,0.03574206349206349,NO
6,106,0.5183717948717949,NO
6,238,0.99,NO
6,43,0.021,NO
6,185,0.16,YES
6,189,0.01,NO
6,151,0.029166666666666664,NO
6,364,0.46,NO
6,910,0.74,NO
6,889,0.38,NO
6,43,0.35,NO
6,325,0.64,NO
6,27,0.0,NO
6,55,0.0,NO
6,93,0.22,NO
6,191,0.11,NO
6,90,0.0,NO
6,89,0.33,NO
6,272,0.64,NO
6,152,0.46,NO
6,90,0.0,YES
6,82,0.4466538739038738,NO
6,148,0.44,NO
6,421,0.29,YES
6,1190,0.79,YES
6,528,0.52,YES
6,205,0.88,YES
6,190,0.02,NO
6,86,0.0,NO
6,212,0.59,YES
6,404,0.71,NO
6,572,0.48,NO
6,132,0.21,NO
6,168,0.5,NO
6,109,0.0,YES
6,85,0.0,NO
6,107,0.01,NO
6,237,0.38,NO
6,511,0.3821428571428572,YES
6,47,0.0,NO
6,1328,0.78,YES
6,27,0.0,NO
6,89,0.0,NO
6,482,0.7,YES
6,226,0.95,YES
6,166,0.0,NO
6,92,0.52,YES
6,476,0.0,NO
6,93,0.69,YES
6,244,0.3,NO
6,204,0.0,NO
6,252,0.0,NO
6,119,0.55,NO
6,733,0.38,NO
6,630,0.7916666666666665,NO
6,69,0.6439487734487735,NO
6,77,0.02,NO
6,97,0.13665295815295816,NO
6,380,0.68,NO
6,214,0.0,NO
6,38,0.08,NO
6,79,0.6845891053391054,NO
6,25,0.0,NO
6,84,0.42683312520812533,NO
6,34,0.0,NO
6,33,0.0,NO
6,104,0.04450324675324675,NO
6,193,0.45,NO
6,70,0.0,NO
6,140,0.01,NO
6,22,0.01,NO
6,156,0.005,NO
6,142,0.0,NO
6,100,0.0,YES
6,152,0.12744047619047622,NO
6,31,0.0,NO
6,60,0.664436063936064,NO
6,60,0.664436063936064,NO
6,876,0.07,NO
6,61,0.0,NO
6,185,0.0,NO
6,264,0.09,NO
6,43,0.0,NO
6,248,0.02,NO
6,361,0.89,YES
6,199,0.1,YES
6,194,0.65,YES
6,346,0.0,YES
6,91,0.67,NO
6,335,0.61,YES
6,370,0.48,NO
6,82,0.26,NO
6,53,0.0,NO
6,148,0.44,NO
6,4088,0.01,NO
6,88,0.5937460317460317,NO
6,878,0.93,YES
6,37,0.0,NO
6,48,0.0,NO
6,47,0.0,NO
6,101,0.6697523382190566,NO
6,556,0.82,NO
6,360,0.428,NO
6,284,0.88,YES
6,135,0.26,NO
6,56,0.0,NO
6,78,0.87,NO
6,409,0.86,YES
6,174,0.0,NO
6,148,0.5846464091464092,NO
6,88,0.38,NO
6,45,0.49404430291930296,YES
6,39,0.0,NO
6,182,0.9379044011544012,NO
6,77,0.02,NO
6,666,0.44,NO
6,104,0.42,YES
6,263,0.09,YES
6,54,0.0,NO
6,76,0.0,NO
6,119,0.57,NO
6,200,0.52,NO
6,152,0.12744047619047622,NO
6,39,0.0,NO
6,677,0.31,NO
6,131,0.0,NO
6,47,0.0,NO
6,100,0.196,NO
6,43,0.0,NO
6,73,0.0,NO
6,257,0.0,NO
6,356,0.0,NO
6,62,0.004615384615384615,NO
6,45,0.49404430291930296,NO
6,97,0.13665295815295816,NO
6,131,0.0,YES
6,68,0.15437734487734484,YES
6,99,0.0,NO
6,53,0.0,NO
6,81,0.9978888888888889,NO
6,78,1.0,YES
6,69,0.6439487734487735,NO
6,69,0.6439487734487735,NO
6,77,0.02,NO
6,72,0.0,NO
6,72,0.0,NO
6,63,0.43032846393372715,NO
6,50,0.0,NO
6,28,0.0,NO
6,96,0.7584123376623376,NO
6,40,0.0,NO
6,76,0.0,NO
6,49,0.0,NO
6,63,0.43032846393372715,NO
6,55,0.0,NO
6,45,0.49404430291930296,NO
6,476,0.0,NO
6,77,0.02,NO
6,69,0.6439487734487735,NO
6,104,0.04450324675324675,NO
6,115,0.0,NO
6,421,0.0,NO
6,61,0.0,NO
6,2009,0.01,NO
6,179,0.02,NO
6,106,0.5183717948717949,NO
6,33,0.0,NO
6,657,0.41,NO
6,295,0.01,NO
6,872,0.07,NO
6,444,0.0,NO
6,168,0.0,NO
6,752,0.04,NO
6,135,0.055440115440115435,NO
6,1126,0.01,NO
6,163,0.017142857142857144,NO
6,184,0.01,NO
6,51,0.0,NO
6,25,0.0,NO
6,180,0.02,NO
6,64,0.0,NO
6,101,0.6697523382190566,NO
6,512,0.0,NO
6,187,0.0,NO
6,56,0.0,NO
6,39,0.0,NO
6,261,0.07,NO
6,73,0.0,NO
6,65,0.0,NO
6,329,0.07,NO
6,64,0.0,NO
6,164,0.0,NO
6,624,0.07,NO
6,74,0.0,NO
6,117,0.0,NO
6,84,0.42683312520812533,NO
6,226,0.0,NO
6,76,0.0,NO
6,323,0.47,NO
6,72,0.0,NO
6,42,0.0,NO
6,48,0.3956924464424465,NO
6,89,0.0,NO
6,380,0.0,NO
6,141,0.01,NO
6,148,0.5846464091464092,NO
6,191,0.11,NO
6,46,0.0,NO
6,165,0.0,NO
6,171,0.0,NO
6,56,0.0,NO
6,179,0.02,NO
6,74,0.0,NO
6,36,0.0,NO
6,37,0.0,NO
6,34,0.0,NO
6,34,0.0,NO
6,38,0.5148469863469863,NO
6,39,0.0,NO
6,156,0.005,NO
6,84,0.42683312520812533,NO
6,117,0.0,NO
6,94,0.7389938696923991,NO
6,71,0.0,NO
