ID,SIZE,PREDICTED,ACTUAL
5,215,0.06,NO
5,274,0.2,NO
5,461,0.25,YES
5,138,0.06,NO
5,358,0.0,NO
5,1248,0.81,YES
5,51,0.0,NO
5,45,0.29778571428571426,NO
5,157,0.21,NO
5,31,0.0,NO
5,1008,0.27,YES
5,55,0.371,NO
5,204,0.43,NO
5,55,0.0,NO
5,103,0.0,NO
5,83,0.3,NO
5,262,0.35,NO
5,83,0.07,NO
5,867,0.69,YES
5,40,0.02,NO
5,387,0.34,YES
5,390,0.65,NO
5,51,0.0,NO
5,637,0.8,YES
5,32,0.0,NO
5,68,0.14,YES
5,547,0.91,YES
5,566,0.81,NO
5,314,0.65,YES
5,839,0.82,YES
5,211,0.41,NO
5,31,0.0,NO
5,50,0.0,NO
5,27,0.0,NO
5,175,0.56,NO
5,50,0.095,NO
5,62,0.0,NO
5,87,0.5,NO
5,52,0.08,NO
5,373,0.73,NO
5,224,0.325,NO
5,118,0.0,YES
5,83,0.6517687590187591,NO
5,147,0.0,NO
5,58,0.01,NO
5,44,9.090909090909091E-4,NO
5,106,0.1590734445293269,NO
5,189,0.19,NO
5,151,0.08,NO
5,352,0.0,YES
5,849,0.565,YES
5,877,0.35,YES
5,41,0.0,NO
5,319,0.01,YES
5,27,0.0,NO
5,55,0.0,NO
5,94,0.4930108502608502,NO
5,191,0.02,NO
5,90,0.0,NO
5,90,0.0,NO
5,271,0.35,YES
5,152,0.44,NO
5,90,0.42,YES
5,82,0.36,NO
5,147,0.0,NO
5,422,0.65,YES
5,1059,0.46,YES
5,530,0.01,YES
5,205,0.54,YES
5,190,0.36,NO
5,86,0.5,NO
5,207,0.63,YES
5,397,0.44,YES
5,573,0.29,NO
5,126,0.0,YES
5,167,0.32,NO
5,109,0.0,YES
5,85,0.0,NO
5,237,0.24,NO
5,424,0.47,YES
5,47,0.0,NO
5,1118,0.84,YES
5,27,0.0,NO
5,89,0.0,NO
5,474,0.72,YES
5,166,0.0,NO
5,92,0.10483864235180028,NO
5,476,0.57,NO
5,93,0.12,NO
5,244,0.09,NO
5,204,0.22,NO
5,252,0.24,NO
5,109,0.0,YES
5,618,0.87,NO
5,565,0.12,YES
5,69,0.22894841269841265,NO
5,77,0.0,NO
5,97,0.28237179487179487,NO
5,343,0.0,NO
5,214,0.0,NO
5,79,0.2398629148629148,NO
5,25,0.0,NO
5,84,0.12360506813447991,NO
5,34,0.0,NO
5,33,0.0,NO
5,104,0.02,NO
5,172,0.0,NO
5,70,0.0,NO
5,140,0.09,NO
5,156,0.06,NO
5,142,0.85,NO
5,152,0.16272727272727272,NO
5,31,0.0,NO
5,60,0.2527817460317461,NO
5,60,0.2527817460317461,NO
5,876,0.1,NO
5,61,0.23,NO
5,185,0.0,NO
5,264,0.06,NO
5,43,0.0,NO
5,248,0.15,NO
5,310,0.75,YES
5,199,0.54,YES
5,194,0.06,YES
5,346,0.0,YES
5,90,0.57,NO
5,335,0.03,YES
5,372,0.52,NO
5,84,0.12360506813447991,NO
5,53,0.01,NO
5,148,0.34,NO
5,4088,0.0,NO
5,860,0.84,YES
5,47,0.0,NO
5,101,0.43392798867798865,NO
5,517,0.0,YES
5,327,0.64,YES
5,275,0.06,YES
5,136,0.12,NO
5,56,0.0,NO
5,74,0.0,YES
5,362,0.21,YES
5,174,0.1,NO
5,148,0.12,NO
5,92,0.54,NO
5,45,0.11991122766122768,YES
5,39,0.0,NO
5,182,0.7,NO
5,77,0.3,NO
5,666,0.33,NO
5,88,0.0,YES
5,263,0.06,YES
5,54,0.0,NO
5,76,0.15,NO
5,132,0.05,NO
5,160,0.05,YES
5,152,0.16272727272727272,NO
5,39,0.0,NO
5,677,0.33,NO
5,131,0.0,NO
5,47,0.0,NO
5,129,0.0,NO
5,43,0.0,NO
5,73,0.03,NO
5,257,0.0,NO
5,356,0.0,NO
5,62,0.0,NO
5,45,0.11991122766122768,NO
5,97,0.28237179487179487,NO
5,131,0.3,YES
5,68,0.09333333333333335,YES
5,99,0.015,NO
5,53,0.0,NO
5,81,0.89,NO
5,78,0.95,YES
5,69,0.062,NO
5,69,0.062,NO
5,77,0.24650072150072147,NO
5,72,0.03,NO
5,72,0.03,NO
5,63,0.1262777777777778,NO
5,50,0.0,NO
5,28,0.0,NO
5,96,0.12620238095238098,NO
5,40,0.0,NO
5,76,0.12449206349206351,NO
5,49,0.02,NO
5,63,0.1262777777777778,NO
5,55,0.0,NO
5,45,0.29778571428571426,NO
5,476,0.0,NO
5,77,0.0,NO
5,69,0.22894841269841265,NO
5,104,0.02,NO
5,115,0.0,NO
5,421,0.0,NO
5,61,0.23,NO
5,2009,0.0,NO
5,179,0.0,NO
5,106,0.1590734445293269,NO
5,33,0.0,NO
5,657,0.3,NO
5,295,0.008,NO
5,872,0.1,NO
5,444,0.0,NO
5,168,0.0,NO
5,752,0.24,NO
5,135,0.0,NO
5,1126,0.0,NO
5,163,0.0,NO
5,184,0.0,NO
5,51,0.0,NO
5,25,0.0,NO
5,180,0.0,NO
5,64,0.0,NO
5,101,0.43392798867798865,NO
5,512,0.0,NO
5,187,0.25,NO
5,56,0.0,NO
5,39,0.0,NO
5,261,0.04,NO
5,73,0.0,NO
5,65,0.3,NO
5,329,0.06,NO
5,64,0.0,NO
5,164,0.0,NO
5,624,0.06,NO
5,74,0.0,NO
5,117,0.0,NO
5,84,0.12360506813447991,NO
5,226,0.0,NO
5,76,0.0,NO
5,323,0.15,NO
5,72,0.0,NO
5,42,0.0,NO
5,48,0.07097067565217718,NO
5,89,0.0,NO
5,380,0.0,NO
5,141,0.32,NO
5,148,0.15527020202020198,NO
5,191,0.02,NO
5,46,0.02,NO
5,165,0.0,NO
5,171,0.0,NO
5,56,0.0,NO
5,179,0.0,NO
5,74,0.0,NO
5,36,0.0,NO
5,37,0.0,NO
5,34,0.0,NO
5,34,0.0,NO
5,38,0.14914102564102563,NO
5,39,0.0,NO
5,156,0.06,NO
5,84,0.12360506813447991,NO
5,117,0.0,NO
5,94,0.4930108502608502,NO
5,71,0.0,NO
5,183,0.0,NO
5,85,0.0,NO
5,183,0.0,NO
5,70,0.0,NO
5,54,0.0,NO
5,160,0.05,NO
5,128,0.0,NO
5,151,0.08,NO
