ID,SIZE,PREDICTED,ACTUAL
3,215,0.06,NO
3,273,0.4,YES
3,460,0.6,YES
3,138,0.54,NO
3,358,0.64,NO
3,1248,0.62,YES
3,51,0.0,NO
3,157,0.58,NO
3,31,0.0,NO
3,981,0.34,YES
3,180,0.05,NO
3,262,0.47,NO
3,553,0.69,YES
3,40,0.005,NO
3,369,0.64,NO
3,390,0.61,NO
3,51,0.0,NO
3,577,0.25,YES
3,32,0.0,NO
3,66,0.025,NO
3,188,0.37,YES
3,582,0.25,YES
3,160,0.65,YES
3,50,0.0,NO
3,27,0.0,NO
3,923,0.63,YES
3,60,0.40535714285714286,NO
3,62,0.07833730158730158,NO
3,87,0.24816666666666667,NO
3,52,0.0,NO
3,268,0.08,YES
3,163,0.35,NO
3,109,0.84,NO
3,147,0.66,NO
3,58,0.04416666666666665,NO
3,44,0.37133333333333335,NO
3,106,0.84,YES
3,139,0.22,NO
3,326,0.2,YES
3,648,0.25,YES
3,792,0.81,YES
3,319,0.44,YES
3,55,0.0,NO
3,191,0.05,NO
3,90,0.4313333333333334,NO
3,273,0.09,YES
3,137,0.21,NO
3,79,0.87,NO
3,82,0.6791666666666667,NO
3,147,0.66,NO
3,422,0.22,YES
3,979,0.56,YES
3,495,0.58,YES
3,189,0.05,YES
3,167,0.43,YES
3,86,0.62,NO
3,182,0.05,YES
3,361,0.41,YES
3,126,0.13,YES
3,106,0.84,NO
3,109,0.84,NO
3,85,0.345,NO
3,236,0.07,NO
3,315,0.47,YES
3,695,0.51,YES
3,27,0.0,NO
3,89,0.43800000000000006,NO
3,301,0.65,YES
3,153,0.36,YES
3,92,0.4563333333333333,NO
3,466,0.62,YES
3,93,0.4794166666666667,NO
3,244,0.07,NO
3,192,0.05,YES
3,252,0.49,NO
3,109,0.84,NO
3,601,0.25,YES
3,565,0.69,YES
3,69,0.61,NO
3,77,0.24,NO
3,94,0.4969166666666667,YES
3,337,0.19,NO
3,214,0.06,NO
3,79,0.87,NO
3,25,0.0,NO
3,84,0.32916666666666666,NO
3,34,0.015,NO
3,33,0.005,NO
3,104,0.84,NO
3,172,0.19,NO
3,70,0.61,NO
3,140,0.22,NO
3,156,0.67,NO
3,248,0.07,NO
3,277,0.53,YES
3,189,0.95,NO
3,194,0.89,NO
3,346,0.83,NO
3,304,0.84,NO
3,356,0.52,YES
3,84,0.25,NO
3,53,0.15,NO
3,132,0.11,NO
3,4088,0.25,NO
3,691,0.66,YES
3,47,0.29,NO
3,101,0.42,NO
3,510,0.55,YES
3,328,0.48,YES
3,273,0.09,YES
3,136,0.22,NO
3,56,0.0,NO
3,74,0.0,NO
3,359,0.49,YES
3,174,0.06,NO
3,148,0.66,NO
3,92,0.4563333333333333,NO
3,45,0.37383333333333335,NO
3,168,0.32,NO
3,77,0.24,NO
3,666,0.56,NO
3,88,0.41600000000000004,NO
3,262,0.39,NO
3,54,0.0,NO
3,48,0.011000000000000001,YES
3,140,0.22,YES
3,152,0.36,NO
3,39,0.04816666666666666,NO
3,131,0.11,NO
3,47,0.04016666666666666,NO
3,129,0.11,NO
3,43,0.10750000000000001,NO
3,243,0.07,YES
3,62,0.07833730158730158,NO
3,45,0.37383333333333335,NO
3,97,0.81,NO
3,476,0.88,NO
3,77,0.5116666666666666,NO
3,69,0.4716666666666666,NO
3,104,0.65,NO
3,115,0.15,NO
3,421,0.81,NO
3,61,0.29,NO
3,2009,0.58,NO
3,179,0.94,NO
3,106,0.66,NO
3,33,0.0,NO
3,657,0.78,NO
3,295,0.58,NO
3,872,0.31,NO
3,444,0.88,NO
3,168,0.85,NO
3,752,0.46,NO
3,135,0.02,NO
3,1126,0.41,NO
3,163,0.87,NO
3,184,0.95,NO
3,51,0.03,NO
3,25,0.02,NO
3,180,0.95,NO
3,64,0.7416666666666667,NO
3,101,0.65,NO
3,512,0.88,NO
3,187,0.94,NO
3,56,0.07,NO
3,39,0.0,NO
3,261,0.92,NO
3,73,0.3075,NO
3,65,0.7116666666666667,NO
3,329,0.38,NO
3,64,0.7416666666666667,NO
3,164,0.87,NO
3,624,0.67,NO
3,74,0.19250000000000003,NO
3,117,0.11,NO
3,84,0.835,NO
3,226,0.52,NO
3,76,0.39399999999999996,NO
3,323,0.39,NO
3,72,0.0,NO
3,42,0.10750000000000001,NO
3,48,0.011000000000000001,NO
3,89,0.43800000000000006,NO
3,380,0.22,NO
3,141,0.62,NO
3,148,0.45,NO
3,191,0.05,NO
3,46,0.18299999999999997,NO
3,165,0.33,NO
3,171,0.21,NO
3,56,0.0,NO
3,179,0.05,NO
3,74,0.0,NO
3,36,0.0225,NO
3,37,0.014166666666666668,NO
3,34,0.015,NO
3,34,0.015,NO
3,38,0.37920238095238096,NO
3,39,0.04816666666666666,NO
3,156,0.33,NO
3,84,0.32916666666666666,NO
3,117,0.3,NO
3,94,0.4969166666666667,NO
3,71,0.23,NO
3,183,0.05,NO
3,85,0.345,NO
3,183,0.05,NO
3,70,0.61,NO
3,54,0.0,NO
3,160,0.68,NO
3,125,0.13,NO
3,151,0.36,NO
3,422,0.38,NO
3,221,0.37,NO
3,50,0.0,NO
3,42,0.10750000000000001,NO
3,624,0.25,NO
3,377,0.22,NO
3,383,0.22,NO
3,72,0.0,NO
3,92,0.4563333333333333,NO
3,282,0.44,NO
3,371,0.23,NO
3,47,0.04016666666666666,NO
3,108,0.84,NO
3,111,0.79,NO
3,319,0.2,NO
3,129,0.11,NO
3,49,0.0,NO
3,358,0.19,NO
3,277,0.11,NO
3,49,0.0,NO
3,89,0.43800000000000006,NO
3,41,0.015,NO
3,66,0.025,NO
3,63,0.21276695526695522,NO
3,24,0.0,NO
3,50,0.0,NO
3,72,0.0,NO
3,47,0.04016666666666666,NO
3,47,0.04016666666666666,NO
3,183,0.05,NO
3,49,0.0,NO
3,50,0.0,NO
3,98,0.8718333333333333,NO
3,143,0.67,NO
3,43,0.10750000000000001,NO
3,42,0.10750000000000001,NO
3,56,0.0,NO
3,44,0.37133333333333335,NO
3,26,0.0,NO
3,254,0.07,NO
3,16883,0.25,NO
3,74,0.0,NO
3,153,0.36,NO
3,68,0.61,NO
3,100,0.37,NO
3,550,0.44,NO
3,437,0.22,NO
3,1038,0.52,NO
3,104,0.49,NO
3,332,0.64,NO
3,123,0.1,NO
3,106,0.84,NO
3,106,0.84,NO
3,94,0.65,NO
3,101,0.26,NO
3,38,0.37920238095238096,NO
3,628,0.82,YES
3,32,0.0,NO
3,111,0.79,NO
3,35,0.0225,NO
3,90,0.4313333333333334,NO
3,27,0.0,NO
3,28,0.0,NO
3,92,0.4563333333333333,NO
3,956,0.49,YES
3,67,0.065,NO
3,29,0.0,NO
3,105,0.84,NO
3,72,0.0,NO
3,37,0.014166666666666668,NO
3,47,0.04016666666666666,NO
3,31,0.0,NO
3,90,0.4313333333333334,NO
3,223,0.07,NO
3,214,0.06,NO
3,107,0.84,NO
3,37,0.014166666666666668,NO
3,27,0.0,NO
3,48,0.011000000000000001,NO
3,167,0.29,NO
3,213,0.06,NO
3,867,0.55,NO
3,159,0.68,NO
3,100,0.37,NO
3,96,0.9305833333333333,NO
3,842,0.56,NO
3,525,0.68,NO
3,83,0.32916666666666666,NO
3,63,0.21276695526695522,NO
3,76,0.05,NO
3,202,0.05,NO
3,155,0.29,NO
3,1263,0.69,NO
3,74,0.0,NO
3,101,0.37,NO
3,27,0.0,NO
3,22,0.0,NO
3,491,0.58,NO
3,62,0.07833730158730158,NO
3,59,0.40535714285714286,NO
3,99,0.6918333333333334,NO
3,27,0.0,NO
3,77,0.24,NO
3,846,0.25,YES
3,64,0.07441774891774891,NO
3,45,0.37383333333333335,NO
3,63,0.21276695526695522,NO
3,54,0.0,NO
3,64,0.07441774891774891,NO
3,132,0.11,NO
3,177,0.05,NO
3,70,0.61,NO
3,36,0.0225,NO
3,58,0.04416666666666665,NO
3,62,0.07833730158730158,NO
3,132,0.11,NO
3,74,0.0,NO
3,86,0.54,NO
3,74,0.0,NO
3,48,0.011000000000000001,NO
3,74,0.0,NO
3,86,0.34,NO
3,355,0.19,NO
3,53,0.0,NO
3,804,0.53,NO
3,75,0.0,NO
3,125,0.13,NO
3,200,0.05,NO
3,134,0.11,NO
3,57,0.0,NO
3,123,0.1,NO
3,266,0.4825,YES
3,162,0.69,NO
3,130,0.11,YES
3,108,0.84,YES
3,354,0.64,YES
3,88,0.51,YES
3,28,0.0,NO
3,58,0.205,NO
3,308,0.65,YES
3,343,0.37,YES
3,103,0.84,NO
3,35,0.0225,NO
3,98,0.8718333333333333,NO
3,117,0.42,NO
