ID,SIZE,PREDICTED,ACTUAL
3,215,0.02,NO
3,273,0.29,YES
3,460,0.46,YES
3,138,0.03,NO
3,358,0.5,NO
3,1248,0.58,YES
3,51,0.0,NO
3,157,0.15,NO
3,31,0.0,NO
3,981,0.6,YES
3,180,0.0,NO
3,262,0.34,NO
3,553,0.62,YES
3,40,0.0,NO
3,369,0.4,NO
3,390,0.44,NO
3,51,0.0,NO
3,577,0.22,YES
3,32,0.0,NO
3,66,0.0,NO
3,188,0.21,YES
3,582,0.21,YES
3,160,0.25,YES
3,50,0.0,NO
3,27,0.0,NO
3,923,0.43,YES
3,60,0.42550000000000004,NO
3,62,0.0033333333333333335,NO
3,87,0.013000000000000001,NO
3,52,0.0,NO
3,268,0.02,YES
3,163,0.27,NO
3,109,0.1,NO
3,147,0.05566666666666666,NO
3,58,0.0,NO
3,44,0.35633333333333334,NO
3,106,0.6,YES
3,139,0.02,NO
3,326,0.12,YES
3,648,0.17,YES
3,792,0.6,YES
3,319,0.49,YES
3,55,0.0,NO
3,191,0.01,NO
3,90,0.3838333333333333,NO
3,273,0.02,YES
3,137,0.02,NO
3,79,0.15,NO
3,82,0.07,NO
3,147,0.05566666666666666,NO
3,422,0.15,YES
3,979,0.55,YES
3,495,0.48,YES
3,189,0.02,YES
3,167,0.28,YES
3,86,0.25,NO
3,182,0.0,YES
3,361,0.36,YES
3,126,0.0,YES
3,106,0.6,NO
3,109,0.1,NO
3,85,0.018000000000000002,NO
3,236,0.04,NO
3,315,0.34,YES
3,695,0.34,YES
3,27,0.0,NO
3,89,0.10133333333333333,NO
3,301,0.51,YES
3,153,0.049,YES
3,92,0.4668333333333334,NO
3,466,0.56,YES
3,93,0.4218333333333334,NO
3,244,0.03,NO
3,192,0.04,YES
3,252,0.33,NO
3,109,0.1,NO
3,601,0.19,YES
3,565,0.6,YES
3,69,0.64,NO
3,77,0.04,NO
3,94,0.4846666666666667,YES
3,337,0.12,NO
3,214,0.02,NO
3,79,0.15,NO
3,25,0.0,NO
3,84,0.0,NO
3,34,0.0,NO
3,33,0.0,NO
3,104,0.84,NO
3,172,0.06,NO
3,70,0.25,NO
3,140,0.06,NO
3,156,0.15,NO
3,248,0.02,NO
3,277,0.28,YES
3,189,0.83,NO
3,194,0.67,NO
3,346,0.48,NO
3,304,0.21,NO
3,356,0.07,YES
3,84,0.18,NO
3,53,0.03,NO
3,132,0.0,NO
3,4088,0.23,NO
3,691,0.44,YES
3,47,0.25,NO
