ID,SIZE,PREDICTED,ACTUAL
5,215,0.04,NO
5,274,0.1,NO
5,461,0.18,YES
5,138,0.17,NO
5,358,0.0,NO
5,1248,0.69,YES
5,51,0.0,NO
5,45,0.468792402042402,NO
5,157,0.0,NO
5,31,0.0,NO
5,1008,0.62,YES
5,55,0.2633333333333333,NO
5,204,0.71,NO
5,55,0.02,NO
5,103,0.0,NO
5,83,0.5056752136752137,NO
5,262,0.84,NO
5,83,0.02,NO
5,867,0.96,YES
5,40,0.0,NO
5,387,0.5,YES
5,390,0.97,NO
5,51,0.0,NO
5,637,0.96,YES
5,32,0.0,NO
5,68,0.05,YES
5,547,0.95,YES
5,566,0.94,NO
5,314,0.88,YES
5,839,0.97,YES
5,211,0.66,NO
5,31,0.0,NO
5,50,0.0,NO
5,27,0.0,NO
5,175,0.5,NO
5,50,0.03,NO
5,62,0.0,NO
5,87,0.57,NO
5,52,0.0,NO
5,373,0.96,NO
5,224,0.6,NO
5,118,0.0,YES
5,83,0.9331671559154564,NO
5,147,0.0,NO
5,58,0.006666666666666666,NO
5,44,0.0025,NO
5,106,0.35571865707392014,NO
5,189,0.33,NO
5,151,0.012454545454545454,NO
5,352,0.0,YES
5,849,0.53,YES
5,877,0.91,YES
5,41,0.0,NO
5,319,0.02,YES
5,27,0.0,NO
5,55,0.0,NO
5,94,0.71510864119055,NO
5,191,0.15,NO
5,90,0.0,NO
5,90,0.0,NO
5,271,0.85,YES
5,152,0.7,NO
5,90,0.42,YES
5,82,0.5156752136752136,NO
5,147,0.0,NO
5,422,0.97,YES
5,1059,0.48,YES
5,530,0.19,YES
5,205,0.72,YES
5,190,0.76,NO
5,86,0.54,NO
5,207,0.47,YES
5,397,0.87,YES
5,573,0.37,NO
5,126,0.0,YES
5,167,0.37,NO
5,109,0.0,YES
5,85,0.0,NO
5,237,0.99,NO
5,424,0.58,YES
5,47,0.0,NO
5,1118,0.63,YES
5,27,0.0,NO
5,89,0.0,NO
5,474,0.86,YES
5,166,0.0,NO
5,92,0.1908772623918908,NO
5,476,0.79,NO
5,93,0.71510864119055,NO
5,244,0.25,NO
5,204,0.49,NO
5,252,0.01,NO
5,109,0.0,YES
5,618,0.76,NO
5,565,0.2,YES
5,69,1.0,NO
5,77,0.0,NO
5,97,0.13137287712287707,NO
5,343,0.0,NO
5,214,0.0,NO
5,79,0.5495863613510673,NO
5,25,0.0,NO
5,84,0.33623929093782035,NO
5,34,0.0,NO
5,33,0.0,NO
5,104,0.010714285714285714,NO
5,172,0.0,NO
5,70,0.0,NO
5,140,0.0,NO
5,156,0.0,NO
5,142,0.0,NO
5,152,0.22234823917912158,NO
5,31,0.0,NO
5,60,0.5788881673881672,NO
5,60,0.5788881673881672,NO
5,876,0.01,NO
5,61,0.0,NO
5,185,0.0,NO
5,264,0.32,NO
5,43,0.0,NO
5,248,0.04,NO
5,310,0.77,YES
5,199,0.41,YES
5,194,0.03,YES
5,346,0.0,YES
5,90,0.51,NO
5,335,0.28,YES
