#TRAINING_RELEASES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,NPOFB_20
2,RandomForest,false,NotSet,true,0.12345679012345678
4,IBk,false,NotSet,true,0.2916666666666667
3,RandomForest,false,NotSet,false,0.3333333333333333
6,IBk,false,SMOTE,false,0.525
2,NaiveBayes,false,UnderSampl,false,0.2125
6,IBk,true,NotSet,true,0.35
6,NaiveBayes,false,NotSet,true,0.575
2,NaiveBayes,false,NotSet,false,0.19753086419753085
6,NaiveBayes,true,NotSet,false,0.375
2,RandomForest,true,OverSampl,false,0.275
5,RandomForest,true,OverSampl,false,0.39285714285714285
3,IBk,false,OverSampl,false,0.2962962962962963
4,RandomForest,true,UnderSampl,false,0.3958333333333333
3,NaiveBayes,false,NotSet,true,0.25925925925925924
2,RandomForest,true,UnderSampl,false,0.275
5,NaiveBayes,false,NotSet,false,0.44642857142857145
5,IBk,false,UnderSampl,false,0.35714285714285715
5,IBk,true,OverSampl,false,0.32142857142857145
6,RandomForest,true,NotSet,false,0.475
1,IBk,false,SMOTE,false,0.3619047619047619
5,IBk,true,UnderSampl,false,0.375
2,IBk,true,NotSet,true,0.12345679012345678
2,IBk,true,OverSampl,false,0.1111111111111111
1,NaiveBayes,false,SMOTE,false,0.26666666666666666
6,RandomForest,true,OverSampl,false,0.425
5,RandomForest,true,NotSet,false,0.4107142857142857
6,IBk,false,NotSet,false,0.575
1,NaiveBayes,true,SMOTE,false,0.10476190476190476
4,NaiveBayes,true,UnderSampl,false,0.2708333333333333
5,IBk,false,SMOTE,false,0.375
4,IBk,true,NotSet,false,0.25
2,IBk,false,NotSet,false,0.12345679012345678
2,RandomForest,true,NotSet,false,0.2625
6,RandomForest,false,UnderSampl,false,0.45
3,RandomForest,true,UnderSampl,false,0.2962962962962963
4,IBk,false,OverSampl,false,0.3125
6,RandomForest,false,NotSet,false,0.45
4,IBk,true,SMOTE,false,0.2708333333333333
5,NaiveBayes,false,NotSet,true,0.35714285714285715
5,IBk,false,NotSet,true,0.35714285714285715
3,IBk,true,SMOTE,false,0.2777777777777778
4,IBk,false,UnderSampl,false,0.2916666666666667
4,NaiveBayes,false,NotSet,false,0.3958333333333333
1,IBk,false,NotSet,false,0.3619047619047619
2,RandomForest,false,SMOTE,false,0.2625
2,NaiveBayes,true,OverSampl,false,0.2345679012345679
1,RandomForest,false,OverSampl,false,0.37142857142857144
5,IBk,true,SMOTE,false,0.3392857142857143
4,NaiveBayes,true,OverSampl,false,0.2708333333333333
4,RandomForest,false,NotSet,true,0.2916666666666667
1,IBk,true,NotSet,true,0.3333333333333333
2,NaiveBayes,true,NotSet,true,0.12345679012345678
4,NaiveBayes,true,SMOTE,false,0.2708333333333333
3,RandomForest,false,NotSet,true,0.25925925925925924
4,RandomForest,false,NotSet,false,0.3958333333333333
2,IBk,false,OverSampl,false,0.09876543209876543
3,RandomForest,true,SMOTE,false,0.2962962962962963
4,NaiveBayes,true,NotSet,true,0.25
3,NaiveBayes,true,UnderSampl,false,0.18518518518518517
6,NaiveBayes,false,UnderSampl,false,0.35
4,RandomForest,true,NotSet,true,0.25
6,IBk,false,OverSampl,false,0.375
6,NaiveBayes,true,NotSet,true,0.35
2,NaiveBayes,false,NotSet,true,0.12345679012345678
3,NaiveBayes,false,NotSet,false,0.12962962962962962
3,RandomForest,false,UnderSampl,false,0.2222222222222222
5,NaiveBayes,false,OverSampl,false,0.4642857142857143
3,NaiveBayes,false,SMOTE,false,0.12962962962962962
1,RandomForest,true,UnderSampl,false,0.37142857142857144
4,RandomForest,true,SMOTE,false,0.4583333333333333
5,IBk,true,NotSet,true,0.3392857142857143
2,IBk,true,UnderSampl,false,0.225
1,RandomForest,false,UnderSampl,false,0.37142857142857144
4,NaiveBayes,false,NotSet,true,0.2916666666666667
5,RandomForest,false,NotSet,false,0.4107142857142857
1,NaiveBayes,false,NotSet,false,0.26666666666666666
2,NaiveBayes,true,SMOTE,false,0.2839506172839506
1,IBk,false,OverSampl,false,0.34285714285714286
1,IBk,true,UnderSampl,false,0.3333333333333333
3,IBk,true,UnderSampl,false,0.3148148148148148
1,NaiveBayes,false,NotSet,true,0.3619047619047619
1,IBk,false,UnderSampl,false,0.3619047619047619
1,RandomForest,true,SMOTE,false,0.37142857142857144
6,RandomForest,false,OverSampl,false,0.475
3,NaiveBayes,true,OverSampl,false,0.1111111111111111
1,RandomForest,false,NotSet,true,0.3619047619047619
1,NaiveBayes,true,OverSampl,false,0.21904761904761905
6,NaiveBayes,true,SMOTE,false,0.425
1,NaiveBayes,false,UnderSampl,false,0.26666666666666666
4,IBk,true,UnderSampl,false,0.2916666666666667
4,NaiveBayes,false,OverSampl,false,0.3958333333333333
2,NaiveBayes,false,SMOTE,false,0.25925925925925924
5,NaiveBayes,true,NotSet,true,0.3392857142857143
6,IBk,true,NotSet,false,0.35
3,NaiveBayes,true,SMOTE,false,0.2037037037037037
2,IBk,false,NotSet,true,0.12345679012345678
2,NaiveBayes,false,OverSampl,false,0.2222222222222222
3,RandomForest,false,OverSampl,false,0.3148148148148148
2,IBk,true,SMOTE,false,0.1111111111111111
2,NaiveBayes,true,UnderSampl,false,0.1875
5,NaiveBayes,true,NotSet,false,0.32142857142857145
6,IBk,false,NotSet,true,0.575
5,NaiveBayes,true,OverSampl,false,0.32142857142857145
2,IBk,true,NotSet,false,0.12345679012345678
3,NaiveBayes,true,NotSet,true,0.2777777777777778
3,IBk,true,NotSet,true,0.2777777777777778
5,RandomForest,true,UnderSampl,false,0.375
6,IBk,true,OverSampl,false,0.35
6,NaiveBayes,true,OverSampl,false,0.45
5,IBk,false,OverSampl,false,0.30357142857142855
3,RandomForest,true,NotSet,true,0.2777777777777778
6,IBk,false,UnderSampl,false,0.4
6,NaiveBayes,false,SMOTE,false,0.4
5,RandomForest,false,SMOTE,false,0.39285714285714285
2,IBk,false,UnderSampl,false,0.275
6,RandomForest,true,UnderSampl,false,0.45
1,IBk,false,NotSet,true,0.3619047619047619
4,NaiveBayes,false,SMOTE,false,0.4166666666666667
4,IBk,false,SMOTE,false,0.2708333333333333
5,NaiveBayes,false,SMOTE,false,0.4642857142857143
5,IBk,true,NotSet,false,0.3392857142857143
5,IBk,false,NotSet,false,0.35714285714285715
1,RandomForest,true,OverSampl,false,0.37142857142857144
2,IBk,false,SMOTE,false,0.13580246913580246
5,NaiveBayes,false,UnderSampl,false,0.30357142857142855
3,IBk,true,NotSet,false,0.25925925925925924
3,IBk,false,NotSet,true,0.25925925925925924
4,RandomForest,true,OverSampl,false,0.375
6,RandomForest,true,NotSet,true,0.35
1,RandomForest,true,NotSet,false,0.37142857142857144
6,RandomForest,false,SMOTE,false,0.475
5,NaiveBayes,true,SMOTE,false,0.30357142857142855
6,RandomForest,false,NotSet,true,0.575
1,RandomForest,true,NotSet,true,0.3333333333333333
1,NaiveBayes,false,OverSampl,false,0.2761904761904762
5,RandomForest,false,UnderSampl,false,0.3392857142857143
6,NaiveBayes,true,UnderSampl,false,0.425
3,IBk,false,SMOTE,false,0.25925925925925924
4,IBk,true,NotSet,true,0.25
1,IBk,true,NotSet,false,0.3333333333333333
6,NaiveBayes,false,OverSampl,false,0.425
2,RandomForest,false,OverSampl,false,0.275
1,IBk,true,SMOTE,false,0.3333333333333333
3,IBk,false,NotSet,false,0.25925925925925924
3,NaiveBayes,false,OverSampl,false,0.05555555555555555
1,NaiveBayes,true,NotSet,false,0.10476190476190476
6,RandomForest,true,SMOTE,false,0.475
3,NaiveBayes,false,UnderSampl,false,0.05555555555555555
2,RandomForest,true,SMOTE,false,0.2625
4,RandomForest,true,NotSet,false,0.4375
1,RandomForest,false,SMOTE,false,0.37142857142857144
2,NaiveBayes,true,NotSet,false,0.2716049382716049
2,RandomForest,true,NotSet,true,0.12345679012345678
4,IBk,false,NotSet,false,0.2916666666666667
5,RandomForest,true,SMOTE,false,0.39285714285714285
6,IBk,true,SMOTE,false,0.35
2,RandomForest,false,UnderSampl,false,0.2875
3,RandomForest,true,NotSet,false,0.37037037037037035
3,RandomForest,false,SMOTE,false,0.2830188679245283
3,IBk,true,OverSampl,false,0.2962962962962963
1,NaiveBayes,true,NotSet,true,0.3333333333333333
1,RandomForest,false,NotSet,false,0.37142857142857144
1,IBk,true,OverSampl,false,0.3333333333333333
3,RandomForest,true,OverSampl,false,0.3333333333333333
4,RandomForest,false,UnderSampl,false,0.375
5,RandomForest,false,OverSampl,false,0.35714285714285715
4,NaiveBayes,false,UnderSampl,false,0.14583333333333334
6,NaiveBayes,false,NotSet,false,0.45
5,RandomForest,false,NotSet,true,0.35714285714285715
3,NaiveBayes,true,NotSet,false,0.16666666666666666
4,IBk,true,OverSampl,false,0.25
1,NaiveBayes,true,UnderSampl,false,0.10476190476190476
3,IBk,false,UnderSampl,false,0.2962962962962963
5,NaiveBayes,true,UnderSampl,false,0.19642857142857142
4,NaiveBayes,true,NotSet,false,0.2708333333333333
2,RandomForest,false,NotSet,false,0.2625
4,RandomForest,false,SMOTE,false,0.4375
4,RandomForest,false,OverSampl,false,0.3958333333333333
5,RandomForest,true,NotSet,true,0.3392857142857143
6,IBk,true,UnderSampl,false,0.35
