#TRAINING_RELEASES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,NPOFB_20
21,NaiveBayes,false,NotSet,true,0.28
15,NaiveBayes,true,UnderSampl,false,0.2857142857142857
4,NaiveBayes,false,UnderSampl,false,0.3
18,IBk,false,NotSet,true,0.12727272727272726
14,NaiveBayes,true,NotSet,false,0.24444444444444444
11,IBk,true,OverSampl,false,0.17073170731707318
19,IBk,true,NotSet,true,0.1896551724137931
22,RandomForest,false,NotSet,true,0.3111111111111111
6,NaiveBayes,true,OverSampl,false,0.3939393939393939
4,NaiveBayes,false,SMOTE,false,0.2857142857142857
1,RandomForest,true,NotSet,true,0.125
15,IBk,true,NotSet,false,0.2558139534883721
9,IBk,false,NotSet,false,0.2
24,NaiveBayes,true,NotSet,false,0.13114754098360656
5,NaiveBayes,false,OverSampl,false,0.14285714285714285
17,NaiveBayes,true,OverSampl,false,0.22727272727272727
18,NaiveBayes,false,NotSet,false,0.125
15,IBk,true,NotSet,true,0.23255813953488372
17,IBk,false,NotSet,false,0.16279069767441862
25,RandomForest,false,OverSampl,false,0.2413793103448276
17,RandomForest,false,UnderSampl,false,0.22727272727272727
8,IBk,true,OverSampl,false,0.21052631578947367
5,NaiveBayes,false,UnderSampl,false,0.14285714285714285
11,IBk,true,NotSet,false,0.1951219512195122
2,IBk,false,NotSet,false,0.125
16,NaiveBayes,false,NotSet,true,0.19047619047619047
25,RandomForest,true,UnderSampl,false,0.3050847457627119
25,IBk,false,OverSampl,false,0.25862068965517243
20,RandomForest,true,NotSet,false,0.16129032258064516
21,IBk,false,OverSampl,false,0.24
11,NaiveBayes,false,NotSet,true,0.3902439024390244
9,NaiveBayes,true,NotSet,true,0.1590909090909091
13,RandomForest,true,UnderSampl,false,0.2708333333333333
12,IBk,false,SMOTE,false,0.21428571428571427
6,IBk,false,SMOTE,false,0.35294117647058826
7,RandomForest,false,UnderSampl,false,0.18518518518518517
22,RandomForest,true,OverSampl,false,0.28888888888888886
24,NaiveBayes,true,UnderSampl,false,0.15
20,NaiveBayes,true,OverSampl,false,0.1774193548387097
14,NaiveBayes,true,OverSampl,false,0.22727272727272727
26,RandomForest,true,SMOTE,false,0.13636363636363635
21,IBk,true,OverSampl,false,0.18
25,IBk,true,SMOTE,false,0.2542372881355932
16,RandomForest,false,NotSet,false,0.2926829268292683
5,IBk,true,UnderSampl,false,0.4
8,IBk,true,UnderSampl,false,0.21052631578947367
26,NaiveBayes,true,UnderSampl,false,0.3181818181818182
24,NaiveBayes,true,OverSampl,false,0.26666666666666666
5,RandomForest,false,UnderSampl,false,0.37142857142857144
17,RandomForest,true,SMOTE,false,0.23255813953488372
15,IBk,true,SMOTE,false,0.27906976744186046
8,IBk,false,SMOTE,false,0.2564102564102564
20,NaiveBayes,true,NotSet,true,0.1774193548387097
22,NaiveBayes,false,NotSet,false,0.2
13,NaiveBayes,true,NotSet,true,0.14893617021276595
17,IBk,false,SMOTE,false,0.18604651162790697
4,RandomForest,true,SMOTE,false,0.23809523809523808
8,NaiveBayes,false,NotSet,false,0.13157894736842105
18,IBk,false,UnderSampl,false,0.25
4,IBk,false,NotSet,false,0.047619047619047616
26,IBk,false,NotSet,true,0.13636363636363635
11,RandomForest,false,UnderSampl,false,0.2926829268292683
20,RandomForest,false,UnderSampl,false,0.22950819672131148
25,NaiveBayes,true,SMOTE,false,0.22033898305084745
13,RandomForest,true,OverSampl,false,0.20833333333333334
10,RandomForest,false,OverSampl,false,0.25
23,NaiveBayes,true,UnderSampl,false,0.21818181818181817
22,NaiveBayes,true,UnderSampl,false,0.20454545454545456
9,IBk,false,OverSampl,false,0.15555555555555556
14,RandomForest,true,NotSet,false,0.25
21,NaiveBayes,false,UnderSampl,false,0.28
5,IBk,false,NotSet,false,0.17142857142857143
21,NaiveBayes,false,OverSampl,false,0.28
9,IBk,false,NotSet,true,0.2
16,IBk,false,UnderSampl,false,0.2619047619047619
6,RandomForest,true,SMOTE,false,0.4411764705882353
4,RandomForest,true,UnderSampl,false,0.19047619047619047
21,IBk,true,NotSet,true,0.16
23,IBk,true,NotSet,true,0.2909090909090909
23,RandomForest,false,SMOTE,false,0.3090909090909091
9,RandomForest,false,UnderSampl,false,0.2222222222222222
8,RandomForest,true,NotSet,false,0.1794871794871795
25,IBk,false,NotSet,true,0.23728813559322035
4,RandomForest,false,UnderSampl,false,0.23809523809523808
25,IBk,true,UnderSampl,false,0.288135593220339
13,IBk,false,UnderSampl,false,0.3191489361702128
18,IBk,true,NotSet,false,0.14285714285714285
12,NaiveBayes,true,UnderSampl,false,0.14634146341463414
19,RandomForest,false,NotSet,false,0.21052631578947367
17,RandomForest,true,UnderSampl,false,0.18181818181818182
14,RandomForest,false,SMOTE,false,0.36363636363636365
16,NaiveBayes,true,NotSet,false,0.21428571428571427
26,RandomForest,true,OverSampl,false,0.09090909090909091
24,RandomForest,false,NotSet,true,0.2786885245901639
8,IBk,true,NotSet,true,0.23684210526315788
22,IBk,false,SMOTE,false,0.3111111111111111
16,RandomForest,true,OverSampl,false,0.21951219512195122
4,IBk,true,NotSet,false,0.14285714285714285
8,IBk,true,NotSet,false,0.21052631578947367
25,IBk,false,NotSet,false,0.22033898305084745
3,NaiveBayes,true,SMOTE,false,0.20512820512820512
6,NaiveBayes,true,NotSet,false,0.2647058823529412
12,RandomForest,true,NotSet,false,0.23809523809523808
26,RandomForest,true,NotSet,true,0.09090909090909091
9,RandomForest,true,NotSet,true,0.3111111111111111
23,IBk,true,NotSet,false,0.3090909090909091
26,RandomForest,true,NotSet,false,0.18181818181818182
8,IBk,true,SMOTE,false,0.23076923076923078
12,NaiveBayes,false,UnderSampl,false,0.16666666666666666
3,IBk,false,UnderSampl,false,0.23076923076923078
14,IBk,true,OverSampl,false,0.20454545454545456
4,IBk,false,SMOTE,false,0.09523809523809523
1,IBk,true,UnderSampl,false,0.25
9,IBk,true,UnderSampl,false,0.25
14,RandomForest,true,NotSet,true,0.24444444444444444
5,NaiveBayes,true,OverSampl,false,0.17142857142857143
24,NaiveBayes,false,NotSet,true,0.14754098360655737
24,NaiveBayes,false,OverSampl,false,0.14754098360655737
18,RandomForest,true,NotSet,false,0.16363636363636364
4,IBk,true,NotSet,true,0.14285714285714285
12,IBk,true,OverSampl,false,0.21428571428571427
16,NaiveBayes,true,NotSet,true,0.19047619047619047
12,NaiveBayes,false,OverSampl,false,0.17073170731707318
9,IBk,true,NotSet,true,0.24444444444444444
22,NaiveBayes,false,SMOTE,false,0.22727272727272727
4,NaiveBayes,false,NotSet,false,0.19047619047619047
21,RandomForest,false,UnderSampl,false,0.36
17,NaiveBayes,false,SMOTE,false,0.20454545454545456
24,IBk,true,SMOTE,false,0.26229508196721313
15,NaiveBayes,false,OverSampl,false,0.21428571428571427
7,NaiveBayes,false,SMOTE,false,0.07407407407407407
11,NaiveBayes,false,OverSampl,false,0.34146341463414637
3,RandomForest,false,OverSampl,false,0.23076923076923078
15,RandomForest,true,SMOTE,false,0.2619047619047619
12,RandomForest,true,UnderSampl,false,0.23809523809523808
22,NaiveBayes,false,NotSet,true,0.2
19,NaiveBayes,false,SMOTE,false,0.2413793103448276
5,IBk,true,NotSet,true,0.22857142857142856
20,IBk,false,NotSet,true,0.20967741935483872
13,RandomForest,false,NotSet,true,0.20833333333333334
16,RandomForest,true,UnderSampl,false,0.11904761904761904
7,IBk,true,NotSet,false,0.2962962962962963
12,IBk,true,NotSet,false,0.21428571428571427
15,NaiveBayes,false,NotSet,false,0.18604651162790697
5,RandomForest,true,OverSampl,false,0.22857142857142856
4,NaiveBayes,true,NotSet,false,0.2857142857142857
23,IBk,false,OverSampl,false,0.2727272727272727
22,IBk,false,UnderSampl,false,0.3333333333333333
