ID,SIZE,PREDICTED,ACTUAL
14,126,2.5091584282631606E-5,NO
14,22,6.021557174685374E-5,NO
14,75,2.737251252292448E-5,NO
14,131,2.3161551823972205E-5,NO
14,223,7.526719855486978E-5,NO
14,40,1.038302997580754E-5,NO
14,381,7.526719855486978E-5,NO
14,46,2.1507226428079834E-5,NO
14,26,2.737251252292448E-5,NO
14,66,1.77119679767619E-5,NO
14,95,7.526719855486978E-5,NO
14,33,4.779543553590632E-6,NO
14,103,1.8818924310286427E-5,NO
14,219,1.0035122930255896E-4,NO
14,328,1.5051173991571343E-4,NO
14,59,0.1250282273240497,NO
14,376,0.33336678374310086,NO
14,33,4.779543553590632E-6,NO
14,36,1.003693592420106E-5,NO
14,44,1.8818924310286427E-5,NO
14,70,2.0073468896159946E-5,NO
14,69,0.4736850446110204,NO
14,31,1.77119679767619E-5,NO
14,27,1.5847609388123803E-5,NO
14,33,4.779543553590632E-6,NO
14,27,1.5847609388123803E-5,NO
14,27,1.5847609388123803E-5,NO
14,40,1.038302997580754E-5,NO
14,60,2.5091584282631606E-5,NO
14,69,0.4736850446110204,NO
14,85,0.1333480538771905,NO
14,85,0.1333480538771905,NO
14,86,0.07144700619408122,NO
14,50,1.003693592420106E-5,NO
14,125,0.06668406367304335,NO
14,151,1.672800267648043E-5,NO
14,242,0.33336678374310086,NO
14,47,1.1152126152851041E-5,NO
14,72,0.054061312347919506,NO
14,51,3.0109598940142117E-5,NO
14,51,3.0109598940142117E-5,NO
14,106,9.409639234431752E-6,NO
14,87,2.737251252292448E-5,NO
14,80,1.5055252777694139E-5,NO
14,76,1.5055252777694139E-5,NO
14,41,1.2044274753995688E-5,NO
14,63,1.4338356537573664E-5,NO
14,55,1.672800267648043E-5,NO
14,106,9.409639234431752E-6,NO
14,72,0.054061312347919506,NO
14,86,0.07144700619408122,NO
14,55,1.672800267648043E-5,NO
14,135,1.5051173991571343E-4,NO
14,63,1.4338356537573664E-5,NO
14,412,7.526719855486978E-5,NO
14,533,3.009328919650918E-4,NO
14,67,3.345488608611288E-5,NO
14,50,1.003693592420106E-5,NO
14,39,9.409639234431752E-6,NO
14,88,1.5847609388123803E-5,NO
14,37,8.138087061255382E-6,NO
14,74,0.1250282273240497,NO
14,79,1.672800267648043E-5,NO
14,321,5.0180650341228424E-5,NO
14,631,3.009328919650918E-4,NO
14,140,2.3161551823972205E-5,NO
14,318,3.009328919650918E-4,NO
14,356,3.009328919650918E-4,NO
14,187,0.1250282273240497,NO
14,142,5.0180650341228424E-5,NO
14,186,4.301260269258893E-5,NO
14,138,2.1507226428079834E-5,NO
14,36,1.003693592420106E-5,NO
14,37,8.138087061255382E-6,NO
14,120,0.06668406367304335,NO
14,139,3.345488608611288E-5,NO
14,852,5.0180650341228424E-5,NO
14,33,4.779543553590632E-6,NO
14,43,1.5055252777694139E-5,NO
14,99,1.672800267648043E-5,NO
14,288,5.0180650341228424E-5,NO
14,131,2.3161551823972205E-5,YES
14,146,0.18751176182769394,NO
14,204,3.0109598940142117E-5,NO
14,150,3.0109598940142117E-5,NO
14,38,4.936248352527112E-6,NO
14,43,1.5055252777694139E-5,NO
14,47,1.1152126152851041E-5,NO
14,32,2.1507226428079834E-5,NO
14,93,2.3161551823972205E-5,NO
14,93,2.3161551823972205E-5,NO
14,282,3.763643206624012E-5,NO
14,251,1.5847609388123803E-5,NO
14,251,1.5847609388123803E-5,NO
14,130,4.301260269258893E-5,NO
14,53,1.158104414694029E-5,NO
14,125,0.06668406367304335,NO
14,50,1.003693592420106E-5,NO
14,106,9.409639234431752E-6,NO
14,34,6.843409112683575E-6,NO
14,66,1.77119679767619E-5,NO
14,40,1.038302997580754E-5,NO
14,140,2.3161551823972205E-5,NO
14,84,1.8818924310286427E-5,NO
14,39,9.409639234431752E-6,NO
14,34,6.843409112683575E-6,NO
14,38,4.936248352527112E-6,NO
14,149,2.737251252292448E-5,NO
14,761,1.5051173991571343E-4,YES
14,46,2.1507226428079834E-5,NO
14,204,3.0109598940142117E-5,NO
14,153,4.301260269258893E-5,NO
14,57,1.003693592420106E-5,NO
14,57,1.003693592420106E-5,NO
14,1301,3.009328919650918E-4,YES
14,170,0.28573271968686825,YES
14,339,1.5051173991571343E-4,YES
14,40,1.038302997580754E-5,NO
14,90,1.5051173991571343E-4,YES
14,100,2.737251252292448E-5,NO
14,84,1.8818924310286427E-5,NO
14,702,0.999699067108035,NO
14,392,0.999699067108035,YES
14,165,7.526719855486978E-5,NO
14,159,0.25003763359927744,NO
14,305,0.33336678374310086,YES
14,185,3.009328919650918E-4,NO
14,68,0.03334270114019593,NO
14,277,1.5051173991571343E-4,NO
14,476,1.5051173991571343E-4,YES
14,101,1.8818924310286427E-5,NO
14,63,3.009328919650918E-4,YES
14,79,1.672800267648043E-5,NO
14,79,1.672800267648043E-5,NO
14,149,2.737251252292448E-5,NO
14,124,0.11113713157806698,YES
14,119,4.301260269258893E-5,NO
14,1764,0.999699067108035,YES
14,875,3.009328919650918E-4,YES
14,87,2.737251252292448E-5,NO
14,79,1.672800267648043E-5,YES
14,61,3.0109598940142117E-5,NO
14,101,1.8818924310286427E-5,NO
14,435,3.009328919650918E-4,YES
14,284,1.5051173991571343E-4,NO
14,103,1.8818924310286427E-5,NO
14,29,1.8818924310286427E-5,NO
14,215,1.5051173991571343E-4,YES
14,71,1.5051173991571343E-4,YES
14,36,1.003693592420106E-5,NO
14,82,1.2546106943015583E-5,NO
14,51,3.0109598940142117E-5,NO
14,173,3.763643206624012E-5,YES
14,98,1.672800267648043E-5,NO
14,174,1.5051173991571343E-4,NO
14,1311,3.009328919650918E-4,NO
14,61,3.0109598940142117E-5,NO
14,47,1.1152126152851041E-5,NO
14,192,3.763643206624012E-5,NO
14,413,0.999699067108035,YES
14,104,6.021557174685374E-5,NO
14,1157,0.999699067108035,YES
14,323,0.999699067108035,YES
14,852,0.999699067108035,YES
14,414,3.009328919650918E-4,NO
14,45,1.1152126152851041E-5,NO
14,717,0.999699067108035,YES
14,129,2.3161551823972205E-5,NO
14,256,1.5051173991571343E-4,YES
14,37,8.138087061255382E-6,YES
14,452,1.5051173991571343E-4,NO
14,149,3.009328919650918E-4,NO
14,112,0.2500188182160331,NO
14,140,3.009328919650918E-4,YES
14,81,0.05264575838734728,NO
14,274,1.0035122930255896E-4,YES
14,68,0.03334270114019593,NO
14,190,1.5051173991571343E-4,YES
14,123,4.301260269258893E-5,NO
14,171,1.5051173991571343E-4,NO
14,483,1.5051173991571343E-4,YES
14,127,4.301260269258893E-5,NO
14,958,0.999699067108035,YES
14,147,3.009328919650918E-4,NO
14,110,3.009328919650918E-4,NO
14,123,4.301260269258893E-5,NO
14,93,2.3161551823972205E-5,NO
14,82,1.2546106943015583E-5,NO
14,139,3.345488608611288E-5,NO
14,59,0.1250282273240497,NO
14,117,2.1507226428079834E-5,NO
14,418,0.999699067108035,NO
14,77,3.345488608611288E-5,NO
14,70,2.0073468896159946E-5,NO
14,148,0.11113713157806698,NO
14,250,0.33336678374310086,NO
14,661,3.009328919650918E-4,NO
14,325,0.999699067108035,YES
14,66,1.77119679767619E-5,NO
14,120,0.06668406367304335,NO
14,326,1.0035122930255896E-4,NO
14,54,5.0180650341228424E-5,NO
14,972,1.5051173991571343E-4,YES
14,185,6.021557174685374E-5,YES
14,27,1.5847609388123803E-5,NO
14,893,0.999699067108035,YES
14,167,7.526719855486978E-5,YES
14,50,1.003693592420106E-5,NO
14,41,1.2044274753995688E-5,NO
14,113,2.0073468896159946E-5,YES
14,160,1.5051173991571343E-4,NO
14,825,3.009328919650918E-4,YES
14,53,1.158104414694029E-5,YES
14,293,1.5051173991571343E-4,NO
14,42,2.0073468896159946E-5,NO
14,31,1.77119679767619E-5,NO
14,36,1.003693592420106E-5,NO
14,177,3.009328919650918E-4,NO
14,482,3.009328919650918E-4,YES
14,622,3.009328919650918E-4,YES
14,96,1.5051173991571343E-4,NO
14,34,6.843409112683575E-6,NO
14,144,3.009328919650918E-4,NO
14,79,1.672800267648043E-5,NO
14,77,3.345488608611288E-5,NO
14,134,7.526719855486978E-5,NO
14,37,8.138087061255382E-6,NO
14,127,4.301260269258893E-5,YES
14,115,0.14288786614478044,NO
14,88,1.5847609388123803E-5,YES
14,44,1.8818924310286427E-5,NO
14,884,3.009328919650918E-4,YES
14,34,6.843409112683575E-6,NO
14,1127,0.999699067108035,YES
14,411,1.5051173991571343E-4,NO
14,157,1.5051173991571343E-4,NO
14,68,0.03334270114019593,NO
14,59,0.1250282273240497,NO
14,38,4.936248352527112E-6,NO
14,120,0.06668406367304335,YES
14,144,1.5051173991571343E-4,NO
14,45,1.1152126152851041E-5,NO
14,33,4.779543553590632E-6,NO
14,80,1.5055252777694139E-5,NO
14,38,4.936248352527112E-6,NO
14,33,4.779543553590632E-6,NO
14,57,1.003693592420106E-5,NO
14,106,9.409639234431752E-6,NO
14,271,1.5051173991571343E-4,NO
14,57,1.003693592420106E-5,NO
14,33,4.779543553590632E-6,NO
14,141,4.301260269258893E-5,NO
14,82,1.2546106943015583E-5,NO
14,34,6.843409112683575E-6,NO
14,177,7.526719855486978E-5,NO
14,37,8.138087061255382E-6,NO
14,461,1.0035122930255896E-4,NO
14,84,1.8818924310286427E-5,NO
14,38,4.936248352527112E-6,NO
14,193,0.33336678374310086,NO
14,295,1.5051173991571343E-4,NO
14,110,0.14288786614478044,NO
14,38,4.936248352527112E-6,NO
14,313,1.5051173991571343E-4,NO
