ID,SIZE,PREDICTED,ACTUAL
17,126,2.9725923588151014E-5,NO
17,22,5.573320746591685E-5,NO
17,75,2.9725923588151014E-5,NO
17,131,2.3468128142975614E-5,NO
17,223,6.369407999665503E-5,NO
17,40,1.0875747926540483E-5,NO
17,381,6.369407999665503E-5,NO
17,46,2.1233163234615208E-5,NO
17,26,3.184906859545045E-5,NO
17,66,1.7150002669806962E-5,NO
17,95,6.369407999665503E-5,NO
17,33,5.372416542508402E-6,NO
17,103,2.0268058574405075E-5,NO
17,219,7.430818233232757E-5,NO
17,328,8.916716845870834E-5,NO
17,59,0.40000356719566116,NO
17,376,0.6666567580254708,NO
17,33,5.372416542508402E-6,NO
17,36,1.0616807045704624E-5,NO
17,44,1.9386872804585167E-5,NO
17,70,2.1233163234615208E-5,NO
17,69,0.8490536670114508,NO
17,31,1.9386872804585167E-5,NO
17,27,1.4383952782686036E-5,NO
17,33,5.372416542508402E-6,NO
17,27,1.4383952782686036E-5,NO
17,27,1.4383952782686036E-5,NO
17,40,1.0875747926540483E-5,NO
17,60,0.6060577398317758,NO
17,69,0.8490536670114508,NO
17,85,0.4999999999999996,NO
17,85,0.4999999999999996,NO
17,86,0.34483235804383405,NO
17,50,1.0616807045704624E-5,NO
17,125,0.3333382878012075,NO
17,151,2.1233163234615208E-5,NO
17,242,0.6666567580254708,NO
17,47,1.2386231052580363E-5,NO
17,72,0.3225831971896211,NO
17,51,2.3468128142975614E-5,NO
17,51,2.3468128142975614E-5,NO
17,106,1.0134234688464798E-5,NO
17,87,2.6228939561181058E-5,NO
17,80,1.7150002669806962E-5,NO
17,76,1.9386872804585167E-5,NO
17,41,1.4383952782686036E-5,NO
17,63,1.59250414954642E-5,NO
17,55,1.857911645364141E-5,NO
17,106,1.0134234688464798E-5,NO
17,72,0.3225831971896211,NO
17,86,0.34483235804383405,NO
17,55,1.857911645364141E-5,NO
17,135,8.916716845870834E-5,NO
17,63,1.59250414954642E-5,NO
17,412,6.369407999665503E-5,NO
17,533,1.1145399155496523E-4,NO
17,67,3.7156852224313764E-5,NO
17,50,1.0616807045704624E-5,NO
17,39,1.1734339454469789E-5,NO
17,88,0.666664189395909,NO
17,37,0.4651166408145536,NO
17,74,0.47619148729348737,NO
17,79,1.3512221627269653E-5,NO
17,321,4.954124243466892E-5,NO
17,631,1.1145399155496523E-4,NO
17,140,2.1233163234615208E-5,NO
17,318,1.1145399155496523E-4,NO
17,356,1.1145399155496523E-4,NO
17,187,0.5000000000000001,NO
17,142,4.954124243466892E-5,NO
17,186,4.458755997582569E-5,NO
17,138,2.6228939561181058E-5,NO
17,36,1.0616807045704624E-5,NO
17,37,0.4651166408145536,NO
