ID,SIZE,PREDICTED,ACTUAL
3,137,0.9989047097480834,NO
3,252,0.0010952902519167581,NO
3,343,0.9989047097480834,YES
3,154,0.9989047097480834,YES
3,37,5.482456140350877E-4,NO
3,130,5.482456140350877E-4,NO
3,701,0.9989047097480834,NO
3,250,0.9989047097480834,YES
3,112,3.656307129798903E-4,YES
3,29,5.482456140350877E-4,NO
3,63,5.482456140350877E-4,NO
3,349,0.9989047097480834,YES
3,213,0.9989047097480834,YES
3,65,5.482456140350877E-4,NO
3,104,0.9989047097480834,NO
3,265,0.0010952902519167581,NO
3,496,0.9989047097480834,NO
3,38,3.656307129798903E-4,NO
3,342,0.9989047097480834,YES
3,70,3.656307129798903E-4,NO
3,179,0.9989047097480834,NO
3,532,0.9989047097480834,YES
3,35,2.7427317608337906E-4,NO
3,133,0.9989047097480834,NO
3,32,1.5676438313215238E-4,NO
3,343,0.9989047097480834,NO
3,164,0.9989047097480834,YES
3,55,2.7427317608337906E-4,NO
3,126,0.9989047097480834,NO
3,132,5.482456140350877E-4,NO
3,149,5.482456140350877E-4,NO
3,210,2.7427317608337906E-4,NO
3,151,2.7427317608337906E-4,NO
3,39,1.82882223847842E-4,NO
3,45,2.1944261575597982E-4,NO
3,48,5.482456140350877E-4,NO
3,33,1.5676438313215238E-4,NO
3,98,5.482456140350877E-4,NO
3,117,3.656307129798903E-4,NO
3,283,0.9989047097480834,NO
3,251,5.482456140350877E-4,NO
3,252,5.482456140350877E-4,NO
3,88,1.82882223847842E-4,NO
3,83,5.482456140350877E-4,NO
3,43,3.656307129798903E-4,NO
3,107,2.7427317608337906E-4,NO
3,35,2.7427317608337906E-4,NO
3,55,2.7427317608337906E-4,NO
3,41,5.482456140350877E-4,NO
3,99,2.7427317608337906E-4,NO
3,75,5.482456140350877E-4,NO
3,40,3.656307129798903E-4,NO
3,35,2.7427317608337906E-4,NO
3,39,1.82882223847842E-4,NO
3,101,5.482456140350877E-4,NO
3,508,5.482456140350877E-4,NO
3,47,5.482456140350877E-4,NO
3,142,5.482456140350877E-4,NO
3,106,5.482456140350877E-4,NO
3,62,5.482456140350877E-4,NO
3,210,2.7427317608337906E-4,NO
3,525,5.482456140350877E-4,NO
3,88,1.82882223847842E-4,NO
3,833,5.482456140350877E-4,NO
3,457,5.482456140350877E-4,NO
3,99,2.7427317608337906E-4,NO
3,151,2.7427317608337906E-4,NO
3,52,5.482456140350877E-4,NO
