ID,SIZE,PREDICTED,ACTUAL
18,126,3.7868908115705665E-7,NO
18,22,3.686501658458852E-7,NO
18,75,3.6280885510449637E-7,NO
18,131,3.8307671911824656E-7,NO
18,223,4.87357522057563E-7,NO
18,40,3.6385309030821E-7,NO
18,381,1.1711971142469457E-6,NO
18,46,3.6325912401197793E-7,NO
18,26,3.6744414881393426E-7,NO
18,66,3.622065239158123E-7,NO
18,95,3.6642016584150424E-7,NO
18,33,3.654039834924955E-7,NO
18,103,3.6872191254642104E-7,NO
18,219,4.806730101797369E-7,NO
18,328,8.198435888738513E-7,NO
18,59,3.6208080920811435E-7,NO
18,376,1.1393001470695353E-6,NO
18,33,3.654039834924955E-7,NO
18,36,3.645678076510386E-7,NO
18,44,3.6325912401197793E-7,NO
18,70,3.6244800804034804E-7,NO
18,69,3.622065239158123E-7,NO
18,31,3.6636244667765927E-7,NO
18,27,3.6744414881393426E-7,NO
18,33,3.654039834924955E-7,NO
18,27,3.6744414881393426E-7,NO
18,27,3.6744414881393426E-7,NO
18,40,3.6385309030821E-7,NO
18,60,3.6208080920811435E-7,NO
18,69,3.622065239158123E-7,NO
18,85,3.6461172880891456E-7,NO
18,85,3.6461172880891456E-7,NO
18,86,3.6461172880891456E-7,NO
18,50,3.627853215359209E-7,NO
18,125,3.7868908115705665E-7,NO
18,151,3.96543342303144E-7,NO
18,242,5.247809210754521E-7,NO
18,47,3.6325912401197793E-7,NO
18,72,3.6244800804034804E-7,NO
18,51,3.624312149116686E-7,NO
18,51,3.624312149116686E-7,NO
18,106,3.7006056411278424E-7,NO
18,87,3.6461172880891456E-7,NO
18,80,3.6328942125463265E-7,NO
18,76,3.6280885510449637E-7,NO
18,41,3.6385309030821E-7,NO
18,63,3.620841645244756E-7,NO
18,55,3.6219645465844705E-7,NO
18,106,3.7006056411278424E-7,NO
18,72,3.6244800804034804E-7,NO
18,86,3.6461172880891456E-7,NO
18,55,3.6219645465844705E-7,NO
18,135,3.8547952534091727E-7,NO
18,63,3.620841645244756E-7,NO
18,412,1.4780949528273034E-6,NO
18,533,4.821361303227607E-6,NO
18,67,3.622065239158123E-7,NO
18,50,3.627853215359209E-7,NO
18,39,3.645678076510386E-7,NO
18,88,3.6461172880891456E-7,NO
18,37,3.645678076510386E-7,NO
18,74,3.6280885510449637E-7,NO
18,79,3.6328942125463265E-7,NO
18,321,7.832239661080067E-7,NO
18,631,1.5746223336883443E-5,NO
18,140,3.8802488963552506E-7,NO
18,318,7.832239661080067E-7,NO
18,356,9.972857848107876E-7,NO
18,187,4.355157684498843E-7,NO
18,142,3.907154319756439E-7,NO
18,186,4.3081454458558527E-7,NO
18,138,3.8802488963552506E-7,NO
18,36,3.645678076510386E-7,NO
18,37,3.645678076510386E-7,NO
18,120,3.76699777290788E-7,NO
18,139,3.8802488963552506E-7,NO
18,852,4.911994906241918E-4,YES
18,33,3.654039834924955E-7,NO
18,43,3.6385309030821E-7,NO
18,99,3.6750884953475836E-7,NO
18,288,6.610195449127225E-7,NO
18,131,3.8307671911824656E-7,YES
18,146,3.935539337004277E-7,NO
18,204,4.5633640131334257E-7,NO
18,150,3.96543342303144E-7,NO
18,38,3.645678076510386E-7,NO
18,43,3.6385309030821E-7,NO
18,47,3.6325912401197793E-7,NO
18,32,3.654039834924955E-7,NO
18,93,3.6642016584150424E-7,NO
18,93,3.6642016584150424E-7,NO
18,282,6.356579812492091E-7,NO
18,251,5.50768129168856E-7,NO
18,251,5.50768129168856E-7,NO
18,130,3.8307671911824656E-7,NO
18,53,3.624312149116686E-7,NO
18,125,3.7868908115705665E-7,NO
18,50,3.627853215359209E-7,NO
18,106,3.7006056411278424E-7,NO
18,34,3.654039834924955E-7,NO
18,66,3.622065239158123E-7,NO
18,40,3.6385309030821E-7,NO
18,140,3.8802488963552506E-7,NO
18,84,3.6389018116293407E-7,NO
18,39,3.645678076510386E-7,NO
18,34,3.654039834924955E-7,NO
18,38,3.645678076510386E-7,NO
18,149,3.96543342303144E-7,NO
18,761,1.0348410637847817E-4,NO
18,46,3.6325912401197793E-7,NO
18,204,4.5633640131334257E-7,NO
18,153,3.9968677652762366E-7,NO
18,57,3.6219645465844705E-7,NO
18,57,3.6219645465844705E-7,NO
18,1379,0.9947356610790942,YES
18,174,4.1783618660807455E-7,YES
18,416,0.09231248327507545,NO
18,40,3.6385309030821E-7,NO
18,90,3.6545477845827585E-7,YES
18,102,3.6872191254642104E-7,NO
18,84,3.6389018116293407E-7,NO
18,702,4.3032622695459524E-5,NO
18,396,8.04139157585976E-5,YES
18,165,4.1007510523190487E-7,NO
18,159,4.029875317851423E-7,NO
18,332,8.392040887839891E-7,YES
18,185,4.3081454458558527E-7,NO
18,68,3.622065239158123E-7,NO
18,277,6.236517913804428E-7,NO
18,476,2.5990055589312937E-6,YES
18,101,3.6872191254642104E-7,NO
18,63,3.620841645244756E-7,NO
18,79,3.6328942125463265E-7,NO
18,79,3.6328942125463265E-7,NO
18,149,3.96543342303144E-7,NO
18,124,3.7868908115705665E-7,YES
18,119,3.76699777290788E-7,YES
18,1844,1.0,YES
18,670,2.6336419705890004E-5,YES
18,81,3.6389018116293407E-7,NO
18,64,3.620841645244756E-7,NO
18,119,3.76699777290788E-7,NO
18,46,3.6325912401197793E-7,NO
18,81,3.6389018116293407E-7,NO
18,152,3.96543342303144E-7,NO
18,72,3.6244800804034804E-7,NO
18,88,3.6461172880891456E-7,NO
18,94,3.6642016584150424E-7,NO
18,83,3.6389018116293407E-7,NO
18,74,3.6280885510449637E-7,NO
18,62,3.6208080920811435E-7,NO
18,85,3.6461172880891456E-7,NO
18,82,3.6389018116293407E-7,NO
18,75,3.6280885510449637E-7,NO
18,200,4.508174702315827E-7,NO
18,81,3.6389018116293407E-7,NO
18,49,3.627853215359209E-7,NO
18,64,3.620841645244756E-7,NO
18,87,3.6461172880891456E-7,NO
18,79,3.6328942125463265E-7,YES
18,72,9.212606220975555E-7,NO
18,306,0.9999965022490399,NO
18,526,3.33209811575309E-4,YES
18,115,3.748440796463966E-7,NO
18,123,3.7868908115705665E-7,NO
18,284,6.356579812492091E-7,YES
18,103,3.6872191254642104E-7,YES
18,29,3.6636244667765927E-7,NO
18,215,4.7423599351856544E-7,YES
18,71,3.6244800804034804E-7,YES
18,36,3.645678076510386E-7,NO
18,82,3.6389018116293407E-7,YES
18,51,3.624312149116686E-7,NO
18,173,4.1783618660807455E-7,YES
18,98,3.6750884953475836E-7,NO
18,174,4.1783618660807455E-7,NO
18,1302,0.9530282330250475,YES
18,61,3.6208080920811435E-7,NO
18,47,3.6325912401197793E-7,NO
18,192,4.4041299296550163E-7,NO
18,414,1.5239775819218326E-6,YES
18,104,3.7006056411278424E-7,NO
18,1157,0.2762531179252957,YES
18,309,7.33143102102449E-7,YES
18,852,4.911994906241918E-4,YES
18,400,3.3493515692315776E-6,YES
18,45,3.6325912401197793E-7,NO
18,738,7.220930565385544E-5,YES
18,129,3.8081400786774604E-7,YES
18,256,5.600813957088449E-7,YES
18,44,3.6325912401197793E-7,NO
18,452,2.1066391127562817E-6,NO
18,209,4.6803895484263025E-7,NO
18,112,3.7312011326760527E-7,NO
18,140,3.8802488963552506E-7,YES
18,81,3.6389018116293407E-7,NO
18,279,6.236517913804428E-7,YES
18,124,3.7868908115705665E-7,NO
18,68,3.622065239158123E-7,NO
18,192,4.4041299296550163E-7,YES
18,123,3.7868908115705665E-7,NO
18,171,4.1386945108744896E-7,YES
18,490,3.0093506494873294E-6,YES
18,130,3.8307671911824656E-7,YES
18,961,0.004138526597329717,YES
18,147,3.935539337004277E-7,NO
18,110,3.715261417072659E-7,NO
18,128,3.8081400786774604E-7,NO
18,93,3.6642016584150424E-7,NO
18,82,3.6389018116293407E-7,NO
18,139,3.8802488963552506E-7,NO
18,59,3.6208080920811435E-7,NO
18,117,3.748440796463966E-7,YES
18,418,1.5718009044026424E-6,NO
18,77,3.6280885510449637E-7,NO
18,70,3.6244800804034804E-7,YES
18,152,3.96543342303144E-7,NO
18,250,5.417877333759203E-7,NO
18,661,2.369950069984503E-5,YES
18,381,1.1711971142469457E-6,YES
18,66,3.622065239158123E-7,NO
18,120,3.76699777290788E-7,NO
18,326,8.198435888738513E-7,NO
18,54,3.624312149116686E-7,NO
18,972,0.005237585024533597,YES
18,185,4.3081454458558527E-7,YES
18,27,3.6744414881393426E-7,NO
18,903,0.0013289570260726549,YES
18,167,4.1007510523190487E-7,YES
18,50,3.627853215359209E-7,NO
