ID,SIZE,PREDICTED,ACTUAL
6,137,4.8438171744531905E-6,NO
6,252,7.142042964743575E-6,NO
6,362,1.2567599523183122E-5,NO
6,81,4.332447686522012E-6,NO
6,165,5.212101428543472E-6,NO
6,81,4.332447686522012E-6,NO
6,107,4.534854640548235E-6,NO
6,163,5.193382919167388E-6,NO
6,616,9.80190430162079E-5,NO
6,371,1.3262687919405845E-5,NO
6,138,4.858681398057056E-6,NO
6,58,4.203500488532342E-6,NO
6,844,0.0015143945195210684,NO
6,1272,0.7124755725129981,NO
6,245,6.917932222989365E-6,NO
6,65,4.242166850106537E-6,NO
6,299,8.871337572596555E-6,NO
6,472,2.7071098744582896E-5,NO
6,441,2.1337249097532134E-5,NO
6,76,4.3082202257247024E-6,NO
6,199,5.799275391779142E-6,NO
6,527,4.277486062795413E-5,NO
6,35,4.112119813384577E-6,NO
6,133,4.800228866767029E-6,NO
6,32,4.100365986487695E-6,NO
6,164,5.212101428543472E-6,YES
6,148,4.983807782079321E-6,NO
6,343,1.1245415500956454E-5,NO
6,164,5.212101428543472E-6,YES
6,55,4.1915424845794205E-6,NO
6,126,4.717462107848092E-6,NO
6,78,4.316171236473584E-6,NO
6,110,4.568710771053574E-6,NO
6,80,4.332447686522012E-6,NO
6,76,4.3082202257247024E-6,NO
6,41,4.133885578475091E-6,NO
6,63,4.228808697004378E-6,NO
6,106,4.523855095469278E-6,NO
6,72,4.2776496219536564E-6,NO
6,86,4.366516713641105E-6,NO
6,48,4.1584083801999466E-6,NO
6,63,4.228808697004378E-6,NO
6,375,1.3684658635726968E-5,NO
6,131,4.7719946054387995E-6,NO
6,146,4.951472027520494E-6,NO
6,208,6.006975313045138E-6,NO
6,150,5.000245417212748E-6,NO
6,38,4.120498092219747E-6,NO
6,43,4.1385681321211084E-6,NO
6,47,4.153281051408524E-6,NO
6,32,4.100365986487695E-6,NO
6,93,4.421493783082885E-6,NO
6,113,4.592005437656324E-6,NO
6,282,8.188066267142136E-6,NO
6,251,7.103741783653648E-6,NO
6,251,7.103741783653648E-6,NO
6,91,4.40264392683835E-6,NO
6,86,4.366516713641105E-6,NO
6,42,4.133885578475091E-6,NO
6,106,4.523855095469278E-6,NO
6,34,4.108093703143641E-6,NO
6,53,4.180043503536892E-6,NO
6,40,4.129313288672975E-6,NO
6,98,4.460796469748385E-6,NO
6,80,4.332447686522012E-6,NO
6,39,4.124850908428186E-6,NO
6,34,4.108093703143641E-6,NO
6,38,4.120498092219747E-6,NO
6,103,4.502279310928638E-6,NO
6,518,3.921706105705869E-5,NO
6,46,4.153281051408524E-6,NO
6,141,4.888919640675747E-6,NO
6,106,4.523855095469278E-6,NO
6,57,4.197463878180324E-6,NO
6,210,6.034145667417053E-6,NO
6,525,4.18498581243694E-5,NO
6,88,4.384320206519521E-6,NO
6,833,0.0012969269028591638,NO
6,457,2.4100635455465974E-5,NO
6,99,4.470960728583963E-6,NO
6,151,5.0168647938009136E-6,NO
6,57,6.389185873747727E-6,NO
6,1254,1.0,YES
6,39,4.124850908428186E-6,NO
6,89,4.393416673286397E-6,NO
6,100,4.481262059548982E-6,NO
6,84,4.35780825612161E-6,NO
6,662,0.003700813410243967,NO
6,68,4.255999927442536E-6,NO
6,312,9.463109216049288E-6,NO
6,101,4.481262059548982E-6,NO
6,78,4.316171236473584E-6,NO
6,81,4.332447686522012E-6,YES
6,125,4.717462107848092E-6,NO
6,114,6.9891188055898365E-6,NO
6,1481,1.0,YES
6,832,0.001938113169912587,YES
6,283,1.2594082788852866E-5,NO
6,103,4.502279310928638E-6,NO
6,29,4.093068968506009E-6,NO
6,194,5.7016115860416995E-6,YES
6,72,4.2776496219536564E-6,NO
6,36,4.116254503246877E-6,NO
6,72,4.2776496219536564E-6,NO
6,159,0.35893467642312643,YES
6,98,1.2258130293993567E-4,NO
6,170,0.20467331416898954,NO
6,1164,1.0,NO
6,70,4.27031229547285E-6,NO
6,47,4.153281051408524E-6,NO
6,368,0.9781714047053945,YES
6,72,4.2776496219536564E-6,NO
6,1362,1.0,YES
6,45,1.3255701128393739E-5,NO
6,512,0.9738672313219366,YES
6,132,4.786030085393459E-6,NO
6,232,0.0017546806303883366,NO
6,37,4.116254503246877E-6,NO
6,137,0.8759201500778354,NO
6,94,4.4311179093043545E-6,NO
6,132,4.786030085393459E-6,NO
6,66,8.84879896052914E-5,NO
6,244,0.5274093515856085,YES
6,178,0.03937492174042518,YES
6,121,7.1201437431507725E-6,NO
6,113,4.592005437656324E-6,NO
6,703,0.021823390902558543,YES
6,114,4.603872815277176E-6,NO
6,82,4.340774424732589E-6,NO
6,124,4.704225577748023E-6,NO
6,92,4.412002711468294E-6,NO
6,82,4.340774424732589E-6,NO
6,138,4.858681398057056E-6,NO
6,117,4.628052579646697E-6,NO
6,76,4.3082202257247024E-6,NO
6,236,6.673055835893447E-6,YES
6,553,0.0011124149047915975,NO
6,288,1.7518334230390108E-4,NO
6,60,4.2159212602910034E-6,NO
6,116,9.529556393877437E-5,NO
6,325,1.01896235547172E-5,NO
6,53,4.180043503536892E-6,NO
6,957,0.0579988989745434,YES
6,189,1.1648181360312577E-4,YES
6,26,4.086200400061234E-6,NO
6,744,6.258964313038918E-4,YES
6,169,1.0,YES
6,50,4.168999950802645E-6,NO
6,41,4.133885578475091E-6,NO
6,109,4.557281554962514E-6,YES
6,160,1.0,YES
6,719,0.19373566873286627,YES
6,53,6.4293480006697E-6,NO
6,253,2.1516059782355693E-5,YES
6,42,4.133885578475091E-6,NO
6,31,4.100365986487695E-6,NO
6,36,4.116254503246877E-6,NO
6,169,5.288996860521499E-6,YES
6,375,1.0,YES
6,494,1.0,YES
6,89,1.8795396401115753E-4,NO
6,34,9.147672474546977E-6,NO
6,149,0.12451394376702568,YES
6,68,4.255999927442536E-6,NO
6,64,4.235428674708524E-6,NO
6,146,0.09967329076665409,YES
6,37,9.997391552182024E-6,NO
6,123,0.005184820674642849,YES
6,114,0.001978557055674822,YES
6,82,6.676568540875185E-6,NO
6,44,4.143361312704982E-6,NO
6,652,0.9993423449044867,YES
6,34,4.108093703143641E-6,NO
6,873,0.9853268819309348,YES
6,321,3.069317289074906E-5,NO
6,149,7.689336135052417E-6,YES
6,68,6.5307240938290784E-6,NO
6,45,4.148265492181817E-6,NO
6,33,4.104175861625234E-6,NO
6,79,1.0811154030148933E-5,NO
6,38,4.120498092219747E-6,NO
6,33,4.104175861625234E-6,NO
6,69,4.263095920958542E-6,YES
6,272,7.810674086017192E-6,NO
6,57,4.197463878180324E-6,NO
6,33,4.104175861625234E-6,NO
6,129,4.758121235486621E-6,NO
6,583,7.099683093303882E-5,NO
6,180,5.4528571079824035E-6,NO
6,33,4.104175861625234E-6,NO
6,333,1.0622909770237855E-5,NO
6,40,4.129313288672975E-6,NO
6,107,4.534854640548235E-6,NO
6,128,4.744408799945235E-6,NO
6,38,4.120498092219747E-6,NO
6,192,5.677814524723288E-6,NO
6,294,8.651278920390017E-6,NO
6,109,4.557281554962514E-6,NO
6,38,4.120498092219747E-6,NO
6,312,0.9999999999999978,NO
