ID,SIZE,PREDICTED,ACTUAL
14,126,9.000204468301512E-8,NO
14,22,8.489051063316746E-8,NO
14,75,8.488552483289608E-8,NO
14,131,9.093685097933862E-8,NO
14,223,1.1640469053524278E-7,NO
14,40,8.440238795032003E-8,NO
14,381,2.6861928727330173E-7,NO
14,46,8.436945087586601E-8,NO
14,26,8.489051063316746E-8,NO
14,66,8.465888902575478E-8,NO
14,95,8.645784234316798E-8,NO
14,33,8.466261836479079E-8,NO
14,103,8.702192723852344E-8,NO
14,219,1.1389200873091106E-7,NO
14,328,1.8966107745014648E-7,NO
14,59,8.449755411185055E-8,NO
14,376,2.576387399099171E-7,NO
14,33,8.466261836479079E-8,NO
14,36,8.450003558159932E-8,NO
14,44,8.440238795032003E-8,NO
14,70,8.488552483289608E-8,NO
14,69,8.465888902575478E-8,NO
14,31,8.466261836479079E-8,NO
14,27,8.489051063316746E-8,NO
14,33,8.466261836479079E-8,NO
14,27,8.489051063316746E-8,NO
14,27,8.489051063316746E-8,NO
14,40,8.440238795032003E-8,NO
14,60,8.449755411185055E-8,NO
14,69,8.465888902575478E-8,NO
14,85,8.553694264992429E-8,NO
14,85,8.553694264992429E-8,NO
14,86,8.553694264992429E-8,NO
14,50,8.436945087586601E-8,NO
14,125,9.000204468301512E-8,NO
14,151,9.423199673437052E-8,NO
14,242,1.2485272946760545E-7,NO
14,47,8.436945087586601E-8,NO
14,72,8.488552483289608E-8,NO
14,51,8.436945087586601E-8,NO
14,51,8.436945087586601E-8,NO
14,106,8.702192723852344E-8,NO
14,87,8.553694264992429E-8,NO
14,80,8.51779841263153E-8,NO
14,76,8.51779841263153E-8,NO
14,41,8.440238795032003E-8,NO
14,63,8.449755411185055E-8,NO
14,55,8.44011486401417E-8,NO
14,106,8.702192723852344E-8,NO
14,72,8.488552483289608E-8,NO
14,86,8.553694264992429E-8,NO
14,55,8.44011486401417E-8,NO
14,135,9.093685097933862E-8,NO
14,63,8.449755411185055E-8,NO
14,412,3.347780777092152E-7,NO
14,533,9.781324786310314E-7,NO
14,67,8.465888902575478E-8,NO
14,50,8.436945087586601E-8,NO
14,39,8.450003558159932E-8,NO
14,88,8.553694264992429E-8,NO
14,37,8.450003558159932E-8,NO
14,74,8.488552483289608E-8,NO
14,79,8.51779841263153E-8,NO
14,321,1.8316648084738932E-7,NO
14,631,2.875489122970254E-6,NO
14,140,9.195176978081691E-8,NO
14,318,1.7702982317160603E-7,NO
