ID,SIZE,PREDICTED,ACTUAL
7,137,0.01,NO
7,252,0.14,NO
7,532,0.73,NO
7,81,0.0,NO
7,157,0.4750000000000001,NO
7,264,0.48,NO
7,113,0.2,NO
7,454,0.78,NO
7,133,0.08,NO
7,151,0.15,NO
7,147,0.04,NO
7,101,0.48,NO
7,227,0.33,NO
7,352,0.56,NO
7,204,0.75,NO
7,50,0.0,NO
7,162,0.6305357142857143,NO
7,61,0.0,NO
7,163,0.594702380952381,NO
7,78,0.05,NO
7,448,0.54,NO
7,179,0.09,NO
7,136,0.05,NO
7,167,0.600202380952381,NO
7,67,0.0,NO
7,137,0.07,NO
7,145,0.1,NO
7,87,0.0,NO
7,85,0.0,NO
7,178,0.42,NO
7,75,0.13,NO
7,208,0.23,NO
7,57,0.0,NO
7,517,0.73,NO
7,570,0.25,NO
7,148,0.1,NO
7,173,0.04,NO
7,147,0.13,NO
7,208,0.17,NO
7,54,0.11,NO
7,38,0.0,NO
7,98,0.0,NO
7,38,0.0,NO
7,94,0.02,NO
7,126,0.03,NO
7,78,0.3702755026658478,NO
7,110,0.0,NO
7,80,0.02,NO
7,76,0.0,NO
7,41,0.0,NO
7,63,0.0,NO
7,106,0.0,NO
7,72,0.0,NO
7,86,0.18139682539682536,NO
7,48,0.0,YES
7,63,0.0,NO
7,375,0.0,YES
7,66,0.0,NO
7,50,0.0,NO
7,39,0.0,NO
7,37,0.0,NO
7,80,0.01,NO
7,321,0.97,NO
7,118,0.06,NO
7,605,0.18,NO
7,140,0.15,NO
7,361,0.92,NO
7,362,0.6,NO
7,187,0.32,NO
7,146,0.08,NO
7,186,0.33,NO
7,138,0.12,NO
7,38,0.0,NO
7,37,0.0,NO
7,120,0.04,NO
7,139,0.13,NO
7,852,0.12,NO
7,33,0.0,NO
7,43,0.0,NO
7,99,0.0,NO
7,288,0.56,NO
7,131,0.0,NO
7,146,0.0,NO
7,208,0.18,NO
7,150,0.06,NO
7,38,0.0,NO
7,43,0.0,NO
7,47,0.0,NO
7,32,0.0,NO
7,93,0.12883333333333333,NO
7,113,0.0,NO
7,282,0.11,NO
7,251,0.0,NO
7,251,0.16,NO
7,130,0.09,NO
7,125,0.08,NO
7,42,0.0,NO
7,106,0.07,NO
7,34,0.0,NO
7,53,0.0,NO
7,40,0.0,NO
7,98,0.0,NO
7,80,0.02,NO
7,39,0.0,NO
7,34,0.0,NO
7,38,0.0,NO
7,103,0.01,NO
7,536,0.82,YES
7,46,0.0,NO
7,141,0.03,NO
7,106,0.01,NO
7,57,0.02461111111111111,NO
7,210,0.0,NO
7,525,0.0,NO
7,88,0.0,NO
7,833,0.0,NO
7,457,0.0,NO
7,99,0.0,NO
7,151,0.0,NO
7,57,0.02461111111111111,NO
7,1320,0.54,YES
7,39,0.0,NO
7,89,0.0,NO
7,100,0.0,NO
7,84,0.18416666666666665,NO
7,662,1.0,NO
7,68,0.07897941437647321,NO
7,312,0.0,NO
7,101,0.0,NO
7,78,0.3702755026658478,NO
7,79,0.15,NO
7,125,0.02,NO
7,113,0.12,NO
7,1546,0.69,YES
7,833,0.28,NO
7,283,0.09,NO
7,103,0.0,NO
7,29,0.0,NO
7,194,0.0,YES
7,72,0.0,NO
7,36,0.0,NO
7,72,0.0,NO
7,173,0.07,NO
7,98,0.0,NO
7,170,0.28,NO
7,1185,0.93,NO
7,70,0.0,NO
7,47,0.0,NO
7,381,0.53,NO
7,107,0.04,NO
7,1668,0.46,YES
7,45,0.0,NO
7,512,0.36,YES
7,132,0.0,NO
7,232,0.17,NO
7,37,0.0,NO
7,108,0.08,NO
7,111,0.17,NO
7,132,0.0,NO
7,74,0.23,NO
7,257,0.2,YES
7,183,0.41,YES
7,121,0.3583571428571429,NO
7,166,0.29,NO
7,461,0.58,NO
7,702,0.72,YES
7,143,0.04,NO
7,106,0.05,NO
7,127,0.16,NO
7,92,0.0,NO
7,82,0.0,NO
7,138,0.01,NO
7,117,0.0,NO
7,76,0.0,NO
7,249,0.08,NO
7,604,0.75,NO
7,296,0.53,NO
7,66,0.24,NO
7,120,0.42,NO
7,325,0.05,NO
7,53,0.0,NO
7,968,0.7,YES
7,189,1.0,YES
7,27,0.12,NO
7,837,0.7,YES
7,169,0.16,YES
7,50,0.0,NO
7,41,0.0,NO
7,109,0.0,YES
7,162,0.17,NO
7,718,0.4,YES
7,53,0.0,NO
7,274,0.08,YES
7,42,0.0,NO
7,31,0.0,NO
7,36,0.0,NO
7,176,0.1,NO
7,375,0.17,YES
7,506,0.83,YES
7,92,0.31,NO
7,34,0.0,NO
7,142,0.05,NO
7,85,0.12,NO
7,77,0.17,NO
7,146,0.06,NO
7,37,0.0,NO
7,123,0.38,YES
7,116,0.12,NO
7,82,0.0,NO
7,44,0.0,NO
7,668,0.59,YES
7,34,0.0,NO
7,947,0.67,YES
7,344,0.37,YES
7,150,0.22,YES
7,68,0.07897941437647321,NO
7,62,0.0,YES
7,45,0.0,NO
7,33,0.0,NO
7,79,0.96,NO
7,38,0.0,NO
7,33,0.0,NO
7,69,0.0,YES
7,272,0.38,NO
7,57,0.02461111111111111,NO
7,33,0.0,NO
7,129,0.0,NO
7,583,0.41,NO
7,180,0.0,NO
7,33,0.0,NO
7,333,0.08,NO
7,40,0.0,NO
7,107,0.0,NO
7,146,0.04,NO
7,38,0.0,NO
7,192,0.15,NO
7,294,0.07,NO
7,109,0.0,NO
7,38,0.0,NO
7,312,0.0,NO
