ID,SIZE,PREDICTED,ACTUAL
11,126,0.4469999999999999,NO
11,22,0.0,NO
11,75,0.08,NO
11,131,0.07,NO
11,223,0.18,NO
11,40,0.01,NO
11,381,0.99,NO
11,46,0.0,NO
11,26,0.01,NO
11,66,0.056666666666666664,NO
11,95,0.19333333333333336,NO
11,33,0.0,NO
11,103,0.01,NO
11,219,0.97,NO
11,328,0.81,NO
11,59,0.315,NO
11,376,0.98,NO
11,33,0.0,NO
11,36,0.0,NO
11,44,0.0,NO
11,70,0.0,NO
11,69,0.0,NO
11,31,0.0,NO
11,27,0.0,NO
11,33,0.0,NO
11,27,0.0,NO
11,27,0.0,NO
11,40,0.0,NO
11,60,0.08,NO
11,69,0.05,NO
11,85,0.4257142857142857,NO
11,85,0.6659523809523811,NO
11,86,0.5140476190476191,NO
11,50,0.0,NO
11,125,0.13166666666666665,NO
11,151,0.89,NO
11,242,0.93,NO
11,47,0.04334595959595959,NO
11,72,0.0,NO
11,51,0.0,NO
11,51,0.0,NO
11,106,0.0,NO
11,87,0.13702380952380955,NO
11,80,0.31047619047619046,NO
11,76,0.01,NO
11,41,0.0,NO
11,63,0.0,NO
11,55,0.03166666666666666,NO
11,106,0.0,NO
11,72,0.0,NO
11,86,0.3474047619047619,NO
11,55,0.03166666666666666,NO
11,135,0.29,NO
11,63,0.0,NO
11,412,0.97,NO
11,66,0.014345238095238095,NO
11,50,0.0,NO
11,39,0.0,NO
11,37,0.0,NO
11,80,0.31047619047619046,NO
11,321,1.0,NO
11,118,0.11468650793650799,NO
11,605,0.4,NO
11,140,0.006,NO
11,361,0.33,NO
11,362,0.33,NO
11,187,0.86,NO
11,146,0.6747351259851261,NO
11,186,0.37,NO
11,138,0.0,NO
11,36,0.14,NO
11,37,0.0,NO
11,120,0.24643650793650793,NO
11,139,0.006,NO
11,852,0.43,NO
11,33,0.0,NO
11,43,0.19,NO
11,99,0.81,NO
11,288,0.85,NO
11,131,0.0,NO
11,146,0.5946428571428571,NO
11,204,0.6226666666666667,NO
11,150,0.72,NO
11,38,0.0,NO
11,43,0.0,NO
11,47,0.15,NO
11,32,0.0,NO
11,93,0.6033333333333334,NO
11,93,0.83,NO
11,282,0.41,NO
11,251,0.19333333333333333,NO
11,251,0.845,NO
11,130,0.01,NO
11,53,0.0,NO
11,125,0.42616666666666647,NO
11,50,0.0,NO
11,106,0.01,NO
11,34,0.0,NO
11,66,0.014345238095238095,NO
11,40,0.0,NO
11,140,0.006,NO
11,84,0.10383333333333333,NO
11,39,0.0,NO
11,34,0.0,NO
11,38,0.0,NO
11,149,0.6848214285714286,NO
11,761,0.99,NO
11,46,0.0,NO
11,204,0.2668333333333333,NO
11,153,0.9,NO
11,57,0.6349761904761905,NO
11,57,0.6349761904761905,NO
11,1307,0.96,YES
11,170,0.9515,YES
11,339,0.82,NO
11,40,0.06,NO
11,90,0.36,YES
11,100,0.01,NO
11,84,0.12266666666666666,NO
11,699,0.78,NO
11,389,0.53,YES
11,165,0.86,NO
11,159,0.79,NO
11,305,0.9,YES
11,185,0.37,YES
11,68,0.2067261904761905,NO
11,277,0.7,NO
11,476,0.86,YES
11,101,0.0,NO
11,60,0.03666666666666667,YES
11,79,0.3184761904761904,NO
11,79,0.3184761904761904,NO
11,149,0.6058333333333333,NO
11,124,0.17150000000000004,YES
11,119,0.24643650793650793,NO
11,1746,0.94,YES
11,868,0.97,YES
11,87,0.13702380952380955,NO
11,61,0.34,NO
11,101,0.05,NO
11,355,0.97,NO
11,284,0.91,NO
11,103,0.0,NO
11,29,0.0,NO
11,215,0.86,YES
11,71,0.52,YES
11,36,0.0,NO
11,82,0.6058333333333333,NO
11,51,0.18,NO
11,173,0.8675,YES
11,98,0.0,NO
11,174,0.36,NO
11,1278,0.81,YES
11,61,0.34,NO
11,47,0.04334595959595959,NO
11,192,0.79,NO
11,422,0.89,YES
11,104,0.26,NO
11,1156,0.99,YES
11,326,0.84,YES
11,851,0.94,YES
11,415,0.99,NO
11,45,0.0,NO
11,716,0.84,YES
11,129,0.34,NO
11,256,0.82,YES
11,37,0.01,YES
11,452,0.88,NO
11,139,0.24,NO
11,112,0.59,NO
11,132,0.0,YES
11,81,0.6561666666666667,NO
11,274,0.89,YES
11,68,0.09466666666666665,NO
11,190,0.76,YES
11,123,0.034,NO
11,171,0.7240000000000001,NO
11,483,0.89,YES
11,127,0.6423333333333332,NO
11,921,0.91,YES
11,143,0.8747960927960928,NO
11,106,0.0,NO
11,123,0.33,NO
11,93,0.3633333333333333,NO
11,82,0.034999999999999996,NO
11,139,0.3,NO
11,59,0.6658333333333334,NO
11,117,0.1608333333333333,NO
11,418,0.67,YES
11,77,0.76,NO
11,70,0.0,NO
11,148,0.62,NO
11,250,0.99,NO
11,660,0.97,NO
11,343,0.79,YES
11,66,0.056666666666666664,NO
11,120,0.24643650793650793,NO
11,326,0.68,NO
11,54,0.24,NO
11,972,0.92,YES
11,185,0.48,YES
11,27,0.01,NO
11,890,0.84,YES
11,167,0.64,YES
11,50,0.0,NO
11,41,0.0,NO
11,113,0.15,YES
11,160,0.58,NO
11,828,0.94,YES
11,53,0.0,NO
11,293,0.31,NO
11,42,0.0,NO
11,31,0.0,NO
11,36,0.0,NO
11,173,0.35,NO
11,481,0.91,NO
11,611,0.93,YES
11,96,0.26,NO
11,34,0.0,NO
11,141,0.19,NO
11,79,0.3184761904761904,NO
11,77,0.98,NO
11,134,0.4,NO
11,37,0.0,NO
11,127,0.41,YES
11,115,0.2,NO
11,88,0.7,YES
11,44,0.0,NO
11,883,0.97,YES
11,34,0.0,NO
11,1123,0.89,YES
11,411,0.68,NO
11,157,0.86,NO
11,68,0.2067261904761905,NO
11,59,0.76,NO
11,38,0.0,NO
11,120,0.4184999999999999,YES
11,144,0.742,NO
11,45,0.0,NO
11,33,0.0,NO
11,80,0.6,NO
11,38,0.0,NO
11,33,0.0,NO
11,57,0.6647261904761905,NO
11,106,0.62,NO
11,271,0.97,NO
11,57,0.26841666666666664,NO
11,33,0.01,NO
11,41,0.06,NO
11,141,0.2,NO
11,82,0.034999999999999996,NO
11,34,0.11,NO
11,177,0.18616666666666667,NO
11,37,0.0,NO
11,461,0.05,NO
11,84,0.10383333333333333,NO
11,38,0.01,NO
11,193,0.94,NO
11,295,0.96,NO
11,110,0.22,NO
11,38,0.0,NO
11,313,0.95,NO
