@relation /BOOKKEEPER_TRAINING-SET4.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute LOC_TOUCHED numeric
@attribute LOC_TOUCHED_AVG numeric
@attribute LOC_TOUCHED_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
137,235,58.75,235,98,24.5,98,333,83.25,333,139,34.75,139,4,0,2,NO
244,340,68.0,340,96,19.2,96,436,87.2,436,262,52.4,262,5,0,2,NO
1026,1246,89.0,1246,220,15.714286,220,1466,104.71429,1466,1026,73.28571,1026,14,0,3,YES
92,121,40.333332,121,29,9.666667,29,150,50.0,150,92,30.666666,92,3,0,3,YES
180,195,48.75,195,15,3.75,15,210,52.5,210,180,45.0,180,4,0,2,NO
471,633,70.333336,633,162,18.0,162,795,88.333336,795,551,61.22222,551,9,0,3,YES
204,210,42.0,210,6,1.2,6,216,43.2,216,204,40.8,204,5,0,3,YES
551,621,88.71429,621,70,10.0,70,691,98.71429,691,557,79.57143,557,7,0,3,YES
149,168,33.6,168,19,3.8,19,187,37.4,187,149,29.8,149,5,0,3,YES
157,164,54.666668,164,7,2.3333333,7,171,57.0,171,157,52.333332,157,3,0,3,YES
147,147,147.0,147,0,0.0,0,147,147.0,147,147,147.0,147,1,0,1,NO
137,269,53.8,269,132,26.4,132,401,80.2,401,141,28.2,141,5,0,3,YES
271,280,70.0,280,9,2.25,9,289,72.25,289,271,67.75,271,4,0,3,NO
548,1040,115.55556,1040,492,54.666668,492,1532,170.22223,1532,548,60.88889,548,9,0,3,YES
728,931,155.16667,931,203,33.833332,203,1134,189.0,1134,882,147.0,882,6,0,2,YES
205,212,53.0,212,7,1.75,7,219,54.75,219,205,51.25,205,4,0,2,YES
50,53,26.5,53,3,1.5,3,56,28.0,56,50,25.0,50,2,0,2,NO
185,207,41.4,207,22,4.4,22,229,45.8,229,185,37.0,185,5,0,3,YES
61,66,22.0,66,5,1.6666666,5,71,23.666666,71,61,20.333334,61,3,0,3,YES
157,210,26.25,210,53,6.625,53,263,32.875,263,181,22.625,181,8,0,3,YES
81,92,23.0,92,11,2.75,11,103,25.75,103,81,20.25,81,4,0,3,YES
84,133,44.333332,133,49,16.333334,49,182,60.666668,182,84,28.0,84,3,0,2,NO
762,1462,121.833336,1462,700,58.333332,700,2162,180.16667,2162,770,64.166664,770,12,0,3,YES
248,288,41.142857,288,40,5.714286,40,328,46.857143,328,252,36.0,252,7,0,3,YES
169,232,25.777779,232,63,7.0,63,295,32.77778,295,171,19.0,171,9,0,3,YES
196,224,37.333332,224,28,4.6666665,28,252,42.0,252,196,32.666668,196,6,0,3,YES
67,76,19.0,76,9,2.25,9,85,21.25,85,67,16.75,67,4,0,3,NO
165,182,45.5,182,17,4.25,17,199,49.75,199,165,41.25,165,4,0,3,YES
173,193,48.25,193,20,5.0,20,213,53.25,213,173,43.25,173,4,0,3,YES
103,127,21.166666,127,24,4.0,24,151,25.166666,151,107,17.833334,107,6,0,2,YES
78,78,78.0,78,0,0.0,0,78,78.0,78,78,78.0,78,1,0,1,YES
87,88,44.0,88,1,0.5,1,89,44.5,89,87,43.5,87,2,0,2,YES
85,86,43.0,86,1,0.5,1,87,43.5,87,85,42.5,85,2,0,2,NO
105,106,53.0,106,1,0.5,1,107,53.5,107,105,52.5,105,2,0,1,YES
216,224,56.0,224,8,2.0,8,232,58.0,232,216,54.0,216,4,0,2,YES
377,397,99.25,397,20,5.0,20,417,104.25,417,377,94.25,377,4,0,2,YES
