@relation /TRAINING-SET2.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute LOC_TOUCHED numeric
@attribute LOC_TOUCHED_AVG numeric
@attribute LOC_TOUCHED_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
29,36,12.0,36,7,2.3333333,7,43,14.333333,43,29,9.666667,29,3,0,1,NO
175,182,45.5,182,7,1.75,7,189,47.25,189,175,43.75,175,4,0,2,NO
36,42,14.0,42,6,2.0,6,48,16.0,48,36,12.0,36,3,0,1,NO
112,125,25.0,125,13,2.6,13,138,27.6,138,112,22.4,112,5,0,3,NO
68,74,24.666666,74,6,2.0,6,80,26.666666,80,68,22.666666,68,3,0,1,NO
88,105,21.0,105,17,3.4,17,122,24.4,122,96,19.2,96,5,0,2,NO
46,52,17.333334,52,6,2.0,6,58,19.333334,58,46,15.333333,46,3,0,1,NO
117,130,32.5,130,13,3.25,13,143,35.75,143,117,29.25,117,4,0,2,NO
74,80,26.666666,80,6,2.0,6,86,28.666666,86,74,24.666666,74,3,0,1,NO
28,34,11.333333,34,6,2.0,6,40,13.333333,40,28,9.333333,28,3,0,1,NO
26,32,10.666667,32,6,2.0,6,38,12.666667,38,26,8.666667,26,3,0,1,NO
29,35,11.666667,35,6,2.0,6,41,13.666667,41,29,9.666667,29,3,0,1,NO
43,50,16.666666,50,7,2.3333333,7,57,19.0,57,43,14.333333,43,3,0,1,NO
34,40,13.333333,40,6,2.0,6,46,15.333333,46,34,11.333333,34,3,0,1,NO
