RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,LOC_ADDED_AVG,LOC_ADDED_MAX,LOC_REMOVED,LOC_REMOVED_AVG,LOC_REMOVED_MAX,LOC_TOUCHED,LOC_TOUCHED_AVG,LOC_TOUCHED_MAX,CHURN,CHURN_AVG,CHURN_MAX,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,29,36,12.0,36,7,2.3333333,7,43,14.333333,43,29,9.666667,29,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java,175,182,45.5,182,7,1.75,7,189,47.25,189,175,43.75,175,4,0,2,NO
1,src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java,36,42,14.0,42,6,2.0,6,48,16.0,48,36,12.0,36,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,112,125,25.0,125,13,2.6,13,138,27.6,138,112,22.4,112,5,0,3,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java,68,74,24.666666,74,6,2.0,6,80,26.666666,80,68,22.666666,68,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,88,105,21.0,105,17,3.4,17,122,24.4,122,96,19.2,96,5,0,2,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeMXBean.java,46,52,17.333334,52,6,2.0,6,58,19.333334,58,46,15.333333,46,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,117,130,32.5,130,13,3.25,13,143,35.75,143,117,29.25,117,4,0,2,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java,74,80,26.666666,80,6,2.0,6,86,28.666666,86,74,24.666666,74,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerBean.java,28,34,11.333333,34,6,2.0,6,40,13.333333,40,28,9.333333,28,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerMXBean.java,26,32,10.666667,32,6,2.0,6,38,12.666667,38,26,8.666667,26,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java,29,35,11.666667,35,6,2.0,6,41,13.666667,41,29,9.666667,29,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java,43,50,16.666666,50,7,2.3333333,7,57,19.0,57,43,14.333333,43,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java,34,40,13.333333,40,6,2.0,6,46,15.333333,46,34,11.333333,34,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java,26,32,10.666667,32,6,2.0,6,38,12.666667,38,26,8.666667,26,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java,53,61,15.25,61,8,2.0,8,69,17.25,69,53,13.25,53,4,0,2,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java,34,41,13.666667,41,7,2.3333333,7,48,16.0,48,34,11.333333,34,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumBean.java,44,52,17.333334,52,8,2.6666667,8,60,20.0,60,44,14.666667,44,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java,33,39,13.0,39,6,2.0,6,45,15.0,45,33,11.0,33,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerBean.java,45,53,17.666666,53,8,2.6666667,8,61,20.333334,61,45,15.0,45,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerMXBean.java,33,39,13.0,39,6,2.0,6,45,15.0,45,33,11.0,33,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerBean.java,38,45,15.0,45,7,2.3333333,7,52,17.333334,52,38,12.666667,38,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerMXBean.java,33,39,13.0,39,6,2.0,6,45,15.0,45,33,11.0,33,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServer.java,125,180,30.0,180,55,9.166667,55,235,39.166668,235,157,26.166666,157,6,0,3,NO
1,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServerMain.java,79,86,28.666666,86,7,2.3333333,7,93,31.0,93,81,27.0,81,3,0,2,NO
1,src/java/jmx/org/apache/zookeeper/server/ObservableDataTree.java,115,130,32.5,130,15,3.75,15,145,36.25,145,115,28.75,115,4,0,2,NO
1,src/java/jmx/org/apache/zookeeper/server/ObservableNIOServerCnxn.java,85,94,31.333334,94,9,3.0,9,103,34.333332,103,85,28.333334,85,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/ObservableZooKeeperServer.java,56,79,13.166667,79,23,3.8333333,23,102,17.0,102,60,10.0,60,6,0,3,NO
1,src/java/jmx/org/apache/zookeeper/server/ZooKeeperObserverNotifier.java,76,85,28.333334,85,9,3.0,9,94,31.333334,94,76,25.333334,76,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeer.java,225,315,45.0,315,90,12.857142,90,405,57.857143,405,281,40.142857,281,7,0,3,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeerMain.java,132,163,40.75,163,31,7.75,31,194,48.5,194,170,42.5,170,4,0,2,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollower.java,78,87,29.0,87,9,3.0,9,96,32.0,96,78,26.0,78,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollowerZooKeeperServer.java,55,67,16.75,67,12,3.0,12,79,19.75,79,55,13.75,55,4,0,2,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeader.java,82,91,30.333334,91,9,3.0,9,100,33.333332,100,82,27.333334,82,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeaderZooKeeperServer.java,55,67,16.75,67,12,3.0,12,79,19.75,79,55,13.75,55,4,0,2,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableQuorumPeer.java,115,166,23.714285,166,51,7.285714,51,217,31.0,217,131,18.714285,131,7,0,3,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ConnectionObserver.java,38,45,15.0,45,7,2.3333333,7,52,17.333334,52,38,12.666667,38,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/DataTreeObserver.java,53,61,20.333334,61,8,2.6666667,8,69,23.0,69,53,17.666666,53,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/EventInfo.java,30,36,12.0,36,6,2.0,6,42,14.0,42,30,10.0,30,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ObservableComponent.java,34,40,13.333333,40,6,2.0,6,46,15.333333,46,34,11.333333,34,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ObserverManager.java,95,101,33.666668,101,6,2.0,6,107,35.666668,107,95,31.666666,95,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/QuorumPeerObserver.java,69,78,26.0,78,9,3.0,9,87,29.0,87,69,23.0,69,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ServerObserver.java,38,45,15.0,45,7,2.3333333,7,52,17.333334,52,38,12.666667,38,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ZooKeeperObserverManager.java,61,71,23.666666,71,10,3.3333333,10,81,27.0,81,61,20.333334,61,3,0,1,NO
1,src/java/main/org/apache/jute/BinaryInputArchive.java,132,133,44.333332,133,1,0.33333334,1,134,44.666668,134,132,44.0,132,3,0,1,NO
1,src/java/main/org/apache/jute/BinaryOutputArchive.java,149,150,50.0,150,1,0.33333334,1,151,50.333332,151,149,49.666668,149,3,0,1,NO
1,src/java/main/org/apache/jute/CsvInputArchive.java,210,211,70.333336,211,1,0.33333334,1,212,70.666664,212,210,70.0,210,3,0,1,NO
1,src/java/main/org/apache/jute/CsvOutputArchive.java,151,152,38.0,152,1,0.25,1,153,38.25,153,151,37.75,151,4,0,2,NO
